Species	Conserved	Matched	LongMatched	Orphan	Complex	ncRNA	Intergenic	Fragment
Acep	0	63644168	45959786	9453803	6391393	307584	171853819	20061427
Ador	0	52218017	54458915	13510097	13757775	10084321	54017166	32293880
Aech	0	66807744	74313041	12860855	21602671	5200184	80110977	35049391
Aflo	0	42846516	46058761	10599134	12062225	6235528	87248741	25416876
Amh3	19451365	44193298	76298275	7295204	16713026	11344930	45855736	4082707
Bimp	0	58213993	78797137	7608325	15373162	3910138	55747359	29534942
Bter	21173815	42300397	76818166	6148350	19469519	6571712	63966268	12206017
Cflo	17597140	49344530	46492053	11751804	12034209	6472669	47785282	41207647
Dmel	0	56709526	24937039	0	13718254	5161808	35686531	7493320
Dqua	0	63578117	72191768	13060136	15912344	2326324	55439387	37157789
Hsal	19291925	53305042	54682182	16644501	19832947	3641254	74823713	52244037
Lhum	0	52080910	61524864	13661984	16745816	10909026	43342718	21235432
Mrot	0	48926294	83500151	17763862	20059234	6011111	63684179	32715738
Nvit	18876914	25099862	27966063	54510007	26735840	3687828	62429832	76474526
Obir	0	58847729	53436137	14266021	14017983	6090300	46795537	19372062
Pbar	0	53627761	37567578	14206789	14157754	3722419	75304053	37059604
Pcan	16009384	41555232	42660687	12689799	10557866	4166793	39592307	43970144
Pdtl	9552523	28470334	738427	22525958	2769621	265059	119973287	23731011
Sinv	0	67236317	68675334	31465278	19920086	5625521	84237299	118849334
Tcas	0	21163144	10388139	60375631	12076664	1158759	94989349	10097047
