Species	Conserved	Matched	LongMatched	Orphan	Complex	ncRNA	Intergenic	Fragment
Acep	0	8579	431	840	142	198	7331	2844
Ador	0	7814	436	1066	341	1482	4206	4315
Aech	0	8451	596	1237	324	1049	5822	4733
Aflo	0	6800	375	1238	240	1252	4602	7630
Amh3	1801	6500	520	485	354	2289	3778	218
Bimp	0	8522	602	1194	279	665	3593	5873
Bter	1800	6115	531	788	304	1197	3696	5476
Cflo	1806	6611	408	1689	247	878	4805	11096
Dmel	0	12358	240	0	643	3331	3448	1874
Dqua	0	8335	575	1583	302	651	3779	14111
Hsal	1803	6806	447	2075	344	799	4849	9519
Lhum	0	7999	468	2031	288	1247	3856	3339
Mrot	0	7248	603	1826	482	1022	3119	6561
Nvit	1788	3806	246	6355	458	1052	4301	6612
Obir	0	8147	452	2250	305	1711	3929	4633
Pbar	0	7574	344	1770	294	1190	5229	4816
Pcan	1804	5923	360	1422	220	779	3430	4224
Pdtl	1811	4846	12	4640	267	338	5970	1697
Sinv	0	8726	578	4466	308	792	5670	68297
Tcas	0	3385	109	7955	430	790	4456	2223
