Species	Conserved	Matched	LongMatched	Orphan	Complex	ncRNA	Intergenic	Fragment
Acep	0	63506233	45817548	9733976	6391393	307584	171853819	20061427
Ador	0	51882520	54099266	14205243	13757775	10084321	54017166	32293880
Aech	0	66721026	74237518	13023096	21602671	5200184	80110977	35049391
Aflo	0	42572005	46024545	10907861	12062225	6235528	87248741	25416876
Amh3	30764826	41034515	68365982	7072819	16713026	11344930	45855736	4082707
Bimp	0	58075528	78881884	7662043	15373162	3910138	55747359	29534942
Bter	32293246	38646873	69060954	6439655	19469519	6571712	63966268	12206017
Cflo	25884130	45425335	42067217	11808845	12034209	6472669	47785282	41207647
Dmel	0	56709526	24937039	0	13718254	5161808	35686531	7493320
Dqua	0	63612199	72112248	13105574	15912344	2326324	55439387	37157789
Hsal	29847872	49643623	47840995	16591160	19832947	3641254	74823713	52244037
Lhum	0	52076123	61524864	13666771	16745816	10909026	43342718	21235432
Mrot	0	48959523	83199547	18031237	20059234	6011111	63684179	32715738
Nvit	26974368	21731485	22610981	55136012	26735840	3687828	62429832	76474526
Obir	0	58748590	53386214	14415083	14017983	6090300	46795537	19372062
Pbar	0	53342209	37246328	14813591	14157754	3722419	75304053	37059604
Pcan	24010299	41522413	39683566	7698824	10557866	4166793	39592307	43970144
Pdom	26039799	40527107	50777613	6482002	13912114	3775088	48761836	17750661
Pdtl	0	59810845	1476397	0	2769621	265059	119973287	23731011
Sinv	0	67033151	68691244	31652534	19920086	5625521	84237299	118849334
Tcas	0	20970830	10197957	60758127	12076664	1158759	94989349	10097047
