Species	Conserved	Matched	LongMatched	Orphan	Complex	ncRNA	Intergenic	Fragment
Acep	0	8561	429	860	142	198	7331	2844
Ador	0	7794	432	1090	341	1482	4206	4315
Aech	0	8446	595	1243	324	1049	5822	4733
Aflo	0	6770	372	1271	240	1252	4602	7630
Amh3	2267	6078	472	489	354	2289	3778	218
Bimp	0	8514	603	1201	279	665	3593	5873
Bter	2267	5676	483	808	304	1197	3696	5476
Cflo	2277	6169	373	1695	247	878	4805	11096
Dmel	0	12358	240	0	643	3331	3448	1874
Dqua	0	8330	574	1589	302	651	3779	14111
Hsal	2272	6381	403	2075	344	799	4849	9519
Lhum	0	8004	468	2026	288	1247	3856	3339
Mrot	0	7254	601	1822	482	1022	3119	6561
Nvit	2254	3382	202	6357	458	1052	4301	6612
Obir	0	8133	451	2265	305	1711	3929	4633
Pbar	0	7548	339	1801	294	1190	5229	4816
Pcan	2275	5979	342	913	220	779	3430	4224
Pdom	2271	5895	406	1143	282	1049	3969	1665
Pdtl	0	11285	24	0	267	338	5970	1697
Sinv	0	8699	577	4494	308	792	5670	68297
Tcas	0	3364	107	7978	430	790	4456	2223
