Species	HighlyConserved	Conserved	Matched	Orphan	Complex	ncRNA	Intergenic	Fragment
Apro	228351	1797955	2148645	14637012	1597328	0	1668492	846854
Atha	488880	3455039	38181542	36250799	974017	4533538	35247288	10746
Bdis	797229	4876000	81826503	25231723	949421	6958352	151027171	330907
Crei	486068	4955110	10963791	57282163	407857	0	34516063	11574314
Csub	377500	4204545	4947300	31699605	528398	49099	6834508	185661
Cvar	364320	2962127	4144263	27640802	100022	0	9481100	1466878
Mcom	179502	1916835	4261414	13285765	63417	0	1259402	22991
Mpus	204973	2035988	4470818	13488543	147106	0	1473344	137488
Mtru	832757	5846180	70873448	101969012	0	751285	219668005	12859704
Oluc	172536	1609202	5123274	5746442	77979	0	468955	6500
Osat	804669	5208639	90079879	38931397	1794917	13000291	223056771	919092
Otau	133522	1065626	3914685	7156206	77574	12476	61358	30959
Vcar	498505	5298271	11933783	70890947	595440	0	39833788	8633669
