Species	SeqID	Sigma	Phi
Scer	Centroid	0.9309012637965384	0.9701780728451703
Cele	Centroid	0.7060098830570292	0.8818186782484002
Crei	Centroid	0.5796802829890761	0.7717417671687192
Mtru	Centroid	0.24476353903553433	0.4738815738065609
Agam	Centroid	0.13652672124599663	0.465428061781264
Dmel	Centroid	0.6482926525484817	0.8442345442941938
Xtro	Centroid	0.1653025207742395	0.30612598279656
Drer	Centroid	0.26616713202182074	0.40160871524262015
Mmus	Centroid	0.34734575075141877	0.47013838248459267
Hsap	Centroid	0.3971571328747377	0.5287895082903303
