Species	SeqID	Sigma	Phi
Scer	Centroid	0.9406620264997605	0.9708521030739226
Cele	Centroid	0.6702512837918948	0.8330992189191309
Crei	Centroid	0.43883280880230474	0.6065456147304906
Mtru	Centroid	0.2223013662394458	0.4492131269066694
Agam	Centroid	0.0867893471705495	0.21440858081346664
Dmel	Centroid	0.547375605069166	0.6948718898836216
Xtro	Centroid	0.09568104395995451	0.1882552459622319
Drer	Centroid	0.22029251345010553	0.2964741921410988
Mmus	Centroid	0.23793142084819746	0.3367790342502121
Hsap	Centroid	0.2964563781003956	0.40285080062531203
