Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Csub	CsubILC-00001	NW_005178014.1	NW_005178014.1_1-9603	9603	9603	0.459	-0.024	0.000	fiLocus	0	False	NA
Csub	CsubILC-00002	NW_005178014.1	NW_005178014.1_9604-30203	20600	20600	0.506	0.019	0.000	siLocus	1	False	NA
Csub	CsubILC-00003	NW_005178014.1	NW_005178014.1_30204-37472	7269	7269	0.466	-0.024	0.000	iiLocus	0	False	FR
Csub	CsubILC-00004	NW_005178014.1	NW_005178014.1_37473-45469	7997	7997	0.487	-0.034	0.000	siLocus	1	False	NA
Csub	CsubILC-00005	NW_005178014.1	NW_005178014.1_45470-48704	3235	3235	0.503	-0.008	0.000	siLocus	1	False	NA
Csub	CsubILC-00006	NW_005178014.1	NW_005178014.1_48705-49567	863	863	0.505	-0.046	0.000	iiLocus	0	False	RF
Csub	CsubILC-00007	NW_005178014.1	NW_005178014.1_49568-53842	4275	4275	0.514	0.045	0.000	siLocus	1	False	NA
Csub	CsubILC-00008	NW_005178014.1	NW_005178014.1_53843-54422	580	580	0.491	-0.046	0.000	iiLocus	0	False	FF
Csub	CsubILC-00009	NW_005178014.1	NW_005178014.1_54423-58728	4306	3839	0.544	0.020	0.000	siLocus	1	False	NA
Csub	CsubILC-00010	NW_005178014.1	NW_005178014.1_57795-59497	1703	1236	0.530	0.105	0.000	siLocus	1	False	NA
Csub	CsubILC-00011	NW_005178014.1	NW_005178014.1_59498-63166	3669	3669	0.522	0.033	0.000	iiLocus	0	False	FF
Csub	CsubILC-00012	NW_005178014.1	NW_005178014.1_63167-66384	3218	3218	0.526	0.135	0.000	siLocus	1	False	NA
Csub	CsubILC-00013	NW_005178014.1	NW_005178014.1_66385-68407	2023	2023	0.514	-0.033	0.000	iiLocus	0	False	FR
Csub	CsubILC-00014	NW_005178014.1	NW_005178014.1_68408-72281	3874	3853	0.528	-0.019	0.000	siLocus	1	False	NA
Csub	CsubILC-00015	NW_005178014.1	NW_005178014.1_72240-76703	4464	4443	0.533	0.039	0.000	siLocus	1	False	NA
Csub	CsubILC-00016	NW_005178014.1	NW_005178014.1_76704-78796	2093	2093	0.472	0.047	0.000	iiLocus	0	False	FF
Csub	CsubILC-00017	NW_005178014.1	NW_005178014.1_78797-84715	5919	5919	0.543	-0.001	0.000	siLocus	1	False	NA
Csub	CsubILC-00018	NW_005178014.1	NW_005178014.1_84716-87909	3194	2948	0.500	-0.045	0.000	siLocus	1	False	NA
Csub	CsubILC-00019	NW_005178014.1	NW_005178014.1_87418-92486	5069	4456	0.486	0.037	0.000	siLocus	1	False	NA
Csub	CsubILC-00020	NW_005178014.1	NW_005178014.1_91753-94821	3069	2702	0.485	-0.004	0.000	siLocus	1	False	NA
Csub	CsubILC-00021	NW_005178014.1	NW_005178014.1_94822-96484	1663	1663	0.532	-0.064	0.000	iiLocus	0	False	RF
Csub	CsubILC-00022	NW_005178014.1	NW_005178014.1_96485-99882	3398	3398	0.493	0.053	0.000	siLocus	1	False	NA
Csub	CsubILC-00023	NW_005178014.1	NW_005178014.1_99883-100675	793	793	0.515	0.059	0.000	iiLocus	0	False	FF
Csub	CsubILC-00024	NW_005178014.1	NW_005178014.1_100676-108999	8324	8324	0.540	0.019	0.000	siLocus	1	False	NA
Csub	CsubILC-00025	NW_005178014.1	NW_005178014.1_109000-111973	2974	2974	0.620	-0.136	0.000	fiLocus	0	False	NA
Csub	CsubILC-00026	NW_005178015.1	NW_005178015.1_1-1668	1668	1668	0.591	0.120	0.000	siLocus	1	False	NA
Csub	CsubILC-00027	NW_005178015.1	NW_005178015.1_1669-20923	19255	19255	0.660	-0.007	0.000	iiLocus	0	False	FR
Csub	CsubILC-00028	NW_005178015.1	NW_005178015.1_20924-22787	1864	1864	0.613	0.013	0.000	siLocus	1	False	NA
Csub	CsubILC-00029	NW_005178015.1	NW_005178015.1_22788-29720	6933	6933	0.647	-0.004	0.000	iiLocus	0	False	RF
Csub	CsubILC-00030	NW_005178015.1	NW_005178015.1_29721-31170	1450	1450	0.589	0.012	0.000	siLocus	1	False	NA
Csub	CsubILC-00031	NW_005178015.1	NW_005178015.1_31171-38774	7604	7604	0.539	0.012	0.000	iiLocus	0	False	FR
Csub	CsubILC-00032	NW_005178015.1	NW_005178015.1_38775-46606	7832	7832	0.518	-0.053	0.000	siLocus	1	False	NA
Csub	CsubILC-00033	NW_005178015.1	NW_005178015.1_46607-50688	4082	3866	0.488	0.015	0.000	siLocus	1	False	NA
Csub	CsubILC-00034	NW_005178015.1	NW_005178015.1_50257-58059	7803	7222	0.500	-0.005	0.000	siLocus	1	False	NA
Csub	CsubILC-00035	NW_005178015.1	NW_005178015.1_57329-61908	4580	3874	0.512	-0.017	0.000	siLocus	1	False	NA
Csub	CsubILC-00036	NW_005178015.1	NW_005178015.1_61228-66326	5099	4758	0.513	0.061	0.000	siLocus	1	False	NA
Csub	CsubILC-00037	NW_005178015.1	NW_005178015.1_66327-67652	1326	1326	0.536	-0.066	0.000	iiLocus	0	False	FR
Csub	CsubILC-00038	NW_005178015.1	NW_005178015.1_67653-89115	21463	21133	0.526	-0.002	0.000	siLocus	1	False	NA
Csub	CsubILC-00039	NW_005178015.1	NW_005178015.1_88456-95225	6770	6120	0.519	0.060	0.000	siLocus	1	False	NA
Csub	CsubILC-00040	NW_005178015.1	NW_005178015.1_94586-95666	1081	362	0.478	0.056	0.000	niLocus	1	False	NA
Csub	CsubILC-00041	NW_005178015.1	NW_005178015.1_94869-97670	2802	2180	0.502	0.026	0.000	siLocus	1	False	NA
Csub	CsubILC-00042	NW_005178015.1	NW_005178015.1_97224-101436	4213	3989	0.476	0.031	0.000	siLocus	1	False	NA
Csub	CsubILC-00043	NW_005178015.1	NW_005178015.1_101437-107108	5672	5672	0.496	-0.038	0.000	iiLocus	0	False	FR
Csub	CsubILC-00044	NW_005178015.1	NW_005178015.1_107109-112123	5015	5015	0.519	-0.002	0.000	siLocus	1	False	NA
Csub	CsubILC-00045	NW_005178015.1	NW_005178015.1_112124-113883	1760	1760	0.495	0.000	0.000	iiLocus	0	False	RR
Csub	CsubILC-00046	NW_005178015.1	NW_005178015.1_113884-115627	1744	1744	0.471	-0.080	0.000	siLocus	1	False	NA
Csub	CsubILC-00047	NW_005178015.1	NW_005178015.1_115628-117299	1672	1386	0.474	0.114	0.000	siLocus	1	False	NA
Csub	CsubILC-00048	NW_005178015.1	NW_005178015.1_116728-118575	1848	1562	0.510	-0.014	0.000	siLocus	1	False	NA
Csub	CsubILC-00049	NW_005178015.1	NW_005178015.1_118576-121665	3090	2859	0.527	0.082	0.000	siLocus	1	False	NA
Csub	CsubILC-00050	NW_005178015.1	NW_005178015.1_121203-123945	2743	2511	0.509	0.004	0.000	siLocus	1	False	NA
Csub	CsubILC-00051	NW_005178015.1	NW_005178015.1_123946-128427	4482	4482	0.482	0.006	0.000	siLocus	1	False	NA
Csub	CsubILC-00052	NW_005178015.1	NW_005178015.1_128428-131078	2651	2651	0.505	-0.004	0.000	iiLocus	0	False	FR
Csub	CsubILC-00053	NW_005178015.1	NW_005178015.1_131079-133983	2905	2905	0.482	-0.021	0.000	siLocus	1	False	NA
Csub	CsubILC-00054	NW_005178015.1	NW_005178015.1_133984-135244	1261	1261	0.483	0.067	0.000	iiLocus	0	False	RF
Csub	CsubILC-00055	NW_005178015.1	NW_005178015.1_135245-137303	2059	1838	0.496	0.095	0.000	siLocus	1	False	NA
Csub	CsubILC-00056	NW_005178015.1	NW_005178015.1_136862-142256	5395	5174	0.519	0.009	0.000	siLocus	1	False	NA
Csub	CsubILC-00057	NW_005178015.1	NW_005178015.1_142257-143720	1464	1464	0.477	-0.084	0.000	iiLocus	0	False	FF
Csub	CsubILC-00058	NW_005178015.1	NW_005178015.1_143721-154135	10415	10176	0.540	0.034	0.000	siLocus	1	False	NA
Csub	CsubILC-00059	NW_005178015.1	NW_005178015.1_153658-161688	8031	7792	0.453	-0.008	0.000	siLocus	1	False	NA
Csub	CsubILC-00060	NW_005178015.1	NW_005178015.1_161689-164820	3132	3132	0.460	0.022	0.000	siLocus	1	False	NA
