Species	Accession	Length	GCContent	GCSkew	NContent	ExonCount	IntronCount	5pUTRlen	3pUTRlen
Agam	gnl|WGS:AAAB|AGAP000002-RA	15806	0.476	0.064	0.081	5	4	516	0
Agam	gnl|WGS:AAAB|AGAP000005-RA	6462	0.427	0.111	0.015	5	4	364	96
Agam	gnl|WGS:AAAB|AGAP000007-RA	4957	0.579	0.014	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000008-RA	4762	0.474	0.075	0.004	4	3	297	872
Agam	gnl|WGS:AAAB|AGAP000009-RA	16352	0.500	-0.039	0.000	23	22	0	417
Agam	gnl|WGS:AAAB|AGAP000010-RA	2727	0.530	-0.037	0.000	4	3	0	434
Agam	gnl|WGS:AAAB|AGAP000011-RA	7053	0.526	-0.046	0.000	8	7	397	394
Agam	gnl|WGS:AAAB|AGAP000012-RA	1564	0.574	0.051	0.000	2	1	94	0
Agam	gnl|WGS:AAAB|AGAP000013-RA	11689	0.477	-0.000	0.002	6	5	0	1075
Agam	gnl|WGS:AAAB|AGAP000014-RA	866	0.572	-0.079	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000015-RA	9650	0.567	0.011	0.000	12	11	0	330
Agam	gnl|WGS:AAAB|AGAP000016-RA	2878	0.468	0.013	0.000	3	2	181	0
Agam	gnl|WGS:AAAB|AGAP000017-RA	20785	0.501	-0.024	0.000	25	24	0	422
Agam	gnl|WGS:AAAB|AGAP000018-RA	5835	0.517	0.083	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000019-RA	4684	0.560	-0.045	0.000	9	8	0	0
Agam	gnl|WGS:AAAB|AGAP000020-RA	8277	0.559	0.032	0.000	11	10	0	0
Agam	gnl|WGS:AAAB|AGAP013504-RA	1906	0.477	0.011	0.000	3	2	0	787
Agam	gnl|WGS:AAAB|AGAP000022-RA	4185	0.541	0.004	0.000	6	5	250	323
Agam	gnl|WGS:AAAB|AGAP000021-RA	1235	0.523	-0.071	0.000	3	2	210	414
Agam	gnl|WGS:AAAB|AGAP000023-RA	3405	0.493	-0.017	0.000	7	6	451	187
Agam	gnl|WGS:AAAB|AGAP000025-RA	4778	0.573	0.054	0.000	4	3	101	0
Agam	gnl|WGS:AAAB|AGAP000028-RA	7170	0.506	0.040	0.000	2	1	989	589
Agam	gnl|WGS:AAAB|AGAP000029-RA	14281	0.597	0.024	0.000	13	12	0	0
Agam	gnl|WGS:AAAB|AGAP000032-RA	16233	0.526	-0.003	0.000	9	8	0	107
Agam	gnl|WGS:AAAB|AGAP000033-RA	7176	0.560	-0.015	0.000	6	5	0	526
Agam	gnl|WGS:AAAB|AGAP000035-RA	8024	0.622	0.119	0.000	6	5	0	216
Agam	gnl|WGS:AAAB|AGAP000037-RA	11280	0.575	0.040	0.000	10	9	0	0
Agam	gnl|WGS:AAAB|AGAP000038-RA	2379	0.549	-0.051	0.000	7	6	0	452
Agam	gnl|WGS:AAAB|AGAP000039-RA	2162	0.537	-0.016	0.000	5	4	0	437
Agam	gnl|WGS:AAAB|AGAP000040-RA	6771	0.517	-0.050	0.000	7	6	278	148
