hiLocus	iLocus	Species	Protein
HILC-1	Amh3ILC-14581	Amh3	XP_026301171.1
HILC-1	BterILC-11501	Bter	XP_012172523.2
HILC-1	CfloILC-00564	Cflo	XP_019885695.1
HILC-1	HsalILC-21499	Hsal	XP_011149455.1
HILC-1	PcanILC-06304	Pcan	XP_014603247.1
HILC-1	PdomILC-01868	Pdom	XP_015190543.1
HILC-1	NvitILC-18693	Nvit	XP_008209980.1
HILC-2	Amh3ILC-08335	Amh3	XP_026298016.1
HILC-2	BterILC-05624	Bter	XP_012166274.1
HILC-2	CfloILC-12156	Cflo	XP_011256313.1
HILC-2	HsalILC-06380	Hsal	XP_019696072.1
HILC-2	PcanILC-02297	Pcan	XP_014616375.1
HILC-2	PdomILC-11454	Pdom	XP_015184649.1
HILC-2	NvitILC-07813	Nvit	XP_008216627.1
HILC-3	Amh3ILC-00635	Amh3	XP_016766438.1
HILC-3	BterILC-08490	Bter	XP_012168952.2
HILC-3	CfloILC-04755	Cflo	XP_011269859.1
HILC-3	HsalILC-20921	Hsal	XP_019699568.1
HILC-3	PcanILC-03865	Pcan	XP_014599464.1
HILC-3	PdomILC-04788	Pdom	XP_015174474.1
HILC-3	NvitILC-01529	Nvit	XP_016845669.1
HILC-4	Amh3ILC-08043	Amh3	XP_026298326.1
HILC-4	BterILC-05914	Bter	XP_012166560.1
HILC-4	CfloILC-00133	Cflo	XP_011258849.1
HILC-4	HsalILC-01231	Hsal	XP_019697295.1
HILC-4	PcanILC-12120	Pcan	XP_014611768.1
HILC-4	PdomILC-11293	Pdom	XP_015184382.1
HILC-4	NvitILC-00110	Nvit	XP_016842574.1
HILC-5	Amh3ILC-15333	Amh3	XP_006559444.2
HILC-5	BterILC-09101	Bter	XP_020721585.1
HILC-5	CfloILC-03132	Cflo	XP_019885381.1
HILC-5	HsalILC-05302	Hsal	XP_011135328.1
HILC-5	PcanILC-06610	Pcan	XP_014603720.1
HILC-5	PdomILC-11175	Pdom	XP_015184195.1
HILC-5	NvitILC-21502	Nvit	XP_016844332.1
HILC-6	Amh3ILC-04385	Amh3	XP_026296195.1
HILC-6	BterILC-02639	Bter	XP_003394750.1
HILC-6	CfloILC-10515	Cflo	XP_011254882.1
HILC-6	HsalILC-21188	Hsal	XP_011149161.1
HILC-6	PcanILC-02641	Pcan	XP_014616853.1
HILC-6	PdomILC-10541	Pdom	XP_015183261.1
HILC-6	NvitILC-08927	Nvit	XP_008211380.1
HILC-7	Amh3ILC-13360	Amh3	XP_026300604.1
HILC-7	BterILC-10004	Bter	XP_003400324.1
HILC-7	CfloILC-14351	Cflo	XP_011258120.1
HILC-7	HsalILC-21211	Hsal	XP_011149193.1
HILC-7	PcanILC-05720	Pcan	XP_014602386.1
HILC-7	PdomILC-13026	Pdom	XP_015186930.1
HILC-7	NvitILC-10693	Nvit	XP_008207429.2
HILC-8	Amh3ILC-11911	Amh3	XP_006566769.1
HILC-8	BterILC-08213	Bter	XP_020721236.1
HILC-8	CfloILC-03687	Cflo	XP_011269146.1
HILC-8	HsalILC-13050	Hsal	XP_011142062.1
HILC-8	PcanILC-09290	Pcan	XP_014607787.1
HILC-8	PdomILC-10805	Pdom	XP_015183733.1
HILC-8	NvitILC-24328	Nvit	XP_001605335.2
HILC-9	Amh3ILC-06680	Amh3	XP_006570044.2
HILC-9	BterILC-04270	Bter	XP_020719169.1
HILC-9	CfloILC-26072	Cflo	XP_019885116.1
HILC-9	HsalILC-14046	Hsal	XP_011143054.1
HILC-9	PcanILC-00933	Pcan	XP_014608112.1
HILC-9	PdomILC-06753	Pdom	XP_015177435.1
HILC-9	NvitILC-08347	Nvit	XP_016839723.1
HILC-10	Amh3ILC-05381	Amh3	XP_006562149.1
HILC-10	BterILC-03887	Bter	XP_003395438.1
HILC-10	CfloILC-05925	Cflo	XP_011251190.1
HILC-10	HsalILC-10965	Hsal	XP_011140247.1
HILC-10	PcanILC-04211	Pcan	XP_014600049.1
HILC-10	PdomILC-14812	Pdom	XP_015189358.1
HILC-10	NvitILC-04113	Nvit	XP_008212415.1
HILC-11	Amh3ILC-14091	Amh3	XP_006565864.2
HILC-11	BterILC-10312	Bter	XP_003400533.1
HILC-11	CfloILC-24985	Cflo	XP_019884975.1
HILC-11	HsalILC-14438	Hsal	XP_019698078.1
HILC-11	PcanILC-02816	Pcan	XP_014597796.1
HILC-11	PdomILC-10457	Pdom	XP_015183050.1
