Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Crei	locus:NW_001842466.1_1-100311.	NW_001842466.1	locus:NW_001842466.1_1-100311.	100311	100311	0.673	0.000	0.639	fiLocus	0	True	NA
Crei	locus:NW_001842467.1_1-95482.	NW_001842467.1	locus:NW_001842467.1_1-95482.	95482	95482	0.665	-0.024	0.506	fiLocus	0	True	NA
Crei	locus:NW_001842468.1_1-81876.	NW_001842468.1	locus:NW_001842468.1_1-81876.	81876	81876	0.606	0.109	0.922	fiLocus	0	True	NA
Crei	locus:NW_001842469.1_1-27661.	NW_001842469.1	locus:NW_001842469.1_1-27661.	27661	27661	0.646	-0.035	0.458	fiLocus	0	True	NA
Crei	locus:NW_001842470.1_1-48614.	NW_001842470.1	locus:NW_001842470.1_1-48614.	48614	48614	0.647	0.054	0.779	fiLocus	0	True	NA
Crei	locus:NW_001842471.1_1-48606.	NW_001842471.1	locus:NW_001842471.1_1-48606.	48606	48606	0.624	-0.068	0.829	fiLocus	0	True	NA
Crei	locus:NW_001842472.1_1-48035.	NW_001842472.1	locus:NW_001842472.1_1-48035.	48035	48035	0.591	0.107	0.894	fiLocus	0	True	NA
Crei	locus:NW_001842473.1_1-47651.	NW_001842473.1	locus:NW_001842473.1_1-47651.	47651	47651	0.608	0.055	0.877	fiLocus	0	True	NA
Crei	locus:NW_001842474.1_1-47517.	NW_001842474.1	locus:NW_001842474.1_1-47517.	47517	47517	0.643	-0.048	0.704	fiLocus	0	True	NA
Crei	locus:NW_001842475.1_1-46666.	NW_001842475.1	locus:NW_001842475.1_1-46666.	46666	46666	0.660	0.004	0.072	fiLocus	0	True	NA
Crei	locus:NW_001842476.1_1-45351.	NW_001842476.1	locus:NW_001842476.1_1-45351.	45351	45351	0.583	0.140	0.590	fiLocus	0	True	NA
Crei	locus:NW_001842477.1_1-44848.	NW_001842477.1	locus:NW_001842477.1_1-44848.	44848	44848	0.609	-0.204	0.836	fiLocus	0	True	NA
Crei	locus:NW_001842478.1_1-14817.	NW_001842478.1	locus:NW_001842478.1_1-14817.	14817	14817	0.602	0.031	0.357	fiLocus	0	True	NA
Crei	locus:NW_001842479.1_1-42332.	NW_001842479.1	locus:NW_001842479.1_1-42332.	42332	42332	0.614	-0.012	0.761	fiLocus	0	True	NA
Crei	locus:NW_001842480.1_1-41542.	NW_001842480.1	locus:NW_001842480.1_1-41542.	41542	41542	0.587	-0.035	0.733	fiLocus	0	True	NA
Crei	locus:NW_001842481.1_1-41236.	NW_001842481.1	locus:NW_001842481.1_1-41236.	41236	41236	0.608	0.008	0.913	fiLocus	0	True	NA
Crei	locus:NW_001842482.1_1-40839.	NW_001842482.1	locus:NW_001842482.1_1-40839.	40839	40839	0.626	0.248	0.971	fiLocus	0	True	NA
Crei	locus:NW_001842483.1_1-40783.	NW_001842483.1	locus:NW_001842483.1_1-40783.	40783	40783	0.639	-0.079	0.953	fiLocus	0	True	NA
Crei	locus:NW_001842484.1_1-41050.	NW_001842484.1	locus:NW_001842484.1_1-41050.	41050	41050	0.613	0.044	0.846	fiLocus	0	True	NA
Crei	locus:NW_001842485.1_1-40620.	NW_001842485.1	locus:NW_001842485.1_1-40620.	40620	40620	0.599	-0.089	0.953	fiLocus	0	True	NA
Crei	locus:NW_001842486.1_1-40380.	NW_001842486.1	locus:NW_001842486.1_1-40380.	40380	40380	0.651	0.027	0.956	fiLocus	0	True	NA
Crei	locus:NW_001842487.1_1-40509.	NW_001842487.1	locus:NW_001842487.1_1-40509.	40509	40509	0.693	-0.039	0.896	fiLocus	0	True	NA
Crei	locus:NW_001842488.1_1-40427.	NW_001842488.1	locus:NW_001842488.1_1-40427.	40427	40427	0.382	0.025	0.966	fiLocus	0	True	NA
Crei	locus:NW_001842489.1_1-40194.	NW_001842489.1	locus:NW_001842489.1_1-40194.	40194	40194	0.600	0.046	0.838	fiLocus	0	True	NA
Crei	locus:NW_001842490.1_1-40286.	NW_001842490.1	locus:NW_001842490.1_1-40286.	40286	40286	0.320	-0.240	0.967	fiLocus	0	True	NA
Crei	locus:NW_001842491.1_1-40222.	NW_001842491.1	locus:NW_001842491.1_1-40222.	40222	40222	0.383	0.041	0.967	fiLocus	0	True	NA
Crei	locus:NW_001842492.1_1-40131.	NW_001842492.1	locus:NW_001842492.1_1-40131.	40131	40131	0.434	0.066	0.970	fiLocus	0	True	NA
Crei	locus:NW_001842493.1_1-40424.	NW_001842493.1	locus:NW_001842493.1_1-40424.	40424	40424	0.408	0.066	0.971	fiLocus	0	True	NA
Crei	locus:NW_001842494.1_1-40102.	NW_001842494.1	locus:NW_001842494.1_1-40102.	40102	40102	0.546	-0.119	0.967	fiLocus	0	True	NA
Crei	locus:NW_001842495.1_1-40484.	NW_001842495.1	locus:NW_001842495.1_1-40484.	40484	40484	0.459	0.106	0.969	fiLocus	0	True	NA
Crei	locus:NW_001842496.1_1-40317.	NW_001842496.1	locus:NW_001842496.1_1-40317.	40317	40317	0.345	-0.068	0.966	fiLocus	0	True	NA
Crei	locus:NW_001842497.1_1-40133.	NW_001842497.1	locus:NW_001842497.1_1-40133.	40133	40133	0.337	-0.026	0.969	fiLocus	0	True	NA
Crei	locus:NW_001842498.1_1-40077.	NW_001842498.1	locus:NW_001842498.1_1-40077.	40077	40077	0.388	-0.079	0.968	fiLocus	0	True	NA
Crei	locus:NW_001842499.1_1-40134.	NW_001842499.1	locus:NW_001842499.1_1-40134.	40134	40134	0.401	-0.098	0.971	fiLocus	0	True	NA
Crei	locus:NW_001842500.1_1-40301.	NW_001842500.1	locus:NW_001842500.1_1-40301.	40301	40301	0.341	0.002	0.969	fiLocus	0	True	NA
Crei	locus:NW_001842501.1_1-40423.	NW_001842501.1	locus:NW_001842501.1_1-40423.	40423	40423	0.269	-0.075	0.971	fiLocus	0	True	NA
Crei	locus:NW_001842502.1_1-40032.	NW_001842502.1	locus:NW_001842502.1_1-40032.	40032	40032	0.363	-0.022	0.966	fiLocus	0	True	NA
Crei	locus:NW_001842503.1_1-40027.	NW_001842503.1	locus:NW_001842503.1_1-40027.	40027	40027	0.372	-0.058	0.966	fiLocus	0	True	NA
Crei	locus:NW_001842504.1_1-40057.	NW_001842504.1	locus:NW_001842504.1_1-40057.	40057	40057	0.296	-0.066	0.969	fiLocus	0	True	NA
Crei	locus:NW_001842505.1_1-40073.	NW_001842505.1	locus:NW_001842505.1_1-40073.	40073	40073	0.367	-0.005	0.970	fiLocus	0	True	NA
Crei	locus:NW_001842506.1_1-40077.	NW_001842506.1	locus:NW_001842506.1_1-40077.	40077	40077	0.285	-0.154	0.971	fiLocus	0	True	NA
Crei	locus:NW_001842507.1_1-40077.	NW_001842507.1	locus:NW_001842507.1_1-40077.	40077	40077	0.453	0.137	0.968	fiLocus	0	True	NA
Crei	locus:NW_001842508.1_1-40006.	NW_001842508.1	locus:NW_001842508.1_1-40006.	40006	40006	0.395	-0.212	0.973	fiLocus	0	True	NA
Crei	locus:NW_001842509.1_1-40042.	NW_001842509.1	locus:NW_001842509.1_1-40042.	40042	40042	0.394	-0.074	0.963	fiLocus	0	True	NA
Crei	locus:NW_001842510.1_1-40002.	NW_001842510.1	locus:NW_001842510.1_1-40002.	40002	40002	0.300	0.016	0.974	fiLocus	0	True	NA
Crei	locus:NW_001842511.1_1-37144.	NW_001842511.1	locus:NW_001842511.1_1-37144.	37144	37144	0.595	-0.173	0.787	fiLocus	0	True	NA
Crei	locus:NW_001842512.1_1-34847.	NW_001842512.1	locus:NW_001842512.1_1-34847.	34847	34847	0.652	-0.006	0.392	fiLocus	0	True	NA
Crei	locus:NW_001842513.1_1-20005.	NW_001842513.1	locus:NW_001842513.1_1-20005.	20005	20005	0.645	-0.091	0.478	fiLocus	0	True	NA
Crei	locus:NW_001842514.1_1-23081.	NW_001842514.1	locus:NW_001842514.1_1-23081.	23081	23081	0.599	0.032	0.582	fiLocus	0	True	NA
Crei	locus:NW_001842515.1_1-26123.	NW_001842515.1	locus:NW_001842515.1_1-26123.	26123	26123	0.595	0.082	0.226	fiLocus	0	True	NA
Crei	locus:NW_001842516.1_1-23013.	NW_001842516.1	locus:NW_001842516.1_1-23013.	23013	23013	0.671	-0.063	0.220	fiLocus	0	True	NA
Crei	locus:NW_001842517.1_1-3650.	NW_001842517.1	locus:NW_001842517.1_1-3650.	3650	3650	0.584	0.166	0.014	fiLocus	0	True	NA
Crei	locus:NW_001842518.1_1-24196.	NW_001842518.1	locus:NW_001842518.1_1-24196.	24196	24196	0.682	0.016	0.337	fiLocus	0	True	NA
Crei	locus:NW_001842519.1_1-15664.	NW_001842519.1	locus:NW_001842519.1_1-15664.	15664	15664	0.728	0.051	0.824	fiLocus	0	True	NA
Crei	locus:NW_001842520.1_1-22751.	NW_001842520.1	locus:NW_001842520.1_1-22751.	22751	22751	0.666	-0.003	0.174	fiLocus	0	True	NA
Crei	locus:NW_001842521.1_1-22188.	NW_001842521.1	locus:NW_001842521.1_1-22188.	22188	22188	0.679	0.074	0.575	fiLocus	0	True	NA
Crei	locus:NW_001842522.1_1-14454.	NW_001842522.1	locus:NW_001842522.1_1-14454.	14454	14454	0.662	0.066	0.763	fiLocus	0	True	NA
Crei	locus:NW_001842523.1_1-12945.	NW_001842523.1	locus:NW_001842523.1_1-12945.	12945	12945	0.671	0.083	0.522	fiLocus	0	True	NA
Crei	locus:NW_001842524.1_1-18469.	NW_001842524.1	locus:NW_001842524.1_1-18469.	18469	18469	0.642	0.090	0.815	fiLocus	0	True	NA
Crei	locus:NW_001842525.1_1-18434.	NW_001842525.1	locus:NW_001842525.1_1-18434.	18434	18434	0.679	-0.027	0.748	fiLocus	0	True	NA
Crei	locus:NW_001842526.1_1-18635.	NW_001842526.1	locus:NW_001842526.1_1-18635.	18635	18635	0.669	-0.022	0.542	fiLocus	0	True	NA
Crei	locus:NW_001842527.1_1-18173.	NW_001842527.1	locus:NW_001842527.1_1-18173.	18173	18173	0.661	-0.024	0.537	fiLocus	0	True	NA
Crei	locus:NW_001842528.1_1-17430.	NW_001842528.1	locus:NW_001842528.1_1-17430.	17430	17430	0.695	0.041	0.195	fiLocus	0	True	NA
Crei	locus:NW_001842529.1_1-16028.	NW_001842529.1	locus:NW_001842529.1_1-16028.	16028	16028	0.665	0.001	0.621	fiLocus	0	True	NA
Crei	locus:NW_001842530.1_1-17233.	NW_001842530.1	locus:NW_001842530.1_1-17233.	17233	17233	0.656	-0.025	0.491	fiLocus	0	True	NA
Crei	locus:NW_001842531.1_1-16178.	NW_001842531.1	locus:NW_001842531.1_1-16178.	16178	16178	0.650	-0.057	0.766	fiLocus	0	True	NA
Crei	locus:NW_001842532.1_1-16141.	NW_001842532.1	locus:NW_001842532.1_1-16141.	16141	16141	0.452	-0.016	0.759	fiLocus	0	True	NA
Crei	locus:NW_001842533.1_1-15344.	NW_001842533.1	locus:NW_001842533.1_1-15344.	15344	15344	0.599	0.024	0.521	fiLocus	0	True	NA
Crei	locus:NW_001842534.1_1-15823.	NW_001842534.1	locus:NW_001842534.1_1-15823.	15823	15823	0.525	0.070	0.815	fiLocus	0	True	NA
