Species	IntronPos	MrnaAcc	Length	GCContent	GCSkew	NContent	Context
Dmel	NC_004353.4_1080-1143+	gnl|FlyBase|CG45760-RB	64	0.047	1.000	0.000	cds
Dmel	NC_004353.4_1411-1767+	gnl|FlyBase|CG45760-RB	357	0.266	0.011	0.000	cds
Dmel	NC_004353.4_3852-4352+	gnl|FlyBase|CG45760-RB	501	0.299	-0.067	0.000	cds
Dmel	NC_004353.4_4528-4591+	gnl|FlyBase|CG45760-RB	64	0.312	0.200	0.000	cds
Dmel	NC_004353.4_4825-4874+	gnl|FlyBase|CG45760-RB	50	0.260	0.077	0.000	cds
Dmel	NC_004353.4_33126-33190-	gnl|FlyBase|CG17245-RA	65	0.262	-0.412	0.000	cds
Dmel	NC_004353.4_33374-35873-	gnl|FlyBase|CG17245-RA	2500	0.304	-0.001	0.000	cds
Dmel	NC_004353.4_36458-36515-	gnl|FlyBase|CG17245-RA	58	0.259	-0.067	0.000	cds
Dmel	NC_004353.4_41286-42913-	gnl|FlyBase|CG17245-RA	1628	0.318	0.116	0.000	cds
Dmel	NC_004353.4_50463-50515-	gnl|FlyBase|CG2125-RA	53	0.189	0.000	0.000	cds
Dmel	NC_004353.4_50681-50744-	gnl|FlyBase|CG2125-RA	64	0.156	0.200	0.000	cds
Dmel	NC_004353.4_51258-51313-	gnl|FlyBase|CG2125-RA	56	0.125	0.429	0.000	cds
Dmel	NC_004353.4_51955-52016-	gnl|FlyBase|CG2125-RA	62	0.226	0.429	0.000	cds
Dmel	NC_004353.4_52385-55830-	gnl|FlyBase|CG2125-RA	3446	0.307	0.021	0.000	cds
Dmel	NC_004353.4_66739-66839-	gnl|FlyBase|CG2168-RA	101	0.287	0.034	0.000	cds
Dmel	NC_004353.4_93274-94422+	gnl|FlyBase|CG34403-RJ	1149	0.299	0.029	0.000	cds
Dmel	NC_004353.4_94616-94836+	gnl|FlyBase|CG34403-RJ	221	0.249	0.273	0.000	cds
Dmel	NC_004353.4_95003-99405+	gnl|FlyBase|CG34403-RJ	4403	0.267	0.037	0.000	cds
Dmel	NC_004353.4_99476-107402+	gnl|FlyBase|CG34403-RJ	7927	0.311	-0.009	0.000	cds
Dmel	NC_004353.4_116631-116685-	gnl|FlyBase|CG1651-RB	55	0.182	0.400	0.000	3putr
Dmel	NC_004353.4_118502-118554-	gnl|FlyBase|CG1651-RB	53	0.283	0.333	0.000	cds
Dmel	NC_004353.4_118780-118837-	gnl|FlyBase|CG1651-RB	58	0.310	0.000	0.000	cds
Dmel	NC_004353.4_118932-119887-	gnl|FlyBase|CG1651-RB	956	0.301	-0.090	0.000	cds
Dmel	NC_004353.4_120213-120857-	gnl|FlyBase|CG1651-RB	645	0.318	-0.005	0.000	cds
Dmel	NC_004353.4_121800-121852-	gnl|FlyBase|CG1651-RB	53	0.132	0.429	0.000	cds
Dmel	NC_004353.4_121957-122308-	gnl|FlyBase|CG1651-RB	352	0.224	0.114	0.000	cds
Dmel	NC_004353.4_123423-123784-	gnl|FlyBase|CG1651-RB	362	0.309	0.000	0.000	cds
Dmel	NC_004353.4_123893-129321-	gnl|FlyBase|CG1651-RB	5429	0.354	0.024	0.000	cds
Dmel	NC_004353.4_132288-133185+	gnl|FlyBase|CG32000-RH	898	0.274	0.073	0.000	5putr
Dmel	NC_004353.4_133236-133587+	gnl|FlyBase|CG32000-RH	352	0.259	0.055	0.000	5putr
Dmel	NC_004353.4_134965-136878+	gnl|FlyBase|CG32000-RH	1914	0.311	0.070	0.000	cds
Dmel	NC_004353.4_137168-137222+	gnl|FlyBase|CG32000-RH	55	0.255	0.000	0.000	cds
Dmel	NC_004353.4_137333-137390+	gnl|FlyBase|CG32000-RH	58	0.293	-0.294	0.000	cds
Dmel	NC_004353.4_137753-137806+	gnl|FlyBase|CG32000-RH	54	0.167	0.111	0.000	cds
Dmel	NC_004353.4_138311-138373+	gnl|FlyBase|CG32000-RH	63	0.175	0.273	0.000	cds
Dmel	NC_004353.4_138575-140269+	gnl|FlyBase|CG32000-RH	1695	0.308	-0.023	0.000	cds
Dmel	NC_004353.4_142128-142199+	gnl|FlyBase|CG32000-RH	72	0.222	0.000	0.000	cds
Dmel	NC_004353.4_150837-151741+	gnl|FlyBase|CG32006-RA	905	0.267	-0.050	0.000	5putr
Dmel	NC_004353.4_152131-152194+	gnl|FlyBase|CG32006-RA	64	0.203	0.538	0.000	cds
Dmel	NC_004353.4_152379-152438+	gnl|FlyBase|CG32006-RA	60	0.283	0.412	0.000	cds
Dmel	NC_004353.4_152922-152983+	gnl|FlyBase|CG32006-RA	62	0.177	0.091	0.000	cds
Dmel	NC_004353.4_154966-155026-	gnl|FlyBase|CG31997-RA	61	0.164	-0.200	0.000	cds
Dmel	NC_004353.4_155148-155764-	gnl|FlyBase|CG31997-RA	617	0.308	0.032	0.000	cds
Dmel	NC_004353.4_173737-174110-	gnl|FlyBase|CG33978-RC	374	0.251	-0.149	0.000	cds
Dmel	NC_004353.4_174165-174784-	gnl|FlyBase|CG33978-RC	620	0.332	0.029	0.000	cds
Dmel	NC_004353.4_174969-175521-	gnl|FlyBase|CG33978-RC	553	0.325	-0.044	0.000	5putr
Dmel	NC_004353.4_177993-178777-	gnl|FlyBase|CG2219-RB	785	0.301	-0.059	0.000	cds
Dmel	NC_004353.4_178881-178936-	gnl|FlyBase|CG2219-RB	56	0.179	0.200	0.000	cds
Dmel	NC_004353.4_179035-179091-	gnl|FlyBase|CG2219-RB	57	0.281	0.375	0.000	cds
Dmel	NC_004353.4_179212-179260-	gnl|FlyBase|CG2219-RB	49	0.184	0.111	0.000	cds
Dmel	NC_004353.4_184615-184669-	gnl|FlyBase|CG2316-RA	55	0.273	0.067	0.000	cds
Dmel	NC_004353.4_184796-185826-	gnl|FlyBase|CG2316-RA	1031	0.348	-0.103	0.000	cds
Dmel	NC_004353.4_185917-185977-	gnl|FlyBase|CG2316-RA	61	0.230	0.143	0.000	cds
Dmel	NC_004353.4_186841-187996-	gnl|FlyBase|CG2316-RA	1156	0.338	0.069	0.000	cds
Dmel	NC_004353.4_188170-188229-	gnl|FlyBase|CG2316-RA	60	0.250	-0.067	0.000	cds
Dmel	NC_004353.4_188370-188424-	gnl|FlyBase|CG2316-RA	55	0.200	0.273	0.000	cds
Dmel	NC_004353.4_188524-188577-	gnl|FlyBase|CG2316-RA	54	0.167	-0.111	0.000	cds
Dmel	NC_004353.4_189249-189997-	gnl|FlyBase|CG2316-RA	749	0.262	-0.010	0.000	5putr
Dmel	NC_004353.4_190062-193343-	gnl|FlyBase|CG2316-RA	3282	0.318	-0.018	0.000	5putr
Dmel	NC_004353.4_201384-201440-	gnl|FlyBase|CG31998-RA	57	0.263	0.333	0.000	cds
Dmel	NC_004353.4_201659-203979-	gnl|FlyBase|CG31998-RA	2321	0.327	0.022	0.000	cds
Dmel	NC_004353.4_204575-204639-	gnl|FlyBase|CG31998-RA	65	0.231	-0.200	0.000	cds
Dmel	NC_004353.4_204793-205740-	gnl|FlyBase|CG31998-RA	948	0.268	0.118	0.000	5putr
Dmel	NC_004353.4_210487-210557+	gnl|FlyBase|CG1587-RA	71	0.239	0.059	0.000	cds
Dmel	NC_004353.4_210681-211589+	gnl|FlyBase|CG1587-RA	909	0.257	0.111	0.000	cds
Dmel	NC_004353.4_211795-211853+	gnl|FlyBase|CG1587-RA	59	0.203	0.000	0.000	cds
Dmel	NC_004353.4_211983-212627+	gnl|FlyBase|CG1587-RA	645	0.319	0.029	0.000	cds
Dmel	NC_004353.4_212730-212790+	gnl|FlyBase|CG1587-RA	61	0.180	0.273	0.000	cds
Dmel	NC_004353.4_215268-215329-	gnl|FlyBase|CG31999-RA	62	0.194	0.167	0.000	cds
Dmel	NC_004353.4_215561-217405-	gnl|FlyBase|CG31999-RA	1845	0.299	0.067	0.000	cds
Dmel	NC_004353.4_217495-218247-	gnl|FlyBase|CG31999-RA	753	0.319	0.050	0.000	cds
Dmel	NC_004353.4_218381-218445-	gnl|FlyBase|CG31999-RA	65	0.185	0.000	0.000	cds
Dmel	NC_004353.4_218891-219890-	gnl|FlyBase|CG31999-RA	1000	0.358	-0.034	0.000	cds
Dmel	NC_004353.4_220029-220143-	gnl|FlyBase|CG31999-RA	115	0.348	0.100	0.000	cds
Dmel	NC_004353.4_220438-222540-	gnl|FlyBase|CG31999-RA	2103	0.314	-0.012	0.000	cds
Dmel	NC_004353.4_222599-222653-	gnl|FlyBase|CG31999-RA	55	0.273	-0.067	0.000	cds
Dmel	NC_004353.4_222737-222790-	gnl|FlyBase|CG31999-RA	54	0.259	0.286	0.000	cds
Dmel	NC_004353.4_223013-223556-	gnl|FlyBase|CG31999-RA	544	0.324	0.057	0.000	cds
Dmel	NC_004353.4_223887-223944-	gnl|FlyBase|CG31999-RA	58	0.241	0.286	0.000	cds
Dmel	NC_004353.4_224440-225761-	gnl|FlyBase|CG31999-RA	1322	0.175	0.595	0.000	cds
Dmel	NC_004353.4_228241-228904+	gnl|FlyBase|CG1629-RA	664	0.309	-0.054	0.000	cds
Dmel	NC_004353.4_229572-229910+	gnl|FlyBase|CG1629-RA	339	0.292	-0.051	0.000	cds
Dmel	NC_004353.4_231601-231934+	gnl|FlyBase|CG1674-RL	334	0.275	0.065	0.000	5putr
Dmel	NC_004353.4_231978-234264+	gnl|FlyBase|CG1674-RL	2287	0.309	-0.028	0.000	cds
Dmel	NC_004353.4_234346-234863+	gnl|FlyBase|CG1674-RL	518	0.334	0.121	0.000	cds
Dmel	NC_004353.4_234945-236394+	gnl|FlyBase|CG1674-RL	1450	0.323	-0.079	0.000	cds
Dmel	NC_004353.4_236476-237268+	gnl|FlyBase|CG1674-RL	793	0.317	0.036	0.000	cds
Dmel	NC_004353.4_237560-239937+	gnl|FlyBase|CG1674-RL	2378	0.331	0.033	0.000	cds
Dmel	NC_004353.4_240073-240313+	gnl|FlyBase|CG1674-RL	241	0.249	0.133	0.000	cds
Dmel	NC_004353.4_240399-240644+	gnl|FlyBase|CG1674-RL	246	0.276	-0.029	0.000	cds
Dmel	NC_004353.4_240834-242460+	gnl|FlyBase|CG1674-RL	1627	0.270	-0.045	0.000	cds
Dmel	NC_004353.4_242680-243169+	gnl|FlyBase|CG1674-RL	490	0.327	-0.225	0.000	cds
Dmel	NC_004353.4_243586-243633+	gnl|FlyBase|CG1674-RL	48	0.292	-0.286	0.000	cds
Dmel	NC_004353.4_243749-244417+	gnl|FlyBase|CG1674-RL	669	0.341	0.000	0.000	cds
Dmel	NC_004353.4_244835-245179+	gnl|FlyBase|CG1674-RL	345	0.287	-0.010	0.000	cds
Dmel	NC_004353.4_247229-249556-	gnl|FlyBase|CG33481-RF	2328	0.387	-0.069	0.000	3putr
Dmel	NC_004353.4_249736-249789-	gnl|FlyBase|CG33481-RF	54	0.167	0.111	0.000	cds
Dmel	NC_004353.4_249978-250033-	gnl|FlyBase|CG33481-RF	56	0.250	0.000	0.000	cds
Dmel	NC_004353.4_250137-250189-	gnl|FlyBase|CG33481-RF	53	0.245	0.231	0.000	cds
Dmel	NC_004353.4_250244-251314-	gnl|FlyBase|CG33481-RF	1071	0.322	-0.119	0.000	cds
Dmel	NC_004353.4_251526-252054-	gnl|FlyBase|CG33481-RF	529	0.352	-0.011	0.000	cds
Dmel	NC_004353.4_252171-252823-	gnl|FlyBase|CG33481-RF	653	0.312	-0.088	0.000	cds
Dmel	NC_004353.4_253014-253200-	gnl|FlyBase|CG33481-RF	187	0.283	-0.132	0.000	5putr
Dmel	NC_004353.4_257405-258311+	gnl|FlyBase|CG42316-RD	907	0.340	-0.071	0.000	cds
Dmel	NC_004353.4_258467-258527+	gnl|FlyBase|CG42316-RD	61	0.197	-0.167	0.000	cds
Dmel	NC_004353.4_258673-259277+	gnl|FlyBase|CG42316-RD	605	0.279	-0.077	0.000	cds
Dmel	NC_004353.4_259371-259446+	gnl|FlyBase|CG42316-RD	76	0.276	-0.143	0.000	cds
Dmel	NC_004353.4_259605-261229+	gnl|FlyBase|CG42316-RD	1625	0.331	0.011	0.000	cds
Dmel	NC_004353.4_261512-261573+	gnl|FlyBase|CG42316-RD	62	0.226	0.143	0.000	cds
Dmel	NC_004353.4_261725-261776+	gnl|FlyBase|CG42316-RD	52	0.385	0.000	0.000	cds
Dmel	NC_004353.4_262063-263205+	gnl|FlyBase|CG42316-RD	1143	0.318	0.003	0.000	cds
Dmel	NC_004353.4_263341-264351+	gnl|FlyBase|CG42316-RD	1011	0.318	0.016	0.000	cds
Dmel	NC_004353.4_264430-264485+	gnl|FlyBase|CG42316-RD	56	0.125	0.714	0.000	cds
