Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Dmel	DmelILC-00001	NC_004353.4	NC_004353.4_1-5539	5539	5539	0.326	0.017	0.000	siLocus	1	False	NA
Dmel	DmelILC-00002	NC_004353.4	NC_004353.4_5540-31977	26438	26438	0.352	-0.035	0.000	iiLocus	0	False	FR
Dmel	DmelILC-00003	NC_004353.4	NC_004353.4_31978-44278	12301	12299	0.348	-0.014	0.000	siLocus	1	False	NA
Dmel	DmelILC-00004	NC_004353.4	NC_004353.4_42274-43874	1601	0	0.345	-0.054	0.000	niLocus	1	False	NA
Dmel	DmelILC-00005	NC_004353.4	NC_004353.4_44274-46574	2301	2298	0.290	-0.033	0.000	niLocus	1	False	NA
Dmel	DmelILC-00006	NC_004353.4	NC_004353.4_46575-47209	635	635	0.313	0.055	0.000	iiLocus	0	False	FR
Dmel	DmelILC-00007	NC_004353.4	NC_004353.4_47210-57541	10332	9560	0.351	0.032	0.000	siLocus	1	False	NA
Dmel	DmelILC-00008	NC_004353.4	NC_004353.4_55997-63624	7628	6855	0.306	-0.002	0.000	niLocus	1	False	NA
Dmel	DmelILC-00009	NC_004353.4	NC_004353.4_63625-64724	1100	1100	0.322	0.028	0.000	iiLocus	0	False	RR
Dmel	DmelILC-00010	NC_004353.4	NC_004353.4_64725-67707	2983	2983	0.340	-0.042	0.000	siLocus	1	False	NA
Dmel	DmelILC-00011	NC_004353.4	NC_004353.4_65077-66145	1069	0	0.272	-0.017	0.000	niLocus	1	False	NA
Dmel	DmelILC-00012	NC_004353.4	NC_004353.4_67708-68825	1118	1118	0.326	-0.008	0.000	iiLocus	0	False	RF
Dmel	DmelILC-00013	NC_004353.4	NC_004353.4_68826-114770	45945	45847	0.315	-0.065	0.000	siLocus	1	False	NA
Dmel	DmelILC-00014	NC_004353.4	NC_004353.4_114574-130349	15776	15677	0.361	-0.005	0.000	siLocus	1	False	NA
Dmel	DmelILC-00015	NC_004353.4	NC_004353.4_130350-131719	1370	1370	0.331	0.113	0.000	iiLocus	0	False	RF
Dmel	DmelILC-00016	NC_004353.4	NC_004353.4_131720-143623	11904	11904	0.335	0.031	0.000	siLocus	1	False	NA
Dmel	DmelILC-00017	NC_004353.4	NC_004353.4_132174-133374	1201	0	0.287	0.078	0.000	niLocus	1	False	NA
Dmel	DmelILC-00018	NC_004353.4	NC_004353.4_143624-150263	6640	6640	0.388	-0.180	0.000	iiLocus	0	False	FF
Dmel	DmelILC-00019	NC_004353.4	NC_004353.4_150264-154096	3833	3833	0.303	-0.008	0.000	siLocus	1	False	NA
Dmel	DmelILC-00020	NC_004353.4	NC_004353.4_154097-156560	2464	2464	0.332	-0.021	0.000	siLocus	1	False	NA
Dmel	DmelILC-00021	NC_004353.4	NC_004353.4_156561-157074	514	514	0.327	-0.036	0.000	iiLocus	0	False	RR
Dmel	DmelILC-00022	NC_004353.4	NC_004353.4_157075-176139	19065	18473	0.345	0.066	0.000	siLocus	1	False	NA
Dmel	DmelILC-00023	NC_004353.4	NC_004353.4_174955-176611	1657	1064	0.333	0.062	0.000	niLocus	1	False	NA
Dmel	DmelILC-00024	NC_004353.4	NC_004353.4_176612-179889	3278	3278	0.322	-0.032	0.000	siLocus	1	False	NA
Dmel	DmelILC-00025	NC_004353.4	NC_004353.4_179890-183575	3686	3686	0.323	-0.049	0.000	iiLocus	0	False	RR
Dmel	DmelILC-00026	NC_004353.4	NC_004353.4_183576-194329	10754	10705	0.335	-0.004	0.000	siLocus	1	False	NA
Dmel	DmelILC-00027	NC_004353.4	NC_004353.4_194232-196400	2169	2007	0.329	-0.192	0.000	niLocus	1	False	NA
Dmel	DmelILC-00028	NC_004353.4	NC_004353.4_196175-206445	10271	10158	0.343	0.010	0.000	siLocus	1	False	NA
Dmel	DmelILC-00029	NC_004353.4	NC_004353.4_206446-209723	3278	3278	0.347	0.027	0.000	iiLocus	0	False	RF
Dmel	DmelILC-00030	NC_004353.4	NC_004353.4_209724-213665	3942	3942	0.330	0.057	0.000	siLocus	1	False	NA
Dmel	DmelILC-00031	NC_004353.4	NC_004353.4_213666-214508	843	843	0.431	0.008	0.000	iiLocus	0	False	FR
Dmel	DmelILC-00032	NC_004353.4	NC_004353.4_214509-228248	13740	13327	0.319	-0.043	0.000	siLocus	1	False	NA
Dmel	DmelILC-00033	NC_004353.4	NC_004353.4_227422-230928	3507	2744	0.325	0.025	0.000	siLocus	1	False	NA
Dmel	DmelILC-00034	NC_004353.4	NC_004353.4_228076-229612	1537	0	0.351	0.020	0.000	niLocus	1	False	NA
Dmel	DmelILC-00035	NC_004353.4	NC_004353.4_230230-246513	16284	15934	0.327	-0.016	0.000	siLocus	1	False	NA
Dmel	DmelILC-00036	NC_004353.4	NC_004353.4_246514-253829	7316	7316	0.347	0.032	0.000	siLocus	1	False	NA
Dmel	DmelILC-00037	NC_004353.4	NC_004353.4_253830-254496	667	667	0.328	-0.142	0.000	iiLocus	0	False	RF
Dmel	DmelILC-00038	NC_004353.4	NC_004353.4_254497-266074	11578	11578	0.330	0.001	0.000	siLocus	1	False	NA
Dmel	DmelILC-00039	NC_004353.4	NC_004353.4_266075-267674	1600	1600	0.363	-0.015	0.000	iiLocus	0	False	FR
Dmel	DmelILC-00040	NC_004353.4	NC_004353.4_267675-276869	9195	8772	0.325	0.005	0.000	siLocus	1	False	NA
Dmel	DmelILC-00041	NC_004353.4	NC_004353.4_276023-278674	2652	1983	0.357	0.061	0.000	niLocus	1	False	NA
Dmel	DmelILC-00042	NC_004353.4	NC_004353.4_278185-306981	28797	28552	0.336	-0.041	0.000	siLocus	1	False	NA
Dmel	DmelILC-00043	NC_004353.4	NC_004353.4_306982-307592	611	611	0.277	-0.030	0.000	iiLocus	0	False	RF
Dmel	DmelILC-00044	NC_004353.4	NC_004353.4_307593-311322	3730	3284	0.349	0.000	0.000	siLocus	1	False	NA
Dmel	DmelILC-00045	NC_004353.4	NC_004353.4_310430-314587	4158	3629	0.340	-0.079	0.000	siLocus	1	False	NA
Dmel	DmelILC-00046	NC_004353.4	NC_004353.4_314423-331887	17465	44922	0.329	-0.004	0.000	siLocus	1	False	NA
Dmel	DmelILC-00047	NC_004353.4	NC_004353.4_327693-359427	31735	0	0.325	0.003	0.000	siLocus	1	False	NA
Dmel	DmelILC-00048	NC_004353.4	NC_004353.4_359428-376054	16627	16170	0.354	-0.006	0.000	siLocus	1	False	NA
Dmel	DmelILC-00049	NC_004353.4	NC_004353.4_375140-396105	20966	20857	0.391	0.059	0.000	siLocus	1	False	NA
Dmel	DmelILC-00050	NC_004353.4	NC_004353.4_380224-381775	1552	0	0.412	0.037	0.000	niLocus	1	False	NA
Dmel	DmelILC-00051	NC_004353.4	NC_004353.4_394896-396454	1559	0	0.404	0.032	0.000	niLocus	1	False	NA
Dmel	DmelILC-00052	NC_004353.4	NC_004353.4_396455-400202	3748	3748	0.359	-0.012	0.000	iiLocus	0	False	RR
Dmel	DmelILC-00053	NC_004353.4	NC_004353.4_400203-401265	1063	1063	0.441	0.041	0.000	niLocus	1	False	NA
Dmel	DmelILC-00054	NC_004353.4	NC_004353.4_401266-425566	24301	24301	0.362	-0.009	0.000	iiLocus	0	False	RF
Dmel	DmelILC-00055	NC_004353.4	NC_004353.4_425567-427101	1535	1400	0.434	-0.045	0.000	niLocus	1	False	NA
Dmel	DmelILC-00056	NC_004353.4	NC_004353.4_426831-432269	5439	5303	0.354	0.016	0.000	niLocus	1	False	NA
Dmel	DmelILC-00057	NC_004353.4	NC_004353.4_432270-436456	4187	4187	0.317	0.005	0.000	iiLocus	0	False	FR
Dmel	DmelILC-00058	NC_004353.4	NC_004353.4_436457-444411	7955	7955	0.394	0.005	0.000	siLocus	1	False	NA
Dmel	DmelILC-00059	NC_004353.4	NC_004353.4_444412-445003	592	592	0.258	-0.059	0.000	iiLocus	0	False	RF
Dmel	DmelILC-00060	NC_004353.4	NC_004353.4_445004-454447	9444	9444	0.328	0.012	0.000	siLocus	1	False	NA
Dmel	DmelILC-00061	NC_004353.4	NC_004353.4_454448-459267	4820	4820	0.356	0.030	0.000	iiLocus	0	False	FF
Dmel	DmelILC-00062	NC_004353.4	NC_004353.4_459268-461913	2646	1383	0.356	0.017	0.000	niLocus	1	False	NA
Dmel	DmelILC-00063	NC_004353.4	NC_004353.4_459387-467328	7942	6512	0.359	0.047	0.000	siLocus	1	False	NA
Dmel	DmelILC-00064	NC_004353.4	NC_004353.4_466997-471976	4980	22332	0.300	0.005	0.000	siLocus	1	False	NA
Dmel	DmelILC-00065	NC_004353.4	NC_004353.4_468909-489494	20586	0	0.346	-0.023	0.000	siLocus	1	False	NA
Dmel	DmelILC-00066	NC_004353.4	NC_004353.4_489495-501309	11815	11815	0.338	-0.005	0.000	iiLocus	0	False	FF
Dmel	DmelILC-00067	NC_004353.4	NC_004353.4_501310-541374	40065	56626	0.379	-0.037	0.000	siLocus	1	False	NA
Dmel	DmelILC-00068	NC_004353.4	NC_004353.4_537832-558354	20523	0	0.350	0.020	0.000	siLocus	1	False	NA
Dmel	DmelILC-00069	NC_004353.4	NC_004353.4_556525-558354	1830	0	0.390	0.000	0.000	niLocus	1	False	NA
Dmel	DmelILC-00070	NC_004353.4	NC_004353.4_557516-567776	10261	9841	0.312	0.049	0.000	siLocus	1	False	NA
Dmel	DmelILC-00071	NC_004353.4	NC_004353.4_567777-572054	4278	3878	0.357	-0.039	0.000	siLocus	1	False	NA
Dmel	DmelILC-00072	NC_004353.4	NC_004353.4_571255-580622	9368	8968	0.325	-0.011	0.000	siLocus	1	False	NA
Dmel	DmelILC-00073	NC_004353.4	NC_004353.4_580623-582607	1985	1985	0.320	0.043	0.000	iiLocus	0	False	FF
Dmel	DmelILC-00074	NC_004353.4	NC_004353.4_582608-589848	7241	7241	0.374	-0.010	0.000	siLocus	1	False	NA
Dmel	DmelILC-00075	NC_004353.4	NC_004353.4_589849-597123	7275	7275	0.489	0.115	0.000	iiLocus	0	False	FR
Dmel	DmelILC-00076	NC_004353.4	NC_004353.4_597124-598774	1651	1291	0.361	-0.084	0.000	niLocus	1	False	NA
Dmel	DmelILC-00077	NC_004353.4	NC_004353.4_598055-608149	10095	9735	0.380	0.012	0.000	siLocus	1	False	NA
Dmel	DmelILC-00078	NC_004353.4	NC_004353.4_608150-610183	2034	2034	0.343	-0.006	0.000	iiLocus	0	False	RF
Dmel	DmelILC-00079	NC_004353.4	NC_004353.4_610184-622970	12787	12661	0.327	0.033	0.000	siLocus	1	False	NA
Dmel	DmelILC-00080	NC_004353.4	NC_004353.4_622719-626531	3813	3234	0.375	-0.013	0.000	siLocus	1	False	NA
Dmel	DmelILC-00081	NC_004353.4	NC_004353.4_625626-626712	1087	634	0.395	-0.077	0.000	niLocus	1	False	NA
Dmel	DmelILC-00082	NC_004353.4	NC_004353.4_626713-629190	2478	2478	0.317	0.066	0.000	iiLocus	0	False	FF
Dmel	DmelILC-00083	NC_004353.4	NC_004353.4_629191-635850	6660	6550	0.356	0.034	0.000	siLocus	1	False	NA
Dmel	DmelILC-00084	NC_004353.4	NC_004353.4_635631-647056	11426	11316	0.348	-0.018	0.000	siLocus	1	False	NA
Dmel	DmelILC-00085	NC_004353.4	NC_004353.4_647057-648540	1484	1484	0.369	-0.007	0.000	iiLocus	0	False	RR
Dmel	DmelILC-00086	NC_004353.4	NC_004353.4_648541-663603	15063	14822	0.366	-0.003	0.000	siLocus	1	False	NA
Dmel	DmelILC-00087	NC_004353.4	NC_004353.4_663121-670513	7393	7151	0.347	-0.009	0.000	siLocus	1	False	NA
Dmel	DmelILC-00088	NC_004353.4	NC_004353.4_670514-691150	20637	20155	0.371	0.084	0.000	siLocus	1	False	NA
Dmel	DmelILC-00089	NC_004353.4	NC_004353.4_690186-696555	6370	5887	0.323	-0.038	0.000	siLocus	1	False	NA
Dmel	DmelILC-00090	NC_004353.4	NC_004353.4_696556-697188	633	633	0.314	0.035	0.000	iiLocus	0	False	RF
Dmel	DmelILC-00091	NC_004353.4	NC_004353.4_697189-721673	24485	24485	0.389	-0.000	0.000	siLocus	1	False	NA
Dmel	DmelILC-00092	NC_004353.4	NC_004353.4_721674-723899	2226	2226	0.304	0.036	0.000	iiLocus	0	False	FF
Dmel	DmelILC-00093	NC_004353.4	NC_004353.4_723900-776974	53075	52575	0.374	0.002	0.000	siLocus	1	False	NA
Dmel	DmelILC-00094	NC_004353.4	NC_004353.4_775975-777831	1857	1357	0.400	0.106	0.000	niLocus	1	False	NA
Dmel	DmelILC-00095	NC_004353.4	NC_004353.4_777832-789478	11647	11647	0.345	0.021	0.000	siLocus	1	False	NA
Dmel	DmelILC-00096	NC_004353.4	NC_004353.4_789479-799935	10457	10457	0.405	0.064	0.000	iiLocus	0	False	RR
Dmel	DmelILC-00097	NC_004353.4	NC_004353.4_799936-834893	34958	34958	0.363	-0.002	0.000	siLocus	1	False	NA
Dmel	DmelILC-00098	NC_004353.4	NC_004353.4_834894-836485	1592	1592	0.322	-0.010	0.000	iiLocus	0	False	RR
Dmel	DmelILC-00099	NC_004353.4	NC_004353.4_836486-845029	8544	8544	0.385	0.061	0.000	siLocus	1	False	NA
Dmel	DmelILC-00100	NC_004353.4	NC_004353.4_845030-850673	5644	5644	0.310	-0.013	0.000	iiLocus	0	False	RF
Dmel	DmelILC-00101	NC_004353.4	NC_004353.4_850674-852124	1451	1451	0.333	0.035	0.000	niLocus	1	False	NA
Dmel	DmelILC-00102	NC_004353.4	NC_004353.4_852125-853056	932	932	0.319	0.030	0.000	iiLocus	0	False	FR
Dmel	DmelILC-00103	NC_004353.4	NC_004353.4_853057-867525	14469	14368	0.369	-0.011	0.000	siLocus	1	False	NA
Dmel	DmelILC-00104	NC_004353.4	NC_004353.4_867324-871926	4603	45407	0.325	0.065	0.000	niLocus	1	False	NA
Dmel	DmelILC-00105	NC_004353.4	NC_004353.4_867324-912831	45508	0	0.354	-0.027	0.000	siLocus	1	False	NA
Dmel	DmelILC-00106	NC_004353.4	NC_004353.4_878874-885252	6379	0	0.310	-0.025	0.000	niLocus	1	False	NA
Dmel	DmelILC-00107	NC_004353.4	NC_004353.4_912832-914796	1965	1965	0.401	-0.052	0.000	iiLocus	0	False	FR
Dmel	DmelILC-00108	NC_004353.4	NC_004353.4_914797-931215	16419	16419	0.342	0.017	0.000	siLocus	1	False	NA
Dmel	DmelILC-00109	NC_004353.4	NC_004353.4_931216-936318	5103	5103	0.355	0.013	0.000	iiLocus	0	False	RF
Dmel	DmelILC-00110	NC_004353.4	NC_004353.4_936319-949941	13623	13623	0.339	-0.010	0.000	siLocus	1	False	NA
Dmel	DmelILC-00111	NC_004353.4	NC_004353.4_949942-951041	1100	1100	0.405	0.025	0.000	iiLocus	0	False	FR
Dmel	DmelILC-00112	NC_004353.4	NC_004353.4_951042-958892	7851	7767	0.341	0.020	0.000	siLocus	1	False	NA
Dmel	DmelILC-00113	NC_004353.4	NC_004353.4_958724-959934	1211	746	0.316	0.008	0.000	niLocus	1	False	NA
Dmel	DmelILC-00114	NC_004353.4	NC_004353.4_959175-963192	4018	19435	0.341	0.005	0.000	niLocus	1	False	NA
Dmel	DmelILC-00115	NC_004353.4	NC_004353.4_961841-978989	17149	0	0.345	0.035	0.000	siLocus	1	False	NA
Dmel	DmelILC-00116	NC_004353.4	NC_004353.4_974668-977761	3094	0	0.368	0.020	0.000	niLocus	1	False	NA
Dmel	DmelILC-00117	NC_004353.4	NC_004353.4_978990-989224	10235	10235	0.358	-0.003	0.000	iiLocus	0	False	FF
Dmel	DmelILC-00118	NC_004353.4	NC_004353.4_989225-1008422	19198	19198	0.363	-0.032	0.000	siLocus	1	False	NA
Dmel	DmelILC-00119	NC_004353.4	NC_004353.4_1008423-1009394	972	972	0.338	0.046	0.000	iiLocus	0	False	FR
Dmel	DmelILC-00120	NC_004353.4	NC_004353.4_1009395-1027601	18207	18088	0.325	-0.021	0.000	siLocus	1	False	NA
Dmel	DmelILC-00121	NC_004353.4	NC_004353.4_1027363-1029859	2497	1535	0.376	0.034	0.000	niLocus	1	False	NA
Dmel	DmelILC-00122	NC_004353.4	NC_004353.4_1028175-1029861	1687	519	0.393	0.035	0.000	siLocus	1	False	NA
