Species	IntronPos	MrnaAcc	Length	GCContent	GCSkew	NContent	Context
Agam	NC_004818.2_866-949-	gnl|WGS:AAAB|AGAP000002-RA	84	0.381	0.250	0.000	cds
Agam	NC_004818.2_3121-3210-	gnl|WGS:AAAB|AGAP000002-RA	90	0.444	-0.100	0.000	cds
Agam	NC_004818.2_3371-3458-	gnl|WGS:AAAB|AGAP000002-RA	88	0.386	0.000	0.000	cds
Agam	NC_004818.2_3761-15746-	gnl|WGS:AAAB|AGAP000002-RA	11986	0.442	0.070	0.107	cds
Agam	NC_004818.2_32733-32836-	gnl|WGS:AAAB|AGAP000005-RA	104	0.510	-0.396	0.000	cds
Agam	NC_004818.2_33012-33102-	gnl|WGS:AAAB|AGAP000005-RA	91	0.407	0.027	0.000	cds
Agam	NC_004818.2_33267-33392-	gnl|WGS:AAAB|AGAP000005-RA	126	0.341	0.070	0.000	cds
Agam	NC_004818.2_33606-37912-	gnl|WGS:AAAB|AGAP000005-RA	4307	0.370	0.207	0.022	cds
Agam	NC_004818.2_84217-84532-	gnl|WGS:AAAB|AGAP000007-RA	316	0.377	-0.261	0.000	cds
Agam	NC_004818.2_84617-84704-	gnl|WGS:AAAB|AGAP000007-RA	88	0.432	-0.368	0.000	cds
Agam	NC_004818.2_85108-85183-	gnl|WGS:AAAB|AGAP000007-RA	76	0.500	-0.158	0.000	cds
Agam	NC_004818.2_90345-91159+	gnl|WGS:AAAB|AGAP000008-RA	815	0.528	0.081	0.025	5putr
Agam	NC_004818.2_91556-91764+	gnl|WGS:AAAB|AGAP000008-RA	209	0.411	-0.233	0.000	cds
Agam	NC_004818.2_92555-93899+	gnl|WGS:AAAB|AGAP000008-RA	1345	0.363	0.037	0.000	cds
Agam	NC_004818.2_98350-98437-	gnl|WGS:AAAB|AGAP000009-RA	88	0.398	-0.200	0.000	cds
Agam	NC_004818.2_98563-100581-	gnl|WGS:AAAB|AGAP000009-RA	2019	0.518	0.086	0.000	cds
Agam	NC_004818.2_100678-101255-	gnl|WGS:AAAB|AGAP000009-RA	578	0.431	-0.116	0.000	cds
Agam	NC_004818.2_101343-101697-	gnl|WGS:AAAB|AGAP000009-RA	355	0.499	-0.412	0.000	cds
Agam	NC_004818.2_101807-101878-	gnl|WGS:AAAB|AGAP000009-RA	72	0.542	-0.026	0.000	cds
Agam	NC_004818.2_102071-102151-	gnl|WGS:AAAB|AGAP000009-RA	81	0.383	-0.032	0.000	cds
Agam	NC_004818.2_102278-102417-	gnl|WGS:AAAB|AGAP000009-RA	140	0.450	0.175	0.000	cds
Agam	NC_004818.2_102541-102631-	gnl|WGS:AAAB|AGAP000009-RA	91	0.363	-0.091	0.000	cds
Agam	NC_004818.2_102749-104833-	gnl|WGS:AAAB|AGAP000009-RA	2085	0.485	-0.192	0.000	cds
Agam	NC_004818.2_105342-107739-	gnl|WGS:AAAB|AGAP000009-RA	2398	0.451	0.032	0.000	cds
Agam	NC_004818.2_107927-107995-	gnl|WGS:AAAB|AGAP000009-RA	69	0.391	0.333	0.000	cds
Agam	NC_004818.2_108133-108206-	gnl|WGS:AAAB|AGAP000009-RA	74	0.514	0.368	0.000	cds
Agam	NC_004818.2_108324-108475-	gnl|WGS:AAAB|AGAP000009-RA	152	0.500	-0.605	0.000	cds
Agam	NC_004818.2_108555-108645-	gnl|WGS:AAAB|AGAP000009-RA	91	0.374	0.294	0.000	cds
Agam	NC_004818.2_109112-109180-	gnl|WGS:AAAB|AGAP000009-RA	69	0.377	-0.462	0.000	cds
Agam	NC_004818.2_109342-109419-	gnl|WGS:AAAB|AGAP000009-RA	78	0.410	0.125	0.000	cds
Agam	NC_004818.2_109496-109587-	gnl|WGS:AAAB|AGAP000009-RA	92	0.446	-0.171	0.000	cds
Agam	NC_004818.2_109796-109953-	gnl|WGS:AAAB|AGAP000009-RA	158	0.481	-0.158	0.000	cds
Agam	NC_004818.2_110018-110119-	gnl|WGS:AAAB|AGAP000009-RA	102	0.441	-0.022	0.000	cds
Agam	NC_004818.2_110255-110337-	gnl|WGS:AAAB|AGAP000009-RA	83	0.434	0.333	0.000	cds
Agam	NC_004818.2_110527-110584-	gnl|WGS:AAAB|AGAP000009-RA	58	0.448	-0.231	0.000	cds
Agam	NC_004818.2_110683-113874-	gnl|WGS:AAAB|AGAP000009-RA	3192	0.509	-0.103	0.000	cds
Agam	NC_004818.2_121283-121347-	gnl|WGS:AAAB|AGAP000010-RA	65	0.492	-0.375	0.000	cds
Agam	NC_004818.2_121798-121882-	gnl|WGS:AAAB|AGAP000010-RA	85	0.529	-0.467	0.000	cds
Agam	NC_004818.2_122314-123343-	gnl|WGS:AAAB|AGAP000010-RA	1030	0.494	0.033	0.000	cds
Agam	NC_004818.2_128287-128376-	gnl|WGS:AAAB|AGAP000011-RA	90	0.478	-0.349	0.000	cds
Agam	NC_004818.2_128532-128699-	gnl|WGS:AAAB|AGAP000011-RA	168	0.458	-0.610	0.000	cds
Agam	NC_004818.2_129004-129104-	gnl|WGS:AAAB|AGAP000011-RA	101	0.465	-0.021	0.000	cds
Agam	NC_004818.2_129336-129425-	gnl|WGS:AAAB|AGAP000011-RA	90	0.500	-0.244	0.000	cds
Agam	NC_004818.2_129636-130136-	gnl|WGS:AAAB|AGAP000011-RA	501	0.527	0.053	0.000	cds
Agam	NC_004818.2_130362-133613-	gnl|WGS:AAAB|AGAP000011-RA	3252	0.537	-0.010	0.000	cds
Agam	NC_004818.2_133772-134499-	gnl|WGS:AAAB|AGAP000011-RA	728	0.419	-0.016	0.000	5putr
Agam	NC_004818.2_146418-146495+	gnl|WGS:AAAB|AGAP000012-RA	78	0.359	0.071	0.000	cds
Agam	NC_004818.2_152587-160388+	gnl|WGS:AAAB|AGAP000013-RA	7802	0.481	0.025	0.003	cds
Agam	NC_004818.2_160547-160792+	gnl|WGS:AAAB|AGAP000013-RA	246	0.573	0.007	0.000	cds
Agam	NC_004818.2_160896-161106+	gnl|WGS:AAAB|AGAP000013-RA	211	0.427	-0.711	0.000	cds
Agam	NC_004818.2_161257-161523+	gnl|WGS:AAAB|AGAP000013-RA	267	0.427	0.123	0.000	cds
Agam	NC_004818.2_161672-162787+	gnl|WGS:AAAB|AGAP000013-RA	1116	0.470	-0.116	0.000	cds
Agam	NC_004818.2_154912-155042-	gnl|WGS:AAAB|AGAP000014-RA	131	0.389	-0.569	0.000	cds
Agam	NC_004818.2_192375-192462+	gnl|WGS:AAAB|AGAP000015-RA	88	0.466	-0.220	0.000	cds
Agam	NC_004818.2_192808-192881+	gnl|WGS:AAAB|AGAP000015-RA	74	0.419	-0.097	0.000	cds
Agam	NC_004818.2_193125-193558+	gnl|WGS:AAAB|AGAP000015-RA	434	0.431	-0.091	0.000	cds
Agam	NC_004818.2_197691-198026+	gnl|WGS:AAAB|AGAP000015-RA	336	0.387	0.000	0.000	cds
