Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Crei	CreiILC-00001	NW_001842466.1	NW_001842466.1_1-100311	100311	100311	0.673	0.000	0.639	fiLocus	0	True	NA
Crei	CreiILC-00002	NW_001842467.1	NW_001842467.1_1-95482	95482	95482	0.665	-0.024	0.506	fiLocus	0	True	NA
Crei	CreiILC-00003	NW_001842468.1	NW_001842468.1_1-81876	81876	81876	0.606	0.109	0.922	fiLocus	0	True	NA
Crei	CreiILC-00004	NW_001842469.1	NW_001842469.1_1-27661	27661	27661	0.646	-0.035	0.458	fiLocus	0	True	NA
Crei	CreiILC-00005	NW_001842470.1	NW_001842470.1_1-48614	48614	48614	0.647	0.054	0.779	fiLocus	0	True	NA
Crei	CreiILC-00006	NW_001842471.1	NW_001842471.1_1-48606	48606	48606	0.624	-0.068	0.829	fiLocus	0	True	NA
Crei	CreiILC-00007	NW_001842472.1	NW_001842472.1_1-48035	48035	48035	0.591	0.107	0.894	fiLocus	0	True	NA
Crei	CreiILC-00008	NW_001842473.1	NW_001842473.1_1-47651	47651	47651	0.608	0.055	0.877	fiLocus	0	True	NA
Crei	CreiILC-00009	NW_001842474.1	NW_001842474.1_1-47517	47517	47517	0.643	-0.048	0.704	fiLocus	0	True	NA
Crei	CreiILC-00010	NW_001842475.1	NW_001842475.1_1-46666	46666	46666	0.660	0.004	0.072	fiLocus	0	True	NA
Crei	CreiILC-00011	NW_001842476.1	NW_001842476.1_1-45351	45351	45351	0.583	0.140	0.590	fiLocus	0	True	NA
Crei	CreiILC-00012	NW_001842477.1	NW_001842477.1_1-44848	44848	44848	0.609	-0.204	0.836	fiLocus	0	True	NA
Crei	CreiILC-00013	NW_001842478.1	NW_001842478.1_1-14817	14817	14817	0.602	0.031	0.357	fiLocus	0	True	NA
Crei	CreiILC-00014	NW_001842479.1	NW_001842479.1_1-42332	42332	42332	0.614	-0.012	0.761	fiLocus	0	True	NA
Crei	CreiILC-00015	NW_001842480.1	NW_001842480.1_1-41542	41542	41542	0.587	-0.035	0.733	fiLocus	0	True	NA
Crei	CreiILC-00016	NW_001842481.1	NW_001842481.1_1-41236	41236	41236	0.608	0.008	0.913	fiLocus	0	True	NA
Crei	CreiILC-00017	NW_001842482.1	NW_001842482.1_1-40839	40839	40839	0.626	0.248	0.971	fiLocus	0	True	NA
Crei	CreiILC-00018	NW_001842483.1	NW_001842483.1_1-40783	40783	40783	0.639	-0.079	0.953	fiLocus	0	True	NA
Crei	CreiILC-00019	NW_001842484.1	NW_001842484.1_1-41050	41050	41050	0.613	0.044	0.846	fiLocus	0	True	NA
Crei	CreiILC-00020	NW_001842485.1	NW_001842485.1_1-40620	40620	40620	0.599	-0.089	0.953	fiLocus	0	True	NA
Crei	CreiILC-00021	NW_001842486.1	NW_001842486.1_1-40380	40380	40380	0.651	0.027	0.956	fiLocus	0	True	NA
Crei	CreiILC-00022	NW_001842487.1	NW_001842487.1_1-40509	40509	40509	0.693	-0.039	0.896	fiLocus	0	True	NA
Crei	CreiILC-00023	NW_001842488.1	NW_001842488.1_1-40427	40427	40427	0.382	0.025	0.966	fiLocus	0	True	NA
Crei	CreiILC-00024	NW_001842489.1	NW_001842489.1_1-40194	40194	40194	0.600	0.046	0.838	fiLocus	0	True	NA
Crei	CreiILC-00025	NW_001842490.1	NW_001842490.1_1-40286	40286	40286	0.320	-0.240	0.967	fiLocus	0	True	NA
Crei	CreiILC-00026	NW_001842491.1	NW_001842491.1_1-40222	40222	40222	0.383	0.041	0.967	fiLocus	0	True	NA
Crei	CreiILC-00027	NW_001842492.1	NW_001842492.1_1-40131	40131	40131	0.434	0.066	0.970	fiLocus	0	True	NA
Crei	CreiILC-00028	NW_001842493.1	NW_001842493.1_1-40424	40424	40424	0.408	0.066	0.971	fiLocus	0	True	NA
Crei	CreiILC-00029	NW_001842494.1	NW_001842494.1_1-40102	40102	40102	0.546	-0.119	0.967	fiLocus	0	True	NA
