Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Turt	locus:NW_015449489.1_1-6528.	NW_015449489.1	locus:NW_015449489.1_1-6528.	6528	6528	0.321	-0.022	0.000	miLocus	2	False	NA
Turt	locus:NW_015449490.1_1-3928.	NW_015449490.1	locus:NW_015449490.1_1-3928.	3928	3928	0.357	0.060	0.000	siLocus	1	False	NA
Turt	locus:NW_015449490.1_3929-6347.	NW_015449490.1	locus:NW_015449490.1_3929-6347.	2419	2419	0.311	-0.043	0.000	fiLocus	0	False	NA
Turt	locus:NW_015449491.1_1-6314.	NW_015449491.1	locus:NW_015449491.1_1-6314.	6314	6314	0.306	-0.065	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449492.1_1-6261.	NW_015449492.1	locus:NW_015449492.1_1-6261.	6261	6261	0.361	-0.159	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449493.1_1-6243.	NW_015449493.1	locus:NW_015449493.1_1-6243.	6243	6243	0.312	-0.046	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449494.1_1-6752.	NW_015449494.1	locus:NW_015449494.1_1-6752.	6752	6752	0.318	0.172	0.082	fiLocus	0	True	NA
Turt	locus:NW_015449495.1_1-6299.	NW_015449495.1	locus:NW_015449495.1_1-6299.	6299	6299	0.300	0.071	0.016	fiLocus	0	True	NA
Turt	locus:NW_015449496.1_1-6198.	NW_015449496.1	locus:NW_015449496.1_1-6198.	6198	6198	0.322	0.035	0.000	siLocus	1	False	NA
Turt	locus:NW_015449497.1_1-6398.	NW_015449497.1	locus:NW_015449497.1_1-6398.	6398	6398	0.378	0.206	0.032	fiLocus	0	True	NA
Turt	locus:NW_015449498.1_1-6142.	NW_015449498.1	locus:NW_015449498.1_1-6142.	6142	6142	0.320	0.064	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449499.1_1-628.	NW_015449499.1	locus:NW_015449499.1_1-628.	628	628	0.334	0.171	0.000	fiLocus	0	False	NA
Turt	locus:NW_015449499.1_629-5114.	NW_015449499.1	locus:NW_015449499.1_629-5114.	4486	4486	0.309	-0.040	0.000	miLocus	2	False	NA
Turt	locus:NW_015449499.1_5115-6125.	NW_015449499.1	locus:NW_015449499.1_5115-6125.	1011	1011	0.317	-0.031	0.000	fiLocus	0	False	NA
Turt	locus:NW_015449500.1_1-6087.	NW_015449500.1	locus:NW_015449500.1_1-6087.	6087	6087	0.322	-0.037	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449501.1_1-1990.	NW_015449501.1	locus:NW_015449501.1_1-1990.	1990	1990	0.308	-0.044	0.000	fiLocus	0	False	NA
Turt	locus:NW_015449501.1_1991-3980.	NW_015449501.1	locus:NW_015449501.1_1991-3980.	1990	1990	0.339	0.104	0.000	siLocus	1	False	NA
Turt	locus:NW_015449501.1_3981-6079.	NW_015449501.1	locus:NW_015449501.1_3981-6079.	2099	2099	0.324	0.037	0.000	fiLocus	0	False	NA
Turt	locus:NW_015449502.1_1-6079.	NW_015449502.1	locus:NW_015449502.1_1-6079.	6079	6079	0.330	0.018	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449503.1_1-6076.	NW_015449503.1	locus:NW_015449503.1_1-6076.	6076	6076	0.306	-0.008	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449504.1_1-1220.	NW_015449504.1	locus:NW_015449504.1_1-1220.	1220	1220	0.405	0.045	0.000	siLocus	1	False	NA
Turt	locus:NW_015449504.1_1221-4193.	NW_015449504.1	locus:NW_015449504.1_1221-4193.	2973	2973	0.309	0.017	0.000	iiLocus	0	False	FF
Turt	locus:NW_015449504.1_4194-6153.	NW_015449504.1	locus:NW_015449504.1_4194-6153.	1960	1960	0.398	0.035	0.051	siLocus	1	False	NA
Turt	locus:NW_015449505.1_1-6045.	NW_015449505.1	locus:NW_015449505.1_1-6045.	6045	6045	0.305	-0.015	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449506.1_1-6036.	NW_015449506.1	locus:NW_015449506.1_1-6036.	6036	6036	0.330	-0.107	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449507.1_1-5942.	NW_015449507.1	locus:NW_015449507.1_1-5942.	5942	5942	0.365	0.025	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449508.1_1-5973.	NW_015449508.1	locus:NW_015449508.1_1-5973.	5973	5973	0.305	0.024	0.017	fiLocus	0	True	NA
Turt	locus:NW_015449509.1_1-5817.	NW_015449509.1	locus:NW_015449509.1_1-5817.	5817	5817	0.338	0.040	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449510.1_1-5775.	NW_015449510.1	locus:NW_015449510.1_1-5775.	5775	5775	0.323	0.028	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449511.1_1-6051.	NW_015449511.1	locus:NW_015449511.1_1-6051.	6051	6051	0.349	-0.006	0.054	fiLocus	0	True	NA
Turt	locus:NW_015449512.1_1-5820.	NW_015449512.1	locus:NW_015449512.1_1-5820.	5820	5820	0.333	-0.042	0.017	miLocus	2	False	NA
Turt	locus:NW_015449513.1_1-3596.	NW_015449513.1	locus:NW_015449513.1_1-3596.	3596	3596	0.315	-0.056	0.000	siLocus	1	False	NA
Turt	locus:NW_015449513.1_3597-5704.	NW_015449513.1	locus:NW_015449513.1_3597-5704.	2108	2108	0.305	0.048	0.000	fiLocus	0	False	NA
Turt	locus:NW_015449514.1_1-3321.	NW_015449514.1	locus:NW_015449514.1_1-3321.	3321	3321	0.322	0.000	0.121	siLocus	1	False	NA
Turt	locus:NW_015449514.1_3322-6705.	NW_015449514.1	locus:NW_015449514.1_3322-6705.	3384	3384	0.363	-0.002	0.178	fiLocus	0	False	NA
Turt	locus:NW_015449515.1_1-5658.	NW_015449515.1	locus:NW_015449515.1_1-5658.	5658	5658	0.323	-0.031	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449516.1_1-5622.	NW_015449516.1	locus:NW_015449516.1_1-5622.	5622	5622	0.404	-0.129	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449517.1_1-5598.	NW_015449517.1	locus:NW_015449517.1_1-5598.	5598	5598	0.348	-0.078	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449518.1_1-5586.	NW_015449518.1	locus:NW_015449518.1_1-5586.	5586	5586	0.314	0.037	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449519.1_1-5780.	NW_015449519.1	locus:NW_015449519.1_1-5780.	5780	5780	0.309	-0.115	0.035	fiLocus	0	True	NA
Turt	locus:NW_015449520.1_1-1255.	NW_015449520.1	locus:NW_015449520.1_1-1255.	1255	1255	0.326	-0.106	0.080	fiLocus	0	False	NA
Turt	locus:NW_015449520.1_1256-3630.	NW_015449520.1	locus:NW_015449520.1_1256-3630.	2375	2375	0.324	-0.066	0.090	niLocus	1	False	NA
Turt	locus:NW_015449520.1_3631-5861.	NW_015449520.1	locus:NW_015449520.1_3631-5861.	2231	2231	0.300	0.019	0.000	fiLocus	0	False	NA
Turt	locus:NW_015449521.1_1-5528.	NW_015449521.1	locus:NW_015449521.1_1-5528.	5528	5528	0.355	0.031	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449522.1_1-1625.	NW_015449522.1	locus:NW_015449522.1_1-1625.	1625	1625	0.302	-0.067	0.000	fiLocus	0	False	NA
Turt	locus:NW_015449522.1_1626-5520.	NW_015449522.1	locus:NW_015449522.1_1626-5520.	3895	3895	0.309	-0.136	0.000	siLocus	1	False	NA
Turt	locus:NW_015449523.1_1-5495.	NW_015449523.1	locus:NW_015449523.1_1-5495.	5495	5495	0.333	0.066	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449524.1_1-5422.	NW_015449524.1	locus:NW_015449524.1_1-5422.	5422	5422	0.326	-0.082	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449525.1_1-5402.	NW_015449525.1	locus:NW_015449525.1_1-5402.	5402	5402	0.322	-0.053	0.000	fiLocus	0	True	NA
Turt	locus:NW_015449526.1_1-1433.	NW_015449526.1	locus:NW_015449526.1_1-1433.	1433	1433	0.327	-0.034	0.000	siLocus	1	False	NA
Turt	locus:NW_015449526.1_1434-3943.	NW_015449526.1	locus:NW_015449526.1_1434-3943.	2510	2510	0.300	-0.172	0.114	iiLocus	0	False	RR
Turt	locus:NW_015449526.1_3944-5809.	NW_015449526.1	locus:NW_015449526.1_3944-5809.	1866	1866	0.322	-0.057	0.069	niLocus	1	False	NA
Turt	locus:NW_015449527.1_1-5386.	NW_015449527.1	locus:NW_015449527.1_1-5386.	5386	5386	0.318	0.030	0.000	miLocus	2	False	NA
Turt	locus:NW_015449528.1_1-5590.	NW_015449528.1	locus:NW_015449528.1_1-5590.	5590	5590	0.301	0.068	0.037	fiLocus	0	True	NA
Turt	locus:NW_015449529.1_1-5376.	NW_015449529.1	locus:NW_015449529.1_1-5376.	5376	5376	0.355	-0.095	0.000	miLocus	3	False	NA
