Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Mcom	McomILC-00001	NC_013038.1	NC_013038.1_1-2648	2648	1723	0.561	-0.188	0.000	siLocus	1	False	NA
Mcom	McomILC-00002	NC_013038.1	NC_013038.1_1724-4040	2317	1406	0.597	0.014	0.000	siLocus	1	False	NA
Mcom	McomILC-00003	NC_013038.1	NC_013038.1_3130-5575	2446	2423	0.624	0.050	0.000	siLocus	1	False	NA
Mcom	McomILC-00004	NC_013038.1	NC_013038.1_5553-7914	2362	1387	0.608	0.064	0.000	siLocus	1	False	NA
Mcom	McomILC-00005	NC_013038.1	NC_013038.1_6940-9033	2094	1433	0.576	0.016	0.000	siLocus	1	False	NA
Mcom	McomILC-00006	NC_013038.1	NC_013038.1_8373-10128	1756	912	0.594	0.030	0.000	siLocus	1	False	NA
Mcom	McomILC-00007	NC_013038.1	NC_013038.1_9285-12183	2899	2140	0.605	0.011	0.000	siLocus	1	False	NA
Mcom	McomILC-00008	NC_013038.1	NC_013038.1_11425-13411	1987	1159	0.614	0.091	0.000	siLocus	1	False	NA
Mcom	McomILC-00009	NC_013038.1	NC_013038.1_12584-15515	2932	2716	0.628	0.076	0.000	siLocus	1	False	NA
Mcom	McomILC-00010	NC_013038.1	NC_013038.1_15300-28305	13006	12291	0.663	0.062	0.000	siLocus	1	False	NA
Mcom	McomILC-00011	NC_013038.1	NC_013038.1_27591-29160	1570	840	0.624	0.070	0.000	siLocus	1	False	NA
Mcom	McomILC-00012	NC_013038.1	NC_013038.1_28431-30157	1727	800	0.609	-0.006	0.000	siLocus	1	False	NA
Mcom	McomILC-00013	NC_013038.1	NC_013038.1_29231-31710	2480	1799	0.623	-0.054	0.000	siLocus	1	False	NA
Mcom	McomILC-00014	NC_013038.1	NC_013038.1_31030-32506	1477	579	0.674	0.022	0.000	siLocus	1	False	NA
Mcom	McomILC-00015	NC_013038.1	NC_013038.1_31609-35911	4303	3502	0.666	-0.091	0.000	siLocus	1	False	NA
Mcom	McomILC-00016	NC_013038.1	NC_013038.1_35111-37316	2206	3635	0.641	-0.047	0.000	siLocus	1	False	NA
Mcom	McomILC-00017	NC_013038.1	NC_013038.1_36279-39532	3254	0	0.662	-0.053	0.000	siLocus	1	False	NA
Mcom	McomILC-00018	NC_013038.1	NC_013038.1_38746-40294	1549	638	0.635	0.001	0.000	siLocus	1	False	NA
Mcom	McomILC-00019	NC_013038.1	NC_013038.1_39384-41622	2239	1355	0.665	-0.016	0.000	siLocus	1	False	NA
Mcom	McomILC-00020	NC_013038.1	NC_013038.1_40739-42977	2239	1376	0.654	0.017	0.000	siLocus	1	False	NA
Mcom	McomILC-00021	NC_013038.1	NC_013038.1_42115-47425	5311	5183	0.647	-0.074	0.000	siLocus	1	False	NA
Mcom	McomILC-00022	NC_013038.1	NC_013038.1_47298-50550	3253	2308	0.648	0.063	0.000	siLocus	1	False	NA
Mcom	McomILC-00023	NC_013038.1	NC_013038.1_49606-51448	1843	988	0.685	0.071	0.000	siLocus	1	False	NA
Mcom	McomILC-00024	NC_013038.1	NC_013038.1_50594-53054	2461	1582	0.689	0.094	0.000	siLocus	1	False	NA
Mcom	McomILC-00025	NC_013038.1	NC_013038.1_52176-55905	3730	3193	0.584	0.073	0.000	siLocus	1	False	NA
Mcom	McomILC-00026	NC_013038.1	NC_013038.1_55369-57188	1820	1820	0.659	-0.008	0.000	siLocus	1	False	NA
Mcom	McomILC-00027	NC_013038.1	NC_013038.1_57189-60680	3492	3492	0.689	-0.054	0.000	iiLocus	0	False	RF
Mcom	McomILC-00028	NC_013038.1	NC_013038.1_60681-62787	2107	1321	0.645	-0.024	0.000	siLocus	1	False	NA
Mcom	McomILC-00029	NC_013038.1	NC_013038.1_62002-63819	1818	961	0.650	-0.003	0.000	siLocus	1	False	NA
Mcom	McomILC-00030	NC_013038.1	NC_013038.1_62963-66323	3361	2902	0.699	-0.036	0.000	siLocus	1	False	NA
Mcom	McomILC-00031	NC_013038.1	NC_013038.1_65865-67182	1318	1313	0.664	-0.010	0.000	siLocus	1	False	NA
Mcom	McomILC-00032	NC_013038.1	NC_013038.1_67178-68786	1609	681	0.687	-0.099	0.000	siLocus	1	False	NA
Mcom	McomILC-00033	NC_013038.1	NC_013038.1_67859-69299	1441	502	0.670	-0.016	0.000	siLocus	1	False	NA
Mcom	McomILC-00034	NC_013038.1	NC_013038.1_68361-70743	2383	1419	0.652	0.047	0.000	siLocus	1	False	NA
