Species	Accession	Length	GCContent	GCSkew	NContent	ExonCount	IntronCount	5pUTRlen	3pUTRlen
Dmel	gnl|FlyBase|CG45760-RB	4161	0.353	0.042	0.000	6	5	51	44
Dmel	gnl|FlyBase|CG17245-RA	10967	0.348	0.010	0.000	5	4	354	206
Dmel	gnl|FlyBase|CG2125-RA	8622	0.351	-0.037	0.000	6	5	463	284
Dmel	gnl|FlyBase|CG2168-RA	1011	0.415	0.090	0.000	2	1	27	76
Dmel	gnl|FlyBase|CG34403-RJ	19705	0.313	-0.003	0.000	5	4	859	1567
Dmel	gnl|FlyBase|CG1651-RB	13064	0.360	0.020	0.000	10	9	26	425
Dmel	gnl|FlyBase|CG32000-RH	10904	0.334	0.034	0.000	10	9	1059	328
Dmel	gnl|FlyBase|CG32006-RA	2775	0.299	-0.008	0.000	5	4	82	270
Dmel	gnl|FlyBase|CG31997-RA	1344	0.332	0.018	0.000	3	2	157	62
Dmel	gnl|FlyBase|CG33978-RC	9095	0.359	-0.075	0.000	4	3	127	551
Dmel	gnl|FlyBase|CG2219-RB	2042	0.325	0.039	0.000	5	4	60	93
Dmel	gnl|FlyBase|CG2316-RA	9265	0.334	0.008	0.000	10	9	279	290
Dmel	gnl|FlyBase|CG31998-RA	8254	0.361	-0.017	0.000	5	4	297	186
Dmel	gnl|FlyBase|CG1587-RA	2942	0.308	0.104	0.000	6	5	231	150
Dmel	gnl|FlyBase|CG31999-RA	10948	0.321	0.052	0.000	13	12	122	96
Dmel	gnl|FlyBase|CG1629-RA	2507	0.335	0.020	0.000	3	2	83	29
Dmel	gnl|FlyBase|CG1674-RL	14478	0.328	-0.026	0.000	14	13	194	140
Dmel	gnl|FlyBase|CG33481-RF	6206	0.354	-0.050	0.000	9	8	189	147
Dmel	gnl|FlyBase|CG42316-RD	10578	0.332	-0.008	0.000	12	11	520	616
Dmel	gnl|FlyBase|CG2380-RB	8056	0.328	-0.011	0.000	9	8	138	2136
Dmel	gnl|FlyBase|CG2381-RA	27134	0.337	0.045	0.000	9	8	89	1454
Dmel	gnl|FlyBase|CG1836-RA	2210	0.375	-0.007	0.000	5	4	131	113
Dmel	gnl|FlyBase|CG2177-RE	2984	0.362	0.075	0.000	3	2	67	1860
Dmel	gnl|FlyBase|CG32850-RA	6463	0.337	0.021	0.000	3	2	281	1586
Dmel	gnl|FlyBase|CG42314-RJ	29842	0.325	-0.010	0.000	19	18	123	849
Dmel	gnl|FlyBase|CG1710-RA	12847	0.363	0.013	0.000	13	12	451	392
Dmel	gnl|FlyBase|CG2052-RA	17771	0.398	-0.056	0.000	10	9	161	323
Dmel	gnl|FlyBase|CG2041-RA	6955	0.404	-0.010	0.000	6	5	518	429
Dmel	gnl|FlyBase|CG1495-RA	7370	0.339	0.011	0.000	10	9	273	748
Dmel	gnl|FlyBase|CG2009-RA	6942	0.362	-0.038	0.000	8	7	159	134
Dmel	gnl|FlyBase|CG33941-RF	3980	0.302	-0.003	0.000	4	3	297	325
Dmel	gnl|FlyBase|CG11533-RD	10685	0.368	0.021	0.000	14	13	134	1003
Dmel	gnl|FlyBase|CG1449-RA	37983	0.384	-0.034	0.000	14	13	417	1184
Dmel	gnl|FlyBase|CG1981-RA	12587	0.379	-0.045	0.000	6	5	577	395
Dmel	gnl|FlyBase|CG1507-RB	7916	0.313	0.056	0.000	9	8	316	175
Dmel	gnl|FlyBase|CG1970-RA	2495	0.406	0.060	0.000	6	5	95	71
