Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Pdom	PdomILC-00001	NW_015148970.1	NW_015148970.1_1-2128	2128	0	0.270	-0.075	0.000	niLocus	1	False	NA
Pdom	PdomILC-00002	NW_015148970.1	NW_015148970.1_1-21100	21100	21100	0.363	0.000	0.000	siLocus	1	False	NA
Pdom	PdomILC-00003	NW_015148970.1	NW_015148970.1_21101-21901	801	801	0.280	-0.045	0.000	iiLocus	0	False	RR
Pdom	PdomILC-00004	NW_015148970.1	NW_015148970.1_21902-26915	5014	5014	0.406	0.044	0.000	siLocus	1	False	NA
Pdom	PdomILC-00005	NW_015148970.1	NW_015148970.1_26916-29576	2661	2661	0.367	0.025	0.000	iiLocus	0	False	RF
Pdom	PdomILC-00006	NW_015148970.1	NW_015148970.1_29577-33237	3661	180374	0.361	0.083	0.000	siLocus	1	False	NA
Pdom	PdomILC-00007	NW_015148970.1	NW_015148970.1_31534-209950	178417	0	0.414	0.012	0.001	siLocus	1	False	NA
Pdom	PdomILC-00008	NW_015148970.1	NW_015148970.1_209951-238059	28109	28109	0.430	-0.007	0.000	iiLocus	0	False	FR
Pdom	PdomILC-00009	NW_015148970.1	NW_015148970.1_238060-241997	3938	3209	0.328	-0.146	0.000	siLocus	1	False	NA
Pdom	PdomILC-00010	NW_015148970.1	NW_015148970.1_241269-245836	4568	4568	0.289	0.032	0.022	siLocus	1	False	NA
Pdom	PdomILC-00011	NW_015148970.1	NW_015148970.1_245837-246470	634	634	0.202	0.109	0.000	iiLocus	0	False	FR
Pdom	PdomILC-00012	NW_015148970.1	NW_015148970.1_246471-250715	4245	3358	0.310	-0.040	0.000	siLocus	1	False	NA
Pdom	PdomILC-00013	NW_015148970.1	NW_015148970.1_249829-252152	2324	1837	0.330	-0.010	0.000	siLocus	1	False	NA
Pdom	PdomILC-00014	NW_015148970.1	NW_015148970.1_251666-257226	5561	5561	0.300	-0.055	0.000	siLocus	1	False	NA
Pdom	PdomILC-00015	NW_015148970.1	NW_015148970.1_257227-259267	2041	1395	0.287	-0.022	0.000	siLocus	1	False	NA
Pdom	PdomILC-00016	NW_015148970.1	NW_015148970.1_258622-260913	2292	1451	0.308	0.064	0.000	siLocus	1	False	NA
Pdom	PdomILC-00017	NW_015148970.1	NW_015148970.1_260073-261784	1712	808	0.289	-0.024	0.000	siLocus	1	False	NA
Pdom	PdomILC-00018	NW_015148970.1	NW_015148970.1_260881-271325	10445	9701	0.291	0.100	0.000	siLocus	1	False	NA
Pdom	PdomILC-00019	NW_015148970.1	NW_015148970.1_270582-277551	6970	6584	0.294	-0.057	0.000	siLocus	1	False	NA
Pdom	PdomILC-00020	NW_015148970.1	NW_015148970.1_277166-279553	2388	2363	0.276	0.030	0.000	siLocus	1	False	NA
Pdom	PdomILC-00021	NW_015148970.1	NW_015148970.1_279529-282648	3120	2664	0.255	0.046	0.000	siLocus	1	False	NA
Pdom	PdomILC-00022	NW_015148970.1	NW_015148970.1_282193-284601	2409	1638	0.293	-0.018	0.000	siLocus	1	False	NA
Pdom	PdomILC-00023	NW_015148970.1	NW_015148970.1_283831-287403	3573	2716	0.306	0.081	0.000	siLocus	1	False	NA
