hiLocus	iLocus	Species	Protein
HILC-1	Amh3ILC-08335	Amh3	XP_026298016.1
HILC-1	BterILC-05624	Bter	XP_012166274.1
HILC-1	CfloILC-12156	Cflo	XP_011256313.1
HILC-1	HsalILC-06380	Hsal	XP_019696072.1
HILC-1	PcanILC-02297	Pcan	XP_014616375.1
HILC-1	PdtlILC-13922	Pdtl	PdomMRNAr1.2-03933.1
HILC-1	NvitILC-07813	Nvit	XP_008216627.1
HILC-2	Amh3ILC-00635	Amh3	XP_016766438.1
HILC-2	BterILC-08490	Bter	XP_012168952.2
HILC-2	CfloILC-04755	Cflo	XP_011269859.1
HILC-2	HsalILC-20921	Hsal	XP_019699568.1
HILC-2	PcanILC-03865	Pcan	XP_014599464.1
HILC-2	PdtlILC-06041	Pdtl	PdomMRNAr1.2-01305.1
HILC-2	NvitILC-01529	Nvit	XP_016845669.1
HILC-3	Amh3ILC-08043	Amh3	XP_026298326.1
HILC-3	BterILC-05914	Bter	XP_012166560.1
HILC-3	CfloILC-00133	Cflo	XP_011258849.1
HILC-3	HsalILC-01231	Hsal	XP_019697295.1
HILC-3	PcanILC-12120	Pcan	XP_014611768.1
HILC-3	PdtlILC-13719	Pdtl	PdomMRNAr1.2-05490.1
HILC-3	NvitILC-00110	Nvit	XP_016842574.1
HILC-4	Amh3ILC-15333	Amh3	XP_006559444.2
HILC-4	BterILC-09101	Bter	XP_020721585.1
HILC-4	CfloILC-03132	Cflo	XP_019885381.1
HILC-4	HsalILC-05302	Hsal	XP_011135328.1
HILC-4	PcanILC-06610	Pcan	XP_014603720.1
HILC-4	PdtlILC-13582	Pdtl	PdomMRNAr1.2-08026.1
HILC-4	NvitILC-21502	Nvit	XP_016844332.1
HILC-5	Amh3ILC-04385	Amh3	XP_026296195.1
HILC-5	BterILC-02639	Bter	XP_003394750.1
HILC-5	CfloILC-10515	Cflo	XP_011254882.1
HILC-5	HsalILC-21188	Hsal	XP_011149161.1
HILC-5	PcanILC-02641	Pcan	XP_014616853.1
HILC-5	PdtlILC-12812	Pdtl	PdomMRNAr1.2-08189.1
HILC-5	NvitILC-08927	Nvit	XP_008211380.1
HILC-6	Amh3ILC-03375	Amh3	XP_016766650.1
HILC-6	BterILC-01782	Bter	XP_003394286.1
HILC-6	CfloILC-24058	Cflo	XP_011265618.1
HILC-6	HsalILC-08312	Hsal	XP_011137717.1
HILC-6	PcanILC-05991	Pcan	XP_014602809.1
HILC-6	PdtlILC-12433	Pdtl	PdomMRNAr1.2-09346.1
HILC-6	NvitILC-03971	Nvit	XP_001601352.1
HILC-7	Amh3ILC-13360	Amh3	XP_026300604.1
HILC-7	BterILC-10004	Bter	XP_003400324.1
HILC-7	CfloILC-14351	Cflo	XP_011258120.1
HILC-7	HsalILC-21211	Hsal	XP_011149193.1
HILC-7	PcanILC-05720	Pcan	XP_014602386.1
HILC-7	PdtlILC-15892	Pdtl	PdomMRNAr1.2-03530.1
HILC-7	NvitILC-10693	Nvit	XP_008207429.2
HILC-8	Amh3ILC-11911	Amh3	XP_006566769.1
HILC-8	BterILC-08213	Bter	XP_020721236.1
HILC-8	CfloILC-03687	Cflo	XP_011269146.1
HILC-8	HsalILC-13050	Hsal	XP_011142062.1
HILC-8	PcanILC-09290	Pcan	XP_014607787.1
HILC-8	PdtlILC-13123	Pdtl	PdomMRNAr1.2-08630.1
HILC-8	NvitILC-24328	Nvit	XP_001605335.2
HILC-9	Amh3ILC-14091	Amh3	XP_006565864.2
HILC-9	BterILC-10312	Bter	XP_003400533.1
HILC-9	CfloILC-24985	Cflo	XP_019884975.1
HILC-9	HsalILC-14438	Hsal	XP_019698078.1
HILC-9	PcanILC-02816	Pcan	XP_014597796.1
HILC-9	PdtlILC-12714	Pdtl	PdomMRNAr1.2-01327.1
HILC-9	NvitILC-03498	Nvit	XP_008209443.1
HILC-10	Amh3ILC-12529	Amh3	XP_003250600.1
HILC-10	BterILC-09131	Bter	XP_020721506.1
HILC-10	CfloILC-15680	Cflo	XP_011259212.1
HILC-10	HsalILC-04306	Hsal	XP_011155009.1
HILC-10	PcanILC-12371	Pcan	XP_014612047.1
HILC-10	PdtlILC-11706	Pdtl	PdomMRNAr1.2-01518.1
HILC-10	NvitILC-02685	Nvit	XP_016838051.1
HILC-11	Amh3ILC-00818	Amh3	XP_624014.2
HILC-11	BterILC-04977	Bter	XP_012165602.1
HILC-11	CfloILC-16684	Cflo	XP_011260005.1
HILC-11	HsalILC-04316	Hsal	XP_011155025.1
HILC-11	PcanILC-04666	Pcan	XP_014600771.1
HILC-11	PdtlILC-03676	Pdtl	PdomMRNAr1.2-04972.1
HILC-11	NvitILC-04519	Nvit	XP_016837498.1
HILC-12	Amh3ILC-05418	Amh3	XP_006564250.2
HILC-12	BterILC-03854	Bter	XP_003395458.1
HILC-12	CfloILC-15332	Cflo	XP_011258896.1
HILC-12	HsalILC-15619	Hsal	XP_011144375.1
HILC-12	PcanILC-13214	Pcan	XP_014613211.1
HILC-12	PdtlILC-14241	Pdtl	PdomMRNAr1.2-03753.1
HILC-12	NvitILC-17234	Nvit	XP_008208369.2
HILC-13	Amh3ILC-05133	Amh3	XP_394533.5
HILC-13	BterILC-03494	Bter	XP_020718804.1
HILC-13	CfloILC-01986	Cflo	XP_019884145.1
HILC-13	HsalILC-23390	Hsal	XP_011150976.1
HILC-13	PcanILC-10505	Pcan	XP_014609681.1
HILC-13	PdtlILC-04034	Pdtl	PdomMRNAr1.2-09269.1
HILC-13	NvitILC-09193	Nvit	XP_016840818.1
HILC-14	Amh3ILC-05461	Amh3	XP_006564282.1
HILC-14	BterILC-03931	Bter	XP_012163799.1
HILC-14	CfloILC-13547	Cflo	XP_011257560.1
HILC-14	HsalILC-06920	Hsal	XP_011136558.1
HILC-14	PcanILC-10641	Pcan	XP_014609821.1
HILC-14	PdtlILC-08894	Pdtl	PdomMRNAr1.2-02236.1
