Species	SeqID	Sigma	Phi
Mvi3	NW_021938789.1	0.1418855176811524	0.2609457092819615
Mvi3	NW_021938838.1	0.16403391369479314	0.39420289855072466
Mvi3	NW_021938895.1	0.07762526845496373	0.17105263157894737
Mvi3	NW_021938949.1	0.20263304429132128	0.4417989417989418
Mvi3	NW_021938999.1	0.07042197104465206	0.1888111888111888
Mvi3	NW_021939063.1	0.1420094733888387	0.38144329896907214
Mvi3	NW_021939122.1	0.19242774567947044	0.33587786259541985
Mvi3	NW_021939189.1	0.18276692592043794	0.4391891891891892
Mvi3	NW_021939256.1	0.16222054336306338	0.3113207547169811
Mvi3	NW_021939324.1	0.11562612298817956	0.2608695652173913
Mvi3	NW_021939395.1	0.12043164755603053	0.33488372093023255
Mvi3	NW_021939396.1	0.0923509345242137	0.2413793103448276
Mvi3	NW_021939471.1	0.2156999930224169	0.3923444976076555
Mvi3	NW_021939546.1	0.25986236234766136	0.4461538461538462
Mvi3	NW_021939632.1	0.18200142112838893	0.43243243243243246
Mvi3	NW_021939718.1	0.08555984828760985	0.1891891891891892
Mvi3	NW_021939798.1	0.2577000927186422	0.4865771812080537
Mvi3	NW_021939882.1	0.10823563081411942	0.2727272727272727
Mvi3	NW_021939960.1	0.15499973635841194	0.3590733590733591
Mvi3	NW_021940039.1	0.18157409291793478	0.46037735849056605
Mvi3	NW_021940122.1	0.14164921731709584	0.31521739130434784
Mvi3	NW_021940207.1	0.18940661785448418	0.4034090909090909
Mvi3	NW_021940208.1	0.17084822806847264	0.27714285714285714
Mvi3	NW_021940291.1	0.14903844911280623	0.33043478260869563
Mvi3	NW_021940379.1	0.24671578615196624	0.5052083333333334
Mvi3	NW_021940460.1	0.23576090525093463	0.5298804780876494
Mvi3	NW_021940478.1	0.011618636435328957	0.10909090909090909
Mvi3	NW_021940488.1	0.2063000676512966	0.19402985074626866
Mvi3	NW_021940498.1	0.14769472903656292	0.30337078651685395
Mvi3	NW_021940508.1	0.2159363583117055	0.42105263157894735
Mvi3	NW_021940517.1	0.11462766200195704	0.34146341463414637
Mvi3	NW_021940526.1	0.3004523712792428	0.5346534653465347
Mvi3	NW_021940534.1	0.16246420283949867	0.21212121212121213
Mvi3	NW_021940535.1	0.16637364952659126	0.2586605080831409
Mvi3	NW_021940541.1	0.03900037013997786	0.1744186046511628
Mvi3	NW_021940545.1	0.20539163712546177	0.3821656050955414
Mvi3	NW_021940553.1	0.2500758751223408	0.2653061224489796
Mvi3	NW_021940560.1	0.22164188483985747	0.36764705882352944
Mvi3	NW_021940565.1	0.16608879953460184	0.4108527131782946
Mvi3	NW_021940571.1	0.09497405548868638	0.27722772277227725
Mvi3	NW_021940578.1	0.18906426643310809	0.4101123595505618
Mvi3	NW_021940585.1	0.1621828545709545	0.319047619047619
Mvi3	NW_021940593.1	0.21298116191123162	0.4326923076923077
Mvi3	NW_021940603.1	0.11201290918262176	0.35526315789473684
Mvi3	NW_021940604.1	0.09786803772158123	0.19743589743589743
Mvi3	NW_021940612.1	0.12578952783572175	0.3333333333333333
Mvi3	NW_021940620.1	0.15397648930477748	0.36936936936936937
Mvi3	NW_021940628.1	0.14690417555171037	0.4161849710982659
Mvi3	NW_021940637.1	0.1628465374876763	0.3522727272727273
Mvi3	NW_021940645.1	0.06996842185899636	0.16279069767441862
Mvi3	NW_021940651.1	0.03247624929657744	0.1724137931034483
Mvi3	NW_021940660.1	0.2111778311719569	0.43478260869565216
Mvi3	NW_021940666.1	0.06445843912879602	0.14285714285714285
Mvi3	NW_021940671.1	0.30498305771820244	0.4946236559139785
Mvi3	NW_021940681.1	0.058490670053927836	0.14285714285714285
Mvi3	NW_021940682.1	0.14204896127374883	0.31086142322097376
Mvi3	NW_021940687.1	0.3183510022173438	0.4050632911392405
Mvi3	NW_021940696.1	0.051763462493701604	0.2222222222222222
Mvi3	NW_021940704.1	0.10424950605633256	0.3333333333333333
Mvi3	NW_021940711.1	0.1946016555720641	0.3684210526315789
Mvi3	NW_021940718.1	0.17248391256524412	0.36363636363636365
Mvi3	NW_021940724.1	0.050415848888517696	0.13333333333333333
Mvi3	NW_021940729.1	0.07062076695946377	0.26
Mvi3	NW_021940737.1	0.3248388630176902	0.6060606060606061
Mvi3	NW_021940744.1	0.2677681355758908	0.43902439024390244
Mvi3	NW_021940749.1	0.19687770670930774	0.42
Mvi3	NW_021940750.1	0.1764261236806975	0.32341269841269843
Mvi3	NW_021940754.1	0.1479618283205838	0.2972972972972973
Mvi3	NW_021940761.1	0.11965525758186332	0.3333333333333333
Mvi3	NW_021940764.1	0.22596583505085746	0.43859649122807015
Mvi3	NW_021940773.1	0.1422835201523079	0.3939393939393939
Mvi3	NW_021940780.1	0.08027810258627162	0.2608695652173913
Mvi3	NW_021940789.1	0.04906916413572385	0.23076923076923078
Mvi3	NW_021940796.1	0.11746470156780049	0.4166666666666667
Mvi3	NW_021940802.1	0.04884485381147978	0.0625
Mvi3	NW_021940807.1	0.09667168762684698	0.3333333333333333
Mvi3	NW_021940812.1	0.0	0.0
Mvi3	NW_021940813.1	0.12270715500978624	0.24452554744525548
Mvi3	NW_021940818.1	0.23565308472503238	0.25
Mvi3	NW_021940822.1	0.21459914999811244	0.5555555555555556
Mvi3	NW_021940828.1	0.26124388626646433	0.35714285714285715
Mvi3	NW_021940836.1	0.2041529988386591	0.2708333333333333
Mvi3	NW_021940840.1	0.2322942506469043	0.43902439024390244
Mvi3	NW_021940845.1	0.10858258077926877	0.2222222222222222
Mvi3	NW_021940851.1	0.05260636328080322	0.15789473684210525
Mvi3	NW_021940854.1	0.23013777144949885	0.5423728813559322
Mvi3	NW_021940861.1	0.1013188524211078	0.2222222222222222
Mvi3	NW_021940863.1	0.0	0.0
Mvi3	NW_021940864.1	0.12124807631418541	0.28363636363636363
Mvi3	NW_021940867.1	0.0363754889178618	0.17391304347826086
Mvi3	NW_021940873.1	0.04933978342830582	0.08695652173913043
Mvi3	NW_021940877.1	0.3481831721823616	0.5208333333333334
Mvi3	NW_021940884.1	0.18756613661588858	0.4166666666666667
Mvi3	NW_021940890.1	0.11712193112340319	0.3
Mvi3	NW_021940896.1	0.018477482130658626	0.09523809523809523
Mvi3	NW_021940901.1	0.06591779791092693	0.2
Mvi3	NW_021940906.1	0.10656881678897902	0.21052631578947367
Mvi3	NW_021940910.1	0.25134529147982065	0.3333333333333333
Mvi3	NW_021940916.1	0.2331042132129028	0.37254901960784315
Mvi3	NW_021940917.1	0.07291910066384188	0.25806451612903225
Hsap	NC_000001.11	0.3894313401945766	0.5287037037037037
Hsap	NC_000002.12	0.39876591472997824	0.5263598326359833
Hsap	NC_000003.12	0.4676120054300293	0.5602094240837696
Hsap	NC_000004.12	0.36534942622696076	0.44901960784313727
Hsap	NC_000005.10	0.38668645842394256	0.49584133077415227
Hsap	NC_000006.12	0.3911613008165493	0.5366685616827743
Hsap	NC_000007.14	0.4015985658443905	0.5353846153846153
Hsap	NC_000008.11	0.4213256772605744	0.5250936329588015
Hsap	NC_000009.12	0.3861256003345913	0.5223665223665224
Hsap	NC_000010.11	0.42689371210283605	0.5348011363636364
Hsap	NC_000011.10	0.4242375942559369	0.5417547568710359
Hsap	NC_000012.12	0.4296329849250209	0.5886567164179104
Hsap	NC_000013.11	0.4081724186993992	0.4836272040302267
Hsap	NC_000014.9	0.4051452640646933	0.5378564405113078
Hsap	NC_000015.10	0.394792193544806	0.5366088631984586
Hsap	NC_000016.10	0.4255091657906638	0.6046153846153847
Hsap	NC_000017.11	0.46298229627028437	0.6089049338146811
Hsap	NC_000018.10	0.3948870523827038	0.4793650793650794
Hsap	NC_000019.10	0.35897783292472074	0.5797687861271676
Hsap	NC_000020.11	0.3487132228358646	0.4831081081081081
Hsap	NC_000021.9	0.32564211293524037	0.4923413566739606
Hsap	NC_000022.11	0.4356647359238029	0.5980392156862745
Hsap	NC_000023.11	0.2853071802014022	0.41306347746090155
Hsap	NC_000024.10	0.10594944975664806	0.16216216216216217
Mmus	NC_000067.6	0.34652487747141175	0.4570230607966457
Mmus	NC_000068.7	0.3922804398993205	0.4753656658968437
Mmus	NC_000069.6	0.2803950939204393	0.44842767295597485
Mmus	NC_000070.6	0.3238216754859548	0.470467385721623
Mmus	NC_000071.6	0.38761375055496666	0.5025614754098361
Mmus	NC_000072.6	0.350949604004062	0.4448955916473318
Mmus	NC_000073.6	0.2976554770884082	0.43425995492111197
Mmus	NC_000074.6	0.4055434428251767	0.5194884287454324
Mmus	NC_000075.6	0.3361688245864627	0.44747302668938105
Mmus	NC_000076.6	0.3183712333879618	0.4644023514043109
Mmus	NC_000077.6	0.39910073565113874	0.5532490974729242
Mmus	NC_000078.6	0.3319284548387078	0.45089666951323654
Mmus	NC_000079.6	0.3008815273415097	0.3874458874458874
Mmus	NC_000080.6	0.39787803980090436	0.4698085419734904
Mmus	NC_000081.6	0.3624572592868224	0.4995898277276456
Mmus	NC_000082.6	0.3785372952823664	0.43737166324435317
Mmus	NC_000083.6	0.3396050222765587	0.5092150170648464
Mmus	NC_000084.6	0.2983716488426561	0.44254278728606355
Mmus	NC_000085.6	0.3514848617321272	0.5181451612903226
Mmus	NC_000086.7	0.17854633148656135	0.31548117154811717
Mmus	NC_000087.7	0.006536339982253786	0.019230769230769232
