Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Agam	AgamILC-00001	NC_004818.2	NC_004818.2_1-16887	16887	16887	0.475	-0.057	0.076	siLocus	1	False	NA
Agam	AgamILC-00002	NC_004818.2	NC_004818.2_16888-31881	14994	14994	0.421	-0.070	0.024	iiLocus	0	False	RR
Agam	AgamILC-00003	NC_004818.2	NC_004818.2_31882-39343	7462	7462	0.431	-0.071	0.013	siLocus	1	False	NA
Agam	AgamILC-00004	NC_004818.2	NC_004818.2_39344-83316	43973	43973	0.435	-0.021	0.010	iiLocus	0	False	RR
Agam	AgamILC-00005	NC_004818.2	NC_004818.2_83317-89457	6141	6141	0.536	-0.032	0.000	siLocus	1	False	NA
Agam	AgamILC-00006	NC_004818.2	NC_004818.2_89458-95403	5946	5946	0.461	0.055	0.003	siLocus	1	False	NA
Agam	AgamILC-00007	NC_004818.2	NC_004818.2_95404-97169	1766	1766	0.440	0.076	0.000	iiLocus	0	False	FR
Agam	AgamILC-00008	NC_004818.2	NC_004818.2_97170-114521	17352	17352	0.500	0.028	0.000	siLocus	1	False	NA
Agam	AgamILC-00009	NC_004818.2	NC_004818.2_111536-112603	1068	0	0.520	0.114	0.000	niLocus	1	False	NA
Agam	AgamILC-00010	NC_004818.2	NC_004818.2_114522-120272	5751	5751	0.441	0.028	0.000	iiLocus	0	False	RR
Agam	AgamILC-00011	NC_004818.2	NC_004818.2_120273-123999	3727	3727	0.505	0.002	0.000	siLocus	1	False	NA
Agam	AgamILC-00012	NC_004818.2	NC_004818.2_124000-127203	3204	3204	0.441	0.011	0.000	iiLocus	0	False	RR
Agam	AgamILC-00013	NC_004818.2	NC_004818.2_127204-135256	8053	8053	0.526	0.045	0.000	siLocus	1	False	NA
Agam	AgamILC-00014	NC_004818.2	NC_004818.2_135257-145680	10424	10424	0.456	-0.006	0.000	iiLocus	0	False	RF
Agam	AgamILC-00015	NC_004818.2	NC_004818.2_145681-148244	2564	2564	0.509	0.028	0.000	siLocus	1	False	NA
Agam	AgamILC-00016	NC_004818.2	NC_004818.2_148245-151762	3518	3518	0.454	0.093	0.000	iiLocus	0	False	FF
Agam	AgamILC-00017	NC_004818.2	NC_004818.2_151763-164451	12689	12689	0.481	0.006	0.002	ciLocus	1	False	NA
Agam	AgamILC-00018	NC_004818.2	NC_004818.2_153924-155789	1866	0	0.558	0.052	0.000	siLocus	1	False	NA
Agam	AgamILC-00019	NC_004818.2	NC_004818.2_164452-191790	27339	27339	0.423	0.026	0.000	iiLocus	0	False	FF
Agam	AgamILC-00020	NC_004818.2	NC_004818.2_191791-202440	10650	10650	0.557	-0.002	0.000	siLocus	1	False	NA
Agam	AgamILC-00021	NC_004818.2	NC_004818.2_202441-203763	1323	1323	0.423	0.045	0.000	iiLocus	0	False	FF
Agam	AgamILC-00022	NC_004818.2	NC_004818.2_203764-207641	3878	3878	0.442	0.002	0.000	siLocus	1	False	NA
Agam	AgamILC-00023	NC_004818.2	NC_004818.2_207642-212400	4759	4759	0.444	0.020	0.004	iiLocus	0	False	FF
Agam	AgamILC-00024	NC_004818.2	NC_004818.2_212401-234185	21785	21785	0.499	-0.027	0.000	siLocus	1	False	NA
Agam	AgamILC-00025	NC_004818.2	NC_004818.2_234186-245475	11290	11290	0.419	-0.000	0.000	iiLocus	0	False	FF
Agam	AgamILC-00026	NC_004818.2	NC_004818.2_245476-252310	6835	6835	0.513	0.085	0.000	siLocus	1	False	NA
Agam	AgamILC-00027	NC_004818.2	NC_004818.2_252311-260671	8361	8361	0.421	0.048	0.000	iiLocus	0	False	FR
Agam	AgamILC-00028	NC_004818.2	NC_004818.2_260672-261771	1100	1100	0.429	0.081	0.000	niLocus	1	False	NA
