Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Csub	locus:NW_005178014.1_1-9603.	NW_005178014.1	locus:NW_005178014.1_1-9603.	9603	9603	0.459	-0.024	0.000	fiLocus	0	False	NA
Csub	locus:NW_005178014.1_9604-30203.	NW_005178014.1	locus:NW_005178014.1_9604-30203.	20600	20600	0.506	0.019	0.000	siLocus	1	False	NA
Csub	locus:NW_005178014.1_30204-37472.	NW_005178014.1	locus:NW_005178014.1_30204-37472.	7269	7269	0.466	-0.024	0.000	iiLocus	0	False	FR
Csub	locus:NW_005178014.1_37473-48704.	NW_005178014.1	locus:NW_005178014.1_37473-48704.	11232	11232	0.492	-0.026	0.000	miLocus	2	False	NA
Csub	locus:NW_005178014.1_48705-49567.	NW_005178014.1	locus:NW_005178014.1_48705-49567.	863	863	0.505	-0.046	0.000	iiLocus	0	False	RF
Csub	locus:NW_005178014.1_49568-53842.	NW_005178014.1	locus:NW_005178014.1_49568-53842.	4275	4275	0.514	0.045	0.000	siLocus	1	False	NA
Csub	locus:NW_005178014.1_53843-54422.	NW_005178014.1	locus:NW_005178014.1_53843-54422.	580	580	0.491	-0.046	0.000	iiLocus	0	False	FF
Csub	locus:NW_005178014.1_54423-59497.	NW_005178014.1	locus:NW_005178014.1_54423-59497.	5075	5075	0.538	0.021	0.000	miLocus	2	False	NA
Csub	locus:NW_005178014.1_59498-63166.	NW_005178014.1	locus:NW_005178014.1_59498-63166.	3669	3669	0.522	0.033	0.000	iiLocus	0	False	FF
Csub	locus:NW_005178014.1_63167-66384.	NW_005178014.1	locus:NW_005178014.1_63167-66384.	3218	3218	0.526	0.135	0.000	siLocus	1	False	NA
Csub	locus:NW_005178014.1_66385-68407.	NW_005178014.1	locus:NW_005178014.1_66385-68407.	2023	2023	0.514	-0.033	0.000	iiLocus	0	False	FR
Csub	locus:NW_005178014.1_68408-76703.	NW_005178014.1	locus:NW_005178014.1_68408-76703.	8296	8296	0.531	0.011	0.000	miLocus	2	False	NA
Csub	locus:NW_005178014.1_76704-78796.	NW_005178014.1	locus:NW_005178014.1_76704-78796.	2093	2093	0.472	0.047	0.000	iiLocus	0	False	FF
Csub	locus:NW_005178014.1_78797-94821.	NW_005178014.1	locus:NW_005178014.1_78797-94821.	16025	16025	0.513	-0.001	0.000	miLocus	4	False	NA
Csub	locus:NW_005178014.1_94822-96484.	NW_005178014.1	locus:NW_005178014.1_94822-96484.	1663	1663	0.532	-0.064	0.000	iiLocus	0	False	RF
Csub	locus:NW_005178014.1_96485-99882.	NW_005178014.1	locus:NW_005178014.1_96485-99882.	3398	3398	0.493	0.053	0.000	siLocus	1	False	NA
Csub	locus:NW_005178014.1_99883-100675.	NW_005178014.1	locus:NW_005178014.1_99883-100675.	793	793	0.515	0.059	0.000	iiLocus	0	False	FF
Csub	locus:NW_005178014.1_100676-108999.	NW_005178014.1	locus:NW_005178014.1_100676-108999.	8324	8324	0.540	0.019	0.000	siLocus	1	False	NA
Csub	locus:NW_005178014.1_109000-111973.	NW_005178014.1	locus:NW_005178014.1_109000-111973.	2974	2974	0.620	-0.136	0.000	fiLocus	0	False	NA
Csub	locus:NW_005178015.1_1-1668.	NW_005178015.1	locus:NW_005178015.1_1-1668.	1668	1668	0.591	0.120	0.000	siLocus	1	False	NA
Csub	locus:NW_005178015.1_1669-20923.	NW_005178015.1	locus:NW_005178015.1_1669-20923.	19255	19255	0.660	-0.007	0.000	iiLocus	0	False	FR
Csub	locus:NW_005178015.1_20924-22787.	NW_005178015.1	locus:NW_005178015.1_20924-22787.	1864	1864	0.613	0.013	0.000	siLocus	1	False	NA
Csub	locus:NW_005178015.1_22788-29720.	NW_005178015.1	locus:NW_005178015.1_22788-29720.	6933	6933	0.647	-0.004	0.000	iiLocus	0	False	RF
Csub	locus:NW_005178015.1_29721-31170.	NW_005178015.1	locus:NW_005178015.1_29721-31170.	1450	1450	0.589	0.012	0.000	siLocus	1	False	NA
Csub	locus:NW_005178015.1_31171-38774.	NW_005178015.1	locus:NW_005178015.1_31171-38774.	7604	7604	0.539	0.012	0.000	iiLocus	0	False	FR
Csub	locus:NW_005178015.1_38775-66326.	NW_005178015.1	locus:NW_005178015.1_38775-66326.	27552	27552	0.510	-0.008	0.000	miLocus	5	False	NA
Csub	locus:NW_005178015.1_66327-67652.	NW_005178015.1	locus:NW_005178015.1_66327-67652.	1326	1326	0.536	-0.066	0.000	iiLocus	0	False	FR
Csub	locus:NW_005178015.1_67653-101436.	NW_005178015.1	locus:NW_005178015.1_67653-101436.	33784	33784	0.519	0.015	0.000	miLocus	5	False	NA
Csub	locus:NW_005178015.1_101437-107108.	NW_005178015.1	locus:NW_005178015.1_101437-107108.	5672	5672	0.496	-0.038	0.000	iiLocus	0	False	FR
Csub	locus:NW_005178015.1_107109-112123.	NW_005178015.1	locus:NW_005178015.1_107109-112123.	5015	5015	0.519	-0.002	0.000	siLocus	1	False	NA
Csub	locus:NW_005178015.1_112124-113883.	NW_005178015.1	locus:NW_005178015.1_112124-113883.	1760	1760	0.495	0.000	0.000	iiLocus	0	False	RR
Csub	locus:NW_005178015.1_113884-128427.	NW_005178015.1	locus:NW_005178015.1_113884-128427.	14544	14544	0.496	0.022	0.000	miLocus	6	False	NA
Csub	locus:NW_005178015.1_128428-131078.	NW_005178015.1	locus:NW_005178015.1_128428-131078.	2651	2651	0.505	-0.004	0.000	iiLocus	0	False	FR
Csub	locus:NW_005178015.1_131079-133983.	NW_005178015.1	locus:NW_005178015.1_131079-133983.	2905	2905	0.482	-0.021	0.000	siLocus	1	False	NA
Csub	locus:NW_005178015.1_133984-135244.	NW_005178015.1	locus:NW_005178015.1_133984-135244.	1261	1261	0.483	0.067	0.000	iiLocus	0	False	RF
Csub	locus:NW_005178015.1_135245-142256.	NW_005178015.1	locus:NW_005178015.1_135245-142256.	7012	7012	0.514	0.030	0.000	miLocus	2	False	NA
Csub	locus:NW_005178015.1_142257-143720.	NW_005178015.1	locus:NW_005178015.1_142257-143720.	1464	1464	0.477	-0.084	0.000	iiLocus	0	False	FF
Csub	locus:NW_005178015.1_143721-164820.	NW_005178015.1	locus:NW_005178015.1_143721-164820.	21100	21100	0.497	0.018	0.000	miLocus	3	False	NA
Csub	locus:NW_005178015.1_164821-165552.	NW_005178015.1	locus:NW_005178015.1_164821-165552.	732	732	0.473	-0.017	0.000	iiLocus	0	False	FR
Csub	locus:NW_005178015.1_165553-171059.	NW_005178015.1	locus:NW_005178015.1_165553-171059.	5507	5507	0.476	-0.010	0.000	miLocus	2	False	NA
Csub	locus:NW_005178015.1_171060-172250.	NW_005178015.1	locus:NW_005178015.1_171060-172250.	1191	1191	0.463	0.049	0.000	iiLocus	0	False	FF
Csub	locus:NW_005178015.1_172251-177186.	NW_005178015.1	locus:NW_005178015.1_172251-177186.	4936	4936	0.434	0.002	0.000	miLocus	2	False	NA
Csub	locus:NW_005178015.1_177187-179664.	NW_005178015.1	locus:NW_005178015.1_177187-179664.	2478	2478	0.481	0.031	0.000	iiLocus	0	False	RF
Csub	locus:NW_005178015.1_179665-182887.	NW_005178015.1	locus:NW_005178015.1_179665-182887.	3223	3223	0.446	0.019	0.000	siLocus	1	False	NA
Csub	locus:NW_005178015.1_182888-184877.	NW_005178015.1	locus:NW_005178015.1_182888-184877.	1990	1990	0.467	-0.047	0.000	iiLocus	0	False	FR
