Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Cvar	CvarILC-00001	NW_005434674.1	NW_005434674.1_1-1000	1000	1000	0.752	0.053	0.000	siLocus	1	False	NA
Cvar	CvarILC-00002	NW_005434675.1	NW_005434675.1_1-1002	1002	1002	0.752	-0.017	0.001	siLocus	1	False	NA
Cvar	CvarILC-00003	NW_005434676.1	NW_005434676.1_1-1003	1003	1003	0.731	-0.050	0.000	siLocus	1	False	NA
Cvar	CvarILC-00004	NW_005434677.1	NW_005434677.1_1-1000	1000	1000	0.681	0.137	0.000	fiLocus	0	True	NA
Cvar	CvarILC-00005	NW_005434678.1	NW_005434678.1_1-1005	1005	1005	0.724	0.049	0.000	siLocus	1	False	NA
Cvar	CvarILC-00006	NW_005434679.1	NW_005434679.1_1-1006	1006	1006	0.805	0.054	0.000	fiLocus	0	True	NA
Cvar	CvarILC-00007	NW_005434680.1	NW_005434680.1_1-1007	1007	1007	0.726	0.193	0.000	fiLocus	0	True	NA
Cvar	CvarILC-00008	NW_005434681.1	NW_005434681.1_1-1008	1008	1008	0.770	-0.271	0.000	siLocus	1	False	NA
Cvar	CvarILC-00009	NW_005434682.1	NW_005434682.1_1-1007	1007	1007	0.734	0.150	0.000	siLocus	1	False	NA
Cvar	CvarILC-00010	NW_005434683.1	NW_005434683.1_1-1014	1014	1014	0.721	-0.001	0.000	siLocus	1	False	NA
Cvar	CvarILC-00011	NW_005434684.1	NW_005434684.1_1-1015	1015	1015	0.632	0.017	0.000	fiLocus	0	True	NA
Cvar	CvarILC-00012	NW_005434685.1	NW_005434685.1_1-1017	1017	1017	0.644	0.093	0.000	fiLocus	0	True	NA
Cvar	CvarILC-00013	NW_005434686.1	NW_005434686.1_1-1025	1025	1025	0.622	0.150	0.000	fiLocus	0	True	NA
Cvar	CvarILC-00014	NW_005434687.1	NW_005434687.1_1-1025	1025	1025	0.733	0.052	0.000	siLocus	1	False	NA
Cvar	CvarILC-00015	NW_005434688.1	NW_005434688.1_1-1032	1032	1032	0.772	-0.006	0.000	fiLocus	0	True	NA
Cvar	CvarILC-00016	NW_005434689.1	NW_005434689.1_1-1035	1035	1035	0.740	-0.175	0.000	siLocus	1	False	NA
Cvar	CvarILC-00017	NW_005434690.1	NW_005434690.1_1-1037	1037	1037	0.716	0.055	0.000	siLocus	1	False	NA
Cvar	CvarILC-00018	NW_005434691.1	NW_005434691.1_1-1036	1036	1036	0.689	0.067	0.000	fiLocus	0	True	NA
Cvar	CvarILC-00019	NW_005434692.1	NW_005434692.1_1-1041	1041	1041	0.749	-0.108	0.000	siLocus	1	False	NA
