Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Nvit	NvitILC-00001	NW_022279587.1	NW_022279587.1_1-104722	104722	104722	0.337	-0.092	0.000	fiLocus	0	False	NA
Nvit	NvitILC-00002	NW_022279587.1	NW_022279587.1_104723-307150	202428	202428	0.373	-0.019	0.000	siLocus	1	False	NA
Nvit	NvitILC-00003	NW_022279587.1	NW_022279587.1_307151-503948	196798	196798	0.419	-0.066	0.000	iiLocus	0	False	RR
Nvit	NvitILC-00004	NW_022279587.1	NW_022279587.1_503949-505427	1479	1479	0.375	0.069	0.000	siLocus	1	False	NA
Nvit	NvitILC-00005	NW_022279587.1	NW_022279587.1_505428-526445	21018	21018	0.384	-0.039	0.000	iiLocus	0	False	RR
Nvit	NvitILC-00006	NW_022279587.1	NW_022279587.1_526446-530284	3839	3839	0.268	-0.091	0.000	siLocus	1	False	NA
Nvit	NvitILC-00007	NW_022279587.1	NW_022279587.1_530285-551902	21618	21618	0.392	0.066	0.000	iiLocus	0	False	RF
Nvit	NvitILC-00008	NW_022279587.1	NW_022279587.1_551903-555558	3656	3656	0.419	0.007	0.000	niLocus	1	False	NA
Nvit	NvitILC-00009	NW_022279587.1	NW_022279587.1_555559-565375	9817	9817	0.375	0.032	0.000	iiLocus	0	False	FF
Nvit	NvitILC-00010	NW_022279587.1	NW_022279587.1_565376-639920	74545	74545	0.368	0.014	0.000	siLocus	1	False	NA
Nvit	NvitILC-00011	NW_022279587.1	NW_022279587.1_639921-648121	8201	8201	0.413	-0.032	0.000	iiLocus	0	False	FF
Nvit	NvitILC-00012	NW_022279587.1	NW_022279587.1_648122-650746	2625	2625	0.479	0.122	0.000	siLocus	1	False	NA
Nvit	NvitILC-00013	NW_022279587.1	NW_022279587.1_650747-666563	15817	15817	0.389	-0.021	0.000	iiLocus	0	False	FF
Nvit	NvitILC-00014	NW_022279587.1	NW_022279587.1_666564-668697	2134	2134	0.460	0.072	0.000	siLocus	1	False	NA
Nvit	NvitILC-00015	NW_022279587.1	NW_022279587.1_668698-711679	42982	42982	0.379	0.042	0.000	iiLocus	0	False	FR
Nvit	NvitILC-00016	NW_022279587.1	NW_022279587.1_711680-713292	1613	1613	0.397	-0.120	0.000	siLocus	1	False	NA
Nvit	NvitILC-00017	NW_022279587.1	NW_022279587.1_713293-718345	5053	5053	0.301	0.035	0.000	fiLocus	0	False	NA
Nvit	NvitILC-00018	NW_022279588.1	NW_022279588.1_1-15650	15650	15650	0.357	-0.003	0.000	fiLocus	0	False	NA
Nvit	NvitILC-00019	NW_022279588.1	NW_022279588.1_15651-44161	28511	28511	0.346	-0.029	0.000	siLocus	1	False	NA
Nvit	NvitILC-00020	NW_022279588.1	NW_022279588.1_22859-25873	3015	0	0.371	-0.042	0.000	siLocus	1	False	NA
Nvit	NvitILC-00021	NW_022279588.1	NW_022279588.1_28896-32732	3837	0	0.365	-0.074	0.000	niLocus	1	False	NA
Nvit	NvitILC-00022	NW_022279588.1	NW_022279588.1_44162-51576	7415	7415	0.362	0.023	0.000	iiLocus	0	False	RR
Nvit	NvitILC-00023	NW_022279588.1	NW_022279588.1_51577-56195	4619	4619	0.590	0.136	0.000	siLocus	1	False	NA
Nvit	NvitILC-00024	NW_022279588.1	NW_022279588.1_56196-116299	60104	60104	0.377	-0.081	0.000	iiLocus	0	False	RR
Nvit	NvitILC-00025	NW_022279588.1	NW_022279588.1_116300-119538	3239	3239	0.402	0.041	0.000	siLocus	1	False	NA
Nvit	NvitILC-00026	NW_022279588.1	NW_022279588.1_119539-164014	44476	44476	0.341	0.011	0.000	iiLocus	0	False	RF
Nvit	NvitILC-00027	NW_022279588.1	NW_022279588.1_164015-1529475	1365461	1365461	0.376	-0.006	0.000	ciLocus	1	False	NA
Nvit	NvitILC-00028	NW_022279588.1	NW_022279588.1_191174-194407	3234	0	0.310	0.055	0.000	siLocus	1	False	NA
Nvit	NvitILC-00029	NW_022279588.1	NW_022279588.1_344439-347591	3153	0	0.302	0.088	0.000	niLocus	1	False	NA
Nvit	NvitILC-00030	NW_022279588.1	NW_022279588.1_346683-348642	1960	0	0.270	-0.047	0.000	niLocus	1	False	NA
Nvit	NvitILC-00031	NW_022279588.1	NW_022279588.1_347847-350805	2959	0	0.288	-0.069	0.000	siLocus	1	False	NA
Nvit	NvitILC-00032	NW_022279588.1	NW_022279588.1_598220-602928	4709	0	0.400	0.057	0.000	siLocus	1	False	NA
Nvit	NvitILC-00033	NW_022279588.1	NW_022279588.1_613738-616581	2844	0	0.310	0.072	0.000	siLocus	1	False	NA
Nvit	NvitILC-00034	NW_022279588.1	NW_022279588.1_631383-632951	1569	0	0.369	-0.064	0.000	siLocus	1	False	NA
Nvit	NvitILC-00035	NW_022279588.1	NW_022279588.1_876722-881224	4503	0	0.421	-0.002	0.000	siLocus	1	False	NA
Nvit	NvitILC-00036	NW_022279588.1	NW_022279588.1_1039665-1180157	140493	0	0.387	-0.033	0.000	niLocus	1	False	NA
Nvit	NvitILC-00037	NW_022279588.1	NW_022279588.1_1396381-1403338	6958	0	0.298	-0.044	0.000	siLocus	1	False	NA
Nvit	NvitILC-00038	NW_022279588.1	NW_022279588.1_1402553-1410651	8099	0	0.327	0.009	0.000	siLocus	1	False	NA
Nvit	NvitILC-00039	NW_022279588.1	NW_022279588.1_1520964-1523503	2540	0	0.375	-0.074	0.000	siLocus	1	False	NA
Nvit	NvitILC-00040	NW_022279588.1	NW_022279588.1_1529476-1536298	6823	6823	0.354	0.063	0.000	iiLocus	0	False	FR
Nvit	NvitILC-00041	NW_022279588.1	NW_022279588.1_1536299-1539915	3617	3617	0.512	-0.029	0.000	siLocus	1	False	NA
Nvit	NvitILC-00042	NW_022279588.1	NW_022279588.1_1539916-1562058	22143	22143	0.414	-0.003	0.000	iiLocus	0	False	RF
Nvit	NvitILC-00043	NW_022279588.1	NW_022279588.1_1562059-1564903	2845	2845	0.389	-0.101	0.000	siLocus	1	False	NA
Nvit	NvitILC-00044	NW_022279588.1	NW_022279588.1_1564904-1568992	4089	4089	0.401	0.010	0.000	iiLocus	0	False	FR
Nvit	NvitILC-00045	NW_022279588.1	NW_022279588.1_1568993-1659042	90050	90050	0.371	-0.001	0.000	siLocus	1	False	NA
Nvit	NvitILC-00046	NW_022279588.1	NW_022279588.1_1659043-1720469	61427	61427	0.409	-0.090	0.000	iiLocus	0	False	RF
Nvit	NvitILC-00047	NW_022279588.1	NW_022279588.1_1720470-2032730	312261	312261	0.366	-0.037	0.000	ciLocus	1	False	NA
Nvit	NvitILC-00048	NW_022279588.1	NW_022279588.1_1919306-1921566	2261	0	0.296	0.064	0.000	siLocus	1	False	NA
Nvit	NvitILC-00049	NW_022279588.1	NW_022279588.1_2032731-2056400	23670	23670	0.389	0.005	0.000	iiLocus	0	False	FR
Nvit	NvitILC-00050	NW_022279588.1	NW_022279588.1_2056401-2059985	3585	3585	0.447	-0.525	0.000	siLocus	1	False	NA
Nvit	NvitILC-00051	NW_022279588.1	NW_022279588.1_2059986-2063539	3554	3554	0.333	-0.069	0.000	iiLocus	0	False	RF
Nvit	NvitILC-00052	NW_022279588.1	NW_022279588.1_2063540-2065642	2103	2103	0.477	0.060	0.000	siLocus	1	False	NA
Nvit	NvitILC-00053	NW_022279588.1	NW_022279588.1_2065643-2136061	70419	70419	0.392	0.007	0.000	iiLocus	0	False	FR
Nvit	NvitILC-00054	NW_022279588.1	NW_022279588.1_2136062-2350863	214802	519947	0.384	0.000	0.000	siLocus	1	False	NA
Nvit	NvitILC-00055	NW_022279588.1	NW_022279588.1_2249615-2656008	406394	0	0.369	0.003	0.000	siLocus	1	False	NA
Nvit	NvitILC-00056	NW_022279588.1	NW_022279588.1_2313964-2316265	2302	0	0.448	0.001	0.000	siLocus	1	False	NA
Nvit	NvitILC-00057	NW_022279588.1	NW_022279588.1_2334515-2338829	4315	0	0.306	0.130	0.000	siLocus	1	False	NA
Nvit	NvitILC-00058	NW_022279588.1	NW_022279588.1_2446282-2448352	2071	0	0.314	-0.084	0.000	siLocus	1	False	NA
Nvit	NvitILC-00059	NW_022279588.1	NW_022279588.1_2553041-2555047	2007	0	0.298	0.129	0.000	siLocus	1	False	NA
Nvit	NvitILC-00060	NW_022279588.1	NW_022279588.1_2656009-2672292	16284	16284	0.410	-0.068	0.000	iiLocus	0	False	RR
Nvit	NvitILC-00061	NW_022279588.1	NW_022279588.1_2672293-2745937	73645	73327	0.397	0.008	0.000	siLocus	1	False	NA
Nvit	NvitILC-00062	NW_022279588.1	NW_022279588.1_2745301-2748179	2879	2560	0.338	0.011	0.000	siLocus	1	False	NA
Nvit	NvitILC-00063	NW_022279588.1	NW_022279588.1_2748180-2753207	5028	5028	0.340	0.038	0.000	iiLocus	0	False	RF
Nvit	NvitILC-00064	NW_022279588.1	NW_022279588.1_2753208-2755040	1833	1394	0.303	0.067	0.000	siLocus	1	False	NA
Nvit	NvitILC-00065	NW_022279588.1	NW_022279588.1_2754162-2761854	7693	7253	0.399	0.363	0.000	siLocus	1	False	NA
Nvit	NvitILC-00066	NW_022279588.1	NW_022279588.1_2761855-2764086	2232	2232	0.424	-0.078	0.000	iiLocus	0	False	RR
Nvit	NvitILC-00067	NW_022279588.1	NW_022279588.1_2764087-2766035	1949	1949	0.452	0.020	0.000	siLocus	1	False	NA
Nvit	NvitILC-00068	NW_022279588.1	NW_022279588.1_2766036-2792553	26518	26518	0.365	-0.042	0.000	iiLocus	0	False	RR
Nvit	NvitILC-00069	NW_022279588.1	NW_022279588.1_2792554-2797441	4888	4406	0.423	0.050	0.000	siLocus	1	False	NA
Nvit	NvitILC-00070	NW_022279588.1	NW_022279588.1_2796478-2798806	2329	1847	0.404	0.063	0.000	siLocus	1	False	NA
Nvit	NvitILC-00071	NW_022279588.1	NW_022279588.1_2798807-2800824	2018	2018	0.432	0.029	0.000	iiLocus	0	False	RR
Nvit	NvitILC-00072	NW_022279588.1	NW_022279588.1_2800825-3114946	314122	448208	0.385	-0.006	0.000	ciLocus	5	False	NA
Nvit	NvitILC-00073	NW_022279588.1	NW_022279588.1_3108500-3249032	140533	0	0.390	-0.010	0.000	ciLocus	1	False	NA
Nvit	NvitILC-00074	NW_022279588.1	NW_022279588.1_3163646-3174678	11033	0	0.398	-0.006	0.000	siLocus	1	False	NA
Nvit	NvitILC-00075	NW_022279588.1	NW_022279588.1_3249033-3433501	184469	184469	0.354	-0.101	0.000	iiLocus	0	False	RR
Nvit	NvitILC-00076	NW_022279588.1	NW_022279588.1_3433502-3598470	164969	164969	0.374	0.005	0.000	siLocus	1	False	NA
Nvit	NvitILC-00077	NW_022279588.1	NW_022279588.1_3598471-3638896	40426	40426	0.366	0.021	0.000	iiLocus	0	False	RR
Nvit	NvitILC-00078	NW_022279588.1	NW_022279588.1_3638897-3640770	1874	1874	0.288	0.048	0.000	niLocus	1	False	NA
Nvit	NvitILC-00079	NW_022279588.1	NW_022279588.1_3640771-3647780	7010	7010	0.335	0.009	0.000	iiLocus	0	False	RR
Nvit	NvitILC-00080	NW_022279588.1	NW_022279588.1_3647781-3842268	194488	194488	0.365	0.011	0.000	siLocus	1	False	NA
Nvit	NvitILC-00081	NW_022279588.1	NW_022279588.1_3842269-3890815	48547	48547	0.404	-0.035	0.000	iiLocus	0	False	RF
Nvit	NvitILC-00082	NW_022279588.1	NW_022279588.1_3890816-4502918	612103	612103	0.378	0.003	0.000	ciLocus	4	False	NA
Nvit	NvitILC-00083	NW_022279588.1	NW_022279588.1_4502919-4510811	7893	7893	0.438	0.061	0.000	iiLocus	0	False	FF
Nvit	NvitILC-00084	NW_022279588.1	NW_022279588.1_4510812-4514836	4025	4025	0.477	-0.020	0.000	siLocus	1	False	NA
Nvit	NvitILC-00085	NW_022279588.1	NW_022279588.1_4514837-4573504	58668	58668	0.411	-0.145	0.000	iiLocus	0	False	FR
Nvit	NvitILC-00086	NW_022279588.1	NW_022279588.1_4573505-4575147	1643	1643	0.413	-0.038	0.000	niLocus	1	False	NA
Nvit	NvitILC-00087	NW_022279588.1	NW_022279588.1_4575148-4579779	4632	4632	0.489	-0.143	0.000	iiLocus	0	False	RF
Nvit	NvitILC-00088	NW_022279588.1	NW_022279588.1_4579780-4787509	207730	207730	0.362	0.003	0.000	siLocus	1	False	NA
Nvit	NvitILC-00089	NW_022279588.1	NW_022279588.1_4652281-4666885	14605	0	0.362	-0.011	0.000	niLocus	1	False	NA
Nvit	NvitILC-00090	NW_022279588.1	NW_022279588.1_4653707-4661661	7955	0	0.358	0.026	0.000	siLocus	1	False	NA
