Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Amh3	Amh3ILC-00001	NC_037638.1	NC_037638.1_1-8772	8772	8772	0.359	-0.467	0.000	fiLocus	0	False	NA
Amh3	Amh3ILC-00002	NC_037638.1	NC_037638.1_8773-12674	3902	14340	0.277	0.039	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00003	NC_037638.1	NC_037638.1_10292-17680	7389	0	0.311	0.142	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00004	NC_037638.1	NC_037638.1_16590-23957	7368	0	0.307	-0.068	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00005	NC_037638.1	NC_037638.1_23113-26708	3596	3596	0.260	0.109	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00006	NC_037638.1	NC_037638.1_26709-27622	914	914	0.185	-0.030	0.000	iiLocus	0	False	FR
Amh3	Amh3ILC-00007	NC_037638.1	NC_037638.1_27623-39715	12093	14632	0.225	0.051	0.000	ciLocus	2	False	NA
Amh3	Amh3ILC-00008	NC_037638.1	NC_037638.1_38546-42254	3709	0	0.215	0.011	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00009	NC_037638.1	NC_037638.1_42255-45755	3501	2773	0.224	0.212	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00010	NC_037638.1	NC_037638.1_45028-79893	34866	34866	0.299	-0.005	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00011	NC_037638.1	NC_037638.1_79894-86173	6280	6280	0.292	-0.024	0.000	iiLocus	0	False	FR
Amh3	Amh3ILC-00012	NC_037638.1	NC_037638.1_86174-88628	2455	2455	0.279	-0.051	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00013	NC_037638.1	NC_037638.1_88629-90743	2115	2115	0.460	0.010	0.000	iiLocus	0	False	RF
Amh3	Amh3ILC-00014	NC_037638.1	NC_037638.1_90744-92113	1370	438	0.454	-0.064	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00015	NC_037638.1	NC_037638.1_91182-110899	19718	18992	0.313	0.021	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00016	NC_037638.1	NC_037638.1_97314-99260	1947	0	0.309	0.040	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00017	NC_037638.1	NC_037638.1_110174-112892	2719	2719	0.209	-0.054	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00018	NC_037638.1	NC_037638.1_112893-117537	4645	10051	0.217	-0.067	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00019	NC_037638.1	NC_037638.1_116508-122943	6436	0	0.269	0.087	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00020	NC_037638.1	NC_037638.1_122944-123605	662	662	0.184	0.000	0.000	iiLocus	0	False	RR
Amh3	Amh3ILC-00021	NC_037638.1	NC_037638.1_123606-125781	2176	2176	0.179	-0.054	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00022	NC_037638.1	NC_037638.1_125782-134613	8832	8608	0.268	0.076	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00023	NC_037638.1	NC_037638.1_134390-241808	107419	107036	0.470	0.017	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00024	NC_037638.1	NC_037638.1_137673-138756	1084	0	0.375	0.032	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00025	NC_037638.1	NC_037638.1_138617-139705	1089	0	0.454	0.016	0.000	niLocus	2	False	NA
Amh3	Amh3ILC-00026	NC_037638.1	NC_037638.1_138837-139915	1079	0	0.466	-0.109	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00027	NC_037638.1	NC_037638.1_139178-140277	1100	0	0.432	-0.229	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00028	NC_037638.1	NC_037638.1_139459-140558	1100	0	0.421	-0.222	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00029	NC_037638.1	NC_037638.1_139848-140947	1100	0	0.405	-0.135	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00030	NC_037638.1	NC_037638.1_241426-246499	5074	4678	0.231	-0.084	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00031	NC_037638.1	NC_037638.1_246104-423492	177389	177389	0.442	0.002	0.000	ciLocus	4	False	NA
Amh3	Amh3ILC-00032	NC_037638.1	NC_037638.1_423493-485747	62255	62255	0.408	0.011	0.000	siLocus	2	False	NA
Amh3	Amh3ILC-00033	NC_037638.1	NC_037638.1_446183-447270	1088	0	0.540	-0.060	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00034	NC_037638.1	NC_037638.1_485748-557574	71827	71827	0.455	0.002	0.000	iiLocus	0	False	FF
Amh3	Amh3ILC-00035	NC_037638.1	NC_037638.1_557575-560602	3028	3028	0.480	0.041	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00036	NC_037638.1	NC_037638.1_560603-649436	88834	88834	0.462	0.001	0.000	iiLocus	0	False	FR
Amh3	Amh3ILC-00037	NC_037638.1	NC_037638.1_649437-702909	53473	38559	0.467	0.014	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00038	NC_037638.1	NC_037638.1_687996-737478	49483	49483	0.454	-0.014	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00039	NC_037638.1	NC_037638.1_737479-815788	78310	78310	0.413	0.004	0.000	iiLocus	0	False	RF
Amh3	Amh3ILC-00040	NC_037638.1	NC_037638.1_815789-821211	5423	5423	0.393	0.040	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00041	NC_037638.1	NC_037638.1_821212-824537	3326	3326	0.415	-0.006	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00042	NC_037638.1	NC_037638.1_824538-842563	18026	18026	0.403	0.005	0.000	iiLocus	0	False	RF
Amh3	Amh3ILC-00043	NC_037638.1	NC_037638.1_842564-844289	1726	1726	0.391	0.114	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00044	NC_037638.1	NC_037638.1_844290-863310	19021	19021	0.394	0.010	0.000	iiLocus	0	False	FR
Amh3	Amh3ILC-00045	NC_037638.1	NC_037638.1_863311-866692	3382	3382	0.359	-0.012	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00046	NC_037638.1	NC_037638.1_866693-874457	7765	7765	0.317	0.076	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00047	NC_037638.1	NC_037638.1_874458-879926	5469	5469	0.361	0.074	0.000	iiLocus	0	False	FF
Amh3	Amh3ILC-00048	NC_037638.1	NC_037638.1_879927-997954	118028	118028	0.343	-0.020	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00049	NC_037638.1	NC_037638.1_918397-919531	1135	0	0.341	0.137	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00050	NC_037638.1	NC_037638.1_997955-1001377	3423	2559	0.273	-0.120	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00051	NC_037638.1	NC_037638.1_1000514-1002744	2231	2231	0.232	-0.087	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00052	NC_037638.1	NC_037638.1_1002745-1004450	1706	1706	0.227	-0.077	0.000	iiLocus	0	False	RR
Amh3	Amh3ILC-00053	NC_037638.1	NC_037638.1_1004451-1026170	21720	20826	0.309	-0.027	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00054	NC_037638.1	NC_037638.1_1025277-1026812	1536	1536	0.348	0.052	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00055	NC_037638.1	NC_037638.1_1026813-1030082	3270	3270	0.200	-0.037	0.000	iiLocus	0	False	FF
Amh3	Amh3ILC-00056	NC_037638.1	NC_037638.1_1030083-1035750	5668	4966	0.224	0.061	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00057	NC_037638.1	NC_037638.1_1035049-1040817	5769	5335	0.215	-0.134	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00058	NC_037638.1	NC_037638.1_1040384-1041456	1073	1073	0.158	0.129	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00059	NC_037638.1	NC_037638.1_1041457-1042902	1446	1446	0.168	-0.103	0.000	iiLocus	0	False	FR
Amh3	Amh3ILC-00060	NC_037638.1	NC_037638.1_1042903-1044621	1719	784	0.196	-0.145	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00061	NC_037638.1	NC_037638.1_1043687-1050927	7241	7008	0.231	-0.147	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00062	NC_037638.1	NC_037638.1_1050695-1053652	2958	2958	0.209	-0.031	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00063	NC_037638.1	NC_037638.1_1053653-1055454	1802	1802	0.262	-0.102	0.000	iiLocus	0	False	RF
Amh3	Amh3ILC-00064	NC_037638.1	NC_037638.1_1055455-1056526	1072	1072	0.247	-0.019	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00065	NC_037638.1	NC_037638.1_1056527-1070670	14144	14144	0.371	-0.082	0.000	iiLocus	0	False	FF
Amh3	Amh3ILC-00066	NC_037638.1	NC_037638.1_1070671-1074778	4108	4108	0.344	0.064	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00067	NC_037638.1	NC_037638.1_1074779-1147661	72883	72883	0.378	0.011	0.000	iiLocus	0	False	FR
Amh3	Amh3ILC-00068	NC_037638.1	NC_037638.1_1147662-1153359	5698	5698	0.378	0.011	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00069	NC_037638.1	NC_037638.1_1153360-1153864	505	505	0.208	0.105	0.000	iiLocus	0	False	RF
Amh3	Amh3ILC-00070	NC_037638.1	NC_037638.1_1153865-1171505	17641	17641	0.340	-0.024	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00071	NC_037638.1	NC_037638.1_1158393-1163266	4874	0	0.380	-0.075	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00072	NC_037638.1	NC_037638.1_1171506-1172298	793	793	0.286	0.093	0.000	iiLocus	0	False	FF
Amh3	Amh3ILC-00073	NC_037638.1	NC_037638.1_1172299-1385767	213469	213469	0.372	0.007	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00074	NC_037638.1	NC_037638.1_1172996-1174102	1107	0	0.322	-0.042	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00075	NC_037638.1	NC_037638.1_1179000-1180118	1119	0	0.451	-0.065	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00076	NC_037638.1	NC_037638.1_1212842-1215446	2605	0	0.377	-0.005	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00077	NC_037638.1	NC_037638.1_1336133-1340582	4450	0	0.313	-0.374	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00078	NC_037638.1	NC_037638.1_1385768-1401764	15997	15997	0.399	0.053	0.000	iiLocus	0	False	FR
Amh3	Amh3ILC-00079	NC_037638.1	NC_037638.1_1401765-1413839	12075	12075	0.372	0.005	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00080	NC_037638.1	NC_037638.1_1413840-1425177	11338	11338	0.324	-0.034	0.000	iiLocus	0	False	RF
Amh3	Amh3ILC-00081	NC_037638.1	NC_037638.1_1425178-1463876	38699	38699	0.349	0.027	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00082	NC_037638.1	NC_037638.1_1431003-1438418	7416	0	0.313	-0.049	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00083	NC_037638.1	NC_037638.1_1447436-1455616	8181	0	0.362	0.017	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00084	NC_037638.1	NC_037638.1_1463877-1491498	27622	27622	0.320	0.006	0.000	iiLocus	0	False	FF
Amh3	Amh3ILC-00085	NC_037638.1	NC_037638.1_1491499-1645113	153615	153615	0.327	0.020	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00086	NC_037638.1	NC_037638.1_1541758-1542839	1082	0	0.372	-0.107	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00087	NC_037638.1	NC_037638.1_1590762-1593737	2976	0	0.344	0.050	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00088	NC_037638.1	NC_037638.1_1605722-1615222	9501	0	0.370	0.055	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00089	NC_037638.1	NC_037638.1_1629316-1632385	3070	0	0.283	-0.037	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00090	NC_037638.1	NC_037638.1_1645114-1650858	5745	5745	0.264	0.079	0.000	iiLocus	0	False	FF
Amh3	Amh3ILC-00091	NC_037638.1	NC_037638.1_1650859-1655267	4409	4409	0.210	0.150	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00092	NC_037638.1	NC_037638.1_1655268-1659472	4205	4205	0.199	0.026	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00093	NC_037638.1	NC_037638.1_1659473-1671353	11881	11125	0.288	-0.052	0.000	ciLocus	1	False	NA
Amh3	Amh3ILC-00094	NC_037638.1	NC_037638.1_1663588-1667522	3935	0	0.322	-0.041	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00095	NC_037638.1	NC_037638.1_1670598-1679610	9013	8636	0.332	0.011	0.000	ciLocus	1	False	NA
Amh3	Amh3ILC-00096	NC_037638.1	NC_037638.1_1671600-1675111	3512	0	0.374	-0.016	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00097	NC_037638.1	NC_037638.1_1679234-1681460	2227	1399	0.237	-0.129	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00098	NC_037638.1	NC_037638.1_1680633-1682991	2359	1397	0.218	-0.113	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00099	NC_037638.1	NC_037638.1_1682030-1684135	2106	1508	0.178	-0.043	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00100	NC_037638.1	NC_037638.1_1683538-1686802	3265	2693	0.175	0.053	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00101	NC_037638.1	NC_037638.1_1686231-1694932	8702	8702	0.323	-0.098	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00102	NC_037638.1	NC_037638.1_1694933-1696162	1230	1230	0.180	0.018	0.000	iiLocus	0	False	RR
Amh3	Amh3ILC-00103	NC_037638.1	NC_037638.1_1696163-1700082	3920	3710	0.211	-0.148	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00104	NC_037638.1	NC_037638.1_1699873-1736598	36726	40087	0.304	0.031	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00105	NC_037638.1	NC_037638.1_1706023-1709948	3926	0	0.291	0.001	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00106	NC_037638.1	NC_037638.1_1735263-1739959	4697	0	0.307	0.087	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00107	NC_037638.1	NC_037638.1_1739960-1742284	2325	2325	0.277	-0.033	0.000	iiLocus	0	False	FF
Amh3	Amh3ILC-00108	NC_037638.1	NC_037638.1_1742285-1756776	14492	14492	0.272	0.031	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00109	NC_037638.1	NC_037638.1_1756777-1764921	8145	8145	0.276	0.043	0.000	iiLocus	0	False	FR
Amh3	Amh3ILC-00110	NC_037638.1	NC_037638.1_1764922-1774633	9712	24681	0.316	0.004	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00111	NC_037638.1	NC_037638.1_1769739-1789602	19864	0	0.322	0.034	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00112	NC_037638.1	NC_037638.1_1778914-1781086	2173	0	0.292	0.087	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00113	NC_037638.1	NC_037638.1_1789603-1793714	4112	4112	0.237	0.041	0.000	iiLocus	0	False	RF
Amh3	Amh3ILC-00114	NC_037638.1	NC_037638.1_1793715-1801757	8043	7100	0.262	0.059	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00115	NC_037638.1	NC_037638.1_1800815-1802808	1994	1030	0.228	-0.018	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00116	NC_037638.1	NC_037638.1_1801845-1809051	7207	7207	0.254	-0.128	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00117	NC_037638.1	NC_037638.1_1809052-1810016	965	965	0.153	0.027	0.000	iiLocus	0	False	RF
Amh3	Amh3ILC-00118	NC_037638.1	NC_037638.1_1810017-1814045	4029	4029	0.223	0.122	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00119	NC_037638.1	NC_037638.1_1811659-1812931	1273	0	0.267	0.100	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00120	NC_037638.1	NC_037638.1_1814046-1814842	797	797	0.144	0.026	0.000	iiLocus	0	False	FF
Amh3	Amh3ILC-00121	NC_037638.1	NC_037638.1_1814843-1817483	2641	3238	0.228	0.007	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00122	NC_037638.1	NC_037638.1_1816144-1819080	2937	0	0.244	0.057	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00123	NC_037638.1	NC_037638.1_1818081-1831642	13562	21578	0.204	0.050	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00124	NC_037638.1	NC_037638.1_1830567-1839946	9380	0	0.304	-0.017	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00125	NC_037638.1	NC_037638.1_1839659-1841773	2115	2115	0.182	-0.003	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00126	NC_037638.1	NC_037638.1_1841774-1842768	995	995	0.200	0.005	0.000	iiLocus	0	False	RR
Amh3	Amh3ILC-00127	NC_037638.1	NC_037638.1_1842769-1850894	8126	7932	0.293	-0.005	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00128	NC_037638.1	NC_037638.1_1844647-1847277	2631	0	0.287	0.050	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00129	NC_037638.1	NC_037638.1_1850701-1926567	75867	75867	0.304	-0.004	0.000	siLocus	1	False	NA
Amh3	Amh3ILC-00130	NC_037638.1	NC_037638.1_1874891-1878382	3492	0	0.357	0.023	0.000	niLocus	1	False	NA
Amh3	Amh3ILC-00131	NC_037638.1	NC_037638.1_1889114-1891543	2430	0	0.302	0.045	0.000	niLocus	1	False	NA
