Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Nvit	locus:NW_022279587.1_1-104722.	NW_022279587.1	locus:NW_022279587.1_1-104722.	104722	104722	0.337	-0.092	0.000	fiLocus	0	False	NA
Nvit	locus:NW_022279587.1_104723-307150.	NW_022279587.1	locus:NW_022279587.1_104723-307150.	202428	202428	0.373	-0.019	0.000	siLocus	1	False	NA
Nvit	locus:NW_022279587.1_307151-503948.	NW_022279587.1	locus:NW_022279587.1_307151-503948.	196798	196798	0.419	-0.066	0.000	iiLocus	0	False	RR
Nvit	locus:NW_022279587.1_503949-505427.	NW_022279587.1	locus:NW_022279587.1_503949-505427.	1479	1479	0.375	0.069	0.000	siLocus	1	False	NA
Nvit	locus:NW_022279587.1_505428-526445.	NW_022279587.1	locus:NW_022279587.1_505428-526445.	21018	21018	0.384	-0.039	0.000	iiLocus	0	False	RR
Nvit	locus:NW_022279587.1_526446-530284.	NW_022279587.1	locus:NW_022279587.1_526446-530284.	3839	3839	0.268	-0.091	0.000	siLocus	1	False	NA
Nvit	locus:NW_022279587.1_530285-551902.	NW_022279587.1	locus:NW_022279587.1_530285-551902.	21618	21618	0.392	0.066	0.000	iiLocus	0	False	RF
Nvit	locus:NW_022279587.1_551903-555558.	NW_022279587.1	locus:NW_022279587.1_551903-555558.	3656	3656	0.419	0.007	0.000	niLocus	1	False	NA
Nvit	locus:NW_022279587.1_555559-565375.	NW_022279587.1	locus:NW_022279587.1_555559-565375.	9817	9817	0.375	0.032	0.000	iiLocus	0	False	FF
Nvit	locus:NW_022279587.1_565376-639920.	NW_022279587.1	locus:NW_022279587.1_565376-639920.	74545	74545	0.368	0.014	0.000	siLocus	1	False	NA
Nvit	locus:NW_022279587.1_639921-648121.	NW_022279587.1	locus:NW_022279587.1_639921-648121.	8201	8201	0.413	-0.032	0.000	iiLocus	0	False	FF
Nvit	locus:NW_022279587.1_648122-650746.	NW_022279587.1	locus:NW_022279587.1_648122-650746.	2625	2625	0.479	0.122	0.000	siLocus	1	False	NA
Nvit	locus:NW_022279587.1_650747-666563.	NW_022279587.1	locus:NW_022279587.1_650747-666563.	15817	15817	0.389	-0.021	0.000	iiLocus	0	False	FF
Nvit	locus:NW_022279587.1_666564-668697.	NW_022279587.1	locus:NW_022279587.1_666564-668697.	2134	2134	0.460	0.072	0.000	siLocus	1	False	NA
Nvit	locus:NW_022279587.1_668698-711679.	NW_022279587.1	locus:NW_022279587.1_668698-711679.	42982	42982	0.379	0.042	0.000	iiLocus	0	False	FR
Nvit	locus:NW_022279587.1_711680-713292.	NW_022279587.1	locus:NW_022279587.1_711680-713292.	1613	1613	0.397	-0.120	0.000	siLocus	1	False	NA
Nvit	locus:NW_022279587.1_713293-718345.	NW_022279587.1	locus:NW_022279587.1_713293-718345.	5053	5053	0.301	0.035	0.000	fiLocus	0	False	NA
Nvit	locus:NW_022279588.1_1-15650.	NW_022279588.1	locus:NW_022279588.1_1-15650.	15650	15650	0.357	-0.003	0.000	fiLocus	0	False	NA
