Species	SeqID	Sigma	Phi
Scer	Centroid	0.8821319970800534	0.9474672411905983
Cele	Centroid	0.5928553205967291	0.7822047862075201
Crei	Centroid	0.4368924948901488	0.6116810934916569
Mtru	Centroid	0.13685403048366332	0.29466120409675184
Agam	Centroid	0.10016271992698841	0.36296696342890017
Dmel	Centroid	0.6175147122141774	0.8039192823078221
Xtro	Centroid	0.13437668999637584	0.25107172076033846
Drer	Centroid	0.22210710754570884	0.3274833885733583
Mmus	Centroid	0.33501042137476644	0.44076744351392594
Hsap	Centroid	0.38597389119341347	0.5041830651722871
