piLocusID	MrnaID
DpulILC-00002	SNAP_00000002
DpulILC-00004	fgenesh1_pg.C_scaffold_1000003
DpulILC-00006	estExt_Genewise1.C_10001
DpulILC-00008	estExt_fgenesh1_pg.C_10005
DpulILC-00010	fgenesh1_pg.C_scaffold_1000006
DpulILC-00012	estExt_Genewise1Plus.C_10004
DpulILC-00014	NCBI_GNO_0100004
DpulILC-00015	NCBI_GNO_0100005
DpulILC-00017	estExt_Genewise1Plus.C_10012
DpulILC-00018	e_gw1.1.779.1
DpulILC-00020	estExt_fgenesh1_pg.C_10013
DpulILC-00021	NCBI_GNO_0100009
DpulILC-00022	e_gw1.1.1006.1
DpulILC-00023	PASA_GEN_0100247
DpulILC-00024	PASA_GEN_0100004
DpulILC-00026	SNAP_00000032
DpulILC-00028	SNAP_00000036
DpulILC-00029	e_gw1.1.384.1
DpulILC-00031	PASA_GEN_0100249
DpulILC-00033	PASA_GEN_0100250
DpulILC-00034	NCBI_GNO_0100020
DpulILC-00036	PASA_GEN_0100006
DpulILC-00037	PASA_GEN_0100007
DpulILC-00038	NCBI_GNO_0100023
DpulILC-00039	SNAP_00000044
DpulILC-00040	PASA_GEN_0100251
DpulILC-00042	SNAP_00000046
DpulILC-00044	SNAP_00000047
DpulILC-00046	PASA_GEN_0100252
DpulILC-00047	SNAP_00000050
DpulILC-00049	e_gw1.1.704.1
DpulILC-00051	PASA_GEN_0100011
DpulILC-00052	PASA_GEN_0100253
DpulILC-00054	NCBI_GNO_0100031
DpulILC-00055	SNAP_00000055
DpulILC-00057	fgenesh1_pm.C_scaffold_1000010
DpulILC-00058	PASA_GEN_0100254
DpulILC-00060	NCBI_GNO_0100035
DpulILC-00062	PASA_GEN_0100255
DpulILC-00063	NCBI_GNO_0100037
DpulILC-00065	estExt_Genewise1Plus.C_10050
DpulILC-00066	NCBI_GNO_0100039
DpulILC-00067	fgenesh1_pg.C_scaffold_1000049
DpulILC-00068	NCBI_GNO_0100040
DpulILC-00069	PASA_GEN_0100015
DpulILC-00070	PASA_GEN_0100260
DpulILC-00072	fgenesh1_pg.C_scaffold_1000053
DpulILC-00074	PASA_GEN_0100261
DpulILC-00076	estExt_fgenesh1_pg.C_10055
DpulILC-00078	estExt_fgenesh1_pm.C_10014
DpulILC-00079	PASA_GEN_0100018
DpulILC-00080	estExt_fgenesh1_pg.C_10060
DpulILC-00081	PASA_GEN_0100020
DpulILC-00083	BDE_fgenesh1_pg.C_scaffold_1000062
DpulILC-00085	estExt_fgenesh1_pg.C_10064
DpulILC-00086	NCBI_GNO_0100053
DpulILC-00087	RAJ_estExt_fgenesh1_pm.C_10018
DpulILC-00089	NCBI_GNO_0100056
DpulILC-00090	estExt_fgenesh1_kg.C_10006
DpulILC-00091	PASA_GEN_0100023
DpulILC-00092	estExt_fgenesh1_pg.C_10073
DpulILC-00094	PASA_GEN_0100274
DpulILC-00096	SNAP_00000089
DpulILC-00097	e_gw1.1.536.1
DpulILC-00099	fgenesh1_pg.C_scaffold_1000076
DpulILC-00101	SNAP_00000091
DpulILC-00103	SNAP_00000092
DpulILC-00105	fgenesh1_pg.C_scaffold_1000078
DpulILC-00107	fgenesh1_pg.C_scaffold_1000080
DpulILC-00109	fgenesh1_pg.C_scaffold_1000081
DpulILC-00111	e_gw1.1.309.1
DpulILC-00113	NCBI_GNO_0100062
DpulILC-00115	NCBI_GNO_0100063
DpulILC-00116	NCBI_GNO_0100064
DpulILC-00118	estExt_Genewise1.C_10094
DpulILC-00120	PIR_PASA_GEN_0100278
DpulILC-00122	SNAP_00000104
DpulILC-00123	PASA_GEN_0100028
DpulILC-00124	SNAP_00000106
DpulILC-00126	NCBI_GNO_0100070
DpulILC-00128	PASA_GEN_0100279
DpulILC-00130	estExt_fgenesh1_kg.C_10012
DpulILC-00131	PASA_GEN_0100030
DpulILC-00132	RAJ_estExt_fgenesh1_pg.C_10101
DpulILC-00133	PASA_GEN_0100031
DpulILC-00134	estExt_fgenesh1_pg.C_10103
DpulILC-00135	fgenesh1_pg.C_scaffold_1000104
DpulILC-00136	PASA_GEN_0100033
DpulILC-00137	fgenesh1_pg.C_scaffold_1000106
DpulILC-00138	estExt_fgenesh1_pm.C_10026
DpulILC-00139	e_gw1.1.818.1
DpulILC-00140	e_gw1.1.950.1
DpulILC-00141	estExt_Genewise1.C_10130
DpulILC-00143	estExt_fgenesh1_pm.C_10027
DpulILC-00144	NCBI_GNO_0100086
DpulILC-00145	SNAP_00000124
DpulILC-00146	PASA_GEN_0100286
DpulILC-00147	PASA_GEN_0100034
DpulILC-00148	PASA_GEN_0100287
DpulILC-00149	PASA_GEN_0100035
DpulILC-00151	NCBI_GNO_0100093
DpulILC-00152	SNAP_00000130
DpulILC-00153	SNAP_00000131
DpulILC-00154	PASA_GEN_0100291
DpulILC-00155	SNAP_00000133
DpulILC-00156	SNAP_00000134
DpulILC-00158	estExt_Genewise1Plus.C_10161
DpulILC-00160	e_gw1.1.586.1
DpulILC-00162	PASA_GEN_0100037
DpulILC-00164	e_gw1.1.253.1
DpulILC-00166	SNAP_00000148
DpulILC-00167	SNAP_00000149
DpulILC-00168	NCBI_GNO_0100105
DpulILC-00170	fgenesh1_pg.C_scaffold_1000133
DpulILC-00171	SNAP_00000153
DpulILC-00172	SNAP_00000154
DpulILC-00174	PASA_GEN_0100298
DpulILC-00176	PASA_GEN_0100038
DpulILC-00177	estExt_fgenesh1_pg.C_10137
DpulILC-00179	SNAP_00000164
DpulILC-00181	gw1.1.390.1
DpulILC-00182	PASA_GEN_0100039
DpulILC-00184	PASA_GEN_0100040
DpulILC-00185	PASA_GEN_0100300
DpulILC-00187	PASA_GEN_0100301
DpulILC-00189	e_gw1.1.487.1
DpulILC-00190	PASA_GEN_0100302
DpulILC-00191	NCBI_GNO_0100121
DpulILC-00192	fgenesh1_pg.C_scaffold_1000150
DpulILC-00194	e_gw1.1.298.1
DpulILC-00196	e_gw1.1.531.1
DpulILC-00198	estExt_fgenesh1_pg.C_10153
DpulILC-00199	PASA_GEN_0100045
DpulILC-00200	PASA_GEN_0100046
DpulILC-00201	estExt_fgenesh1_kg.C_10017
DpulILC-00202	PASA_GEN_0100049
DpulILC-00203	estExt_Genewise1Plus.C_10218
DpulILC-00204	SNAP_00000186
DpulILC-00205	NCBI_GNO_0100132
DpulILC-00206	PASA_GEN_0100051
DpulILC-00208	estExt_fgenesh1_kg.C_10018
DpulILC-00210	e_gw1.1.503.1
DpulILC-00212	SNAP_00000208
DpulILC-00214	estExt_Genewise1Plus.C_10232
DpulILC-00216	SNAP_00000211
DpulILC-00217	SNAP_00000212
DpulILC-00219	PASA_GEN_0100054
DpulILC-00221	gw1.1.750.1
DpulILC-00223	SNAP_00000220
DpulILC-00225	PASA_GEN_0100315
DpulILC-00227	SNAP_00000222
DpulILC-00228	NCBI_GNO_0100140
DpulILC-00230	NCBI_GNO_0100141
DpulILC-00231	SNAP_00000225
DpulILC-00233	e_gw1.1.254.1
