Species	SeqID	Sigma	Phi
Amh3	NC_037638.1	0.6590538474900793	0.829772570641
Amh3	NC_037639.1	0.6304135337165305	0.798200514139
Amh3	NC_037640.1	0.6589594668132656	0.828965517241
Amh3	NC_037641.1	0.6028893464805305	0.814092953523
Amh3	NC_037642.1	0.6471816509842845	0.857659831122
Amh3	NC_037643.1	0.6363026324626837	0.784676354029
Amh3	NC_037644.1	0.5671276580370074	0.792418772563
Amh3	NC_037645.1	0.6028385791081367	0.82
Amh3	NC_037646.1	0.61747118560272	0.768971332209
Amh3	NC_037647.1	0.5981792198890562	0.80118694362
Amh3	NC_037648.1	0.6114398745145001	0.808059384942
Amh3	NC_037649.1	0.5825895393418788	0.801310043668
Amh3	NC_037650.1	0.46142539545786676	0.675736961451
Amh3	NC_037651.1	0.6593400061000084	0.826013513514
Amh3	NC_037652.1	0.6368316834489284	0.841521394612
Amh3	NC_037653.1	0.6871817421369034	0.847593582888
Bter	NC_015762.1	0.46264563801221054	0.77094017094
Bter	NC_015763.1	0.4844016436013991	0.776408450704
Bter	NC_015764.1	0.5559264522879696	0.785357737105
Bter	NC_015765.1	0.5043625423864742	0.748592870544
Bter	NC_015766.1	0.539556048528214	0.824299065421
Bter	NC_015767.1	0.3829980390599929	0.706395348837
Bter	NC_015768.1	0.5016214170817785	0.799736495389
Bter	NC_015769.1	0.5387952373198777	0.785907859079
Bter	NC_015770.1	0.40275824778246766	0.743178170144
Bter	NC_015771.1	0.5304772187319208	0.773684210526
Bter	NC_015772.1	0.5947605461526115	0.810276679842
Bter	NC_015773.1	0.4879981064286634	0.78691588785
Bter	NC_015774.1	0.4684277090110968	0.721893491124
Bter	NC_015775.1	0.5042729760232066	0.808970099668
Bter	NC_015776.1	0.5231542458366274	0.792763157895
Bter	NC_015777.1	0.4257888091567213	0.734006734007
Bter	NC_015778.1	0.5973539479573415	0.760869565217
Bter	NC_015779.1	0.4886788486709778	0.701298701299
Bter	NW_003565443.1	0.0391959551396485	0.3125
Bter	NW_003565557.1	0.47916085647791967	0.826530612245
Bter	NW_003565947.1	0.703619658635085	0.830769230769
Bter	NW_003566036.1	0.5729418755581228	0.752941176471
Bter	NW_003566126.1	0.5846942946944105	0.792207792208
Bter	NW_003566135.1	0.37019319103550574	0.659793814433
Bter	NW_003566384.1	0.646113525126075	0.828282828283
Bter	NW_003566457.1	0.618738944429688	0.678571428571
Cflo	NW_011877137.1	0.4450674247107994	0.782608695652
Cflo	NW_011877194.1	0.38313245435107157	0.441860465116
Cflo	NW_011877278.1	0.23739068096137456	0.651162790698
Cflo	NW_011877311.1	0.3736739905593772	0.738461538462
Cflo	NW_011877349.1	0.32347129823107457	0.657534246575
Cflo	NW_011877733.1	0.4850380334719539	0.691176470588
Cflo	NW_011877873.1	0.579418419557111	0.785046728972
Cflo	NW_011879215.1	0.5134508455427139	0.704545454545
Cflo	NW_011879230.1	0.17385303582735298	0.5
Cflo	NW_011879604.1	0.22006392892203722	0.606060606061
Cflo	NW_011880341.1	0.4357962145928293	0.556962025316
Cflo	NW_011880675.1	0.36472465616939653	0.719298245614
Cflo	NW_011880927.1	0.5459711328078289	0.766990291262
Cflo	NW_011880934.1	0.5020018009468451	0.76821192053
Cflo	NW_011881215.1	0.3273229612841766	0.584615384615
Cflo	NW_011881373.1	0.5797748827112532	0.76
Cflo	NW_011881417.1	0.23695153837260766	0.487179487179
