Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Aech	AechILC-00001	NW_011623521.1	NW_011623521.1_1-200	200	200	0.250	-0.080	0.000	fiLocus	0	True	NA
Aech	AechILC-00002	NW_011623522.1	NW_011623522.1_1-200	200	200	0.185	0.405	0.000	fiLocus	0	True	NA
Aech	AechILC-00003	NW_011623523.1	NW_011623523.1_1-200	200	200	0.335	-0.284	0.000	fiLocus	0	True	NA
Aech	AechILC-00004	NW_011623524.1	NW_011623524.1_1-200	200	200	0.165	-0.212	0.000	fiLocus	0	True	NA
Aech	AechILC-00005	NW_011623525.1	NW_011623525.1_1-200	200	200	0.275	-0.018	0.000	fiLocus	0	True	NA
Aech	AechILC-00006	NW_011623526.1	NW_011623526.1_1-200	200	200	0.345	-0.188	0.000	fiLocus	0	True	NA
Aech	AechILC-00007	NW_011623527.1	NW_011623527.1_1-200	200	200	0.260	0.192	0.000	fiLocus	0	True	NA
Aech	AechILC-00008	NW_011623528.1	NW_011623528.1_1-200	200	200	0.270	0.000	0.000	fiLocus	0	True	NA
Aech	AechILC-00009	NW_011623529.1	NW_011623529.1_1-200	200	200	0.225	0.067	0.000	fiLocus	0	True	NA
Aech	AechILC-00010	NW_011623530.1	NW_011623530.1_1-200	200	200	0.205	0.073	0.000	fiLocus	0	True	NA
Aech	AechILC-00011	NW_011623531.1	NW_011623531.1_1-200	200	200	0.410	0.049	0.000	fiLocus	0	True	NA
Aech	AechILC-00012	NW_011623532.1	NW_011623532.1_1-200	200	200	0.305	0.016	0.000	fiLocus	0	True	NA
Aech	AechILC-00013	NW_011623533.1	NW_011623533.1_1-200	200	200	0.485	-0.031	0.000	fiLocus	0	True	NA
Aech	AechILC-00014	NW_011623534.1	NW_011623534.1_1-200	200	200	0.265	-0.132	0.000	fiLocus	0	True	NA
Aech	AechILC-00015	NW_011623535.1	NW_011623535.1_1-200	200	200	0.185	0.135	0.000	fiLocus	0	True	NA
Aech	AechILC-00016	NW_011623536.1	NW_011623536.1_1-200	200	200	0.265	-0.170	0.000	fiLocus	0	True	NA
Aech	AechILC-00017	NW_011623537.1	NW_011623537.1_1-200	200	200	0.295	-0.085	0.000	fiLocus	0	True	NA
Aech	AechILC-00018	NW_011623538.1	NW_011623538.1_1-200	200	200	0.360	0.056	0.000	fiLocus	0	True	NA
Aech	AechILC-00019	NW_011623539.1	NW_011623539.1_1-200	200	200	0.315	-0.270	0.000	fiLocus	0	True	NA
Aech	AechILC-00020	NW_011623540.1	NW_011623540.1_1-200	200	200	0.230	0.522	0.000	fiLocus	0	True	NA
Aech	AechILC-00021	NW_011623541.1	NW_011623541.1_1-200	200	200	0.225	-0.022	0.000	fiLocus	0	True	NA
Aech	AechILC-00022	NW_011623542.1	NW_011623542.1_1-200	200	200	0.465	-0.011	0.000	fiLocus	0	True	NA
Aech	AechILC-00023	NW_011623543.1	NW_011623543.1_1-200	200	200	0.255	-0.137	0.000	fiLocus	0	True	NA
Aech	AechILC-00024	NW_011623544.1	NW_011623544.1_1-200	200	200	0.390	-0.154	0.000	fiLocus	0	True	NA
Aech	AechILC-00025	NW_011623545.1	NW_011623545.1_1-200	200	200	0.205	0.268	0.000	fiLocus	0	True	NA
Aech	AechILC-00026	NW_011623546.1	NW_011623546.1_1-200	200	200	0.380	0.289	0.000	fiLocus	0	True	NA
Aech	AechILC-00027	NW_011623547.1	NW_011623547.1_1-200	200	200	0.260	0.192	0.000	fiLocus	0	True	NA
Aech	AechILC-00028	NW_011623548.1	NW_011623548.1_1-200	200	200	0.350	-0.086	0.000	fiLocus	0	True	NA
Aech	AechILC-00029	NW_011623549.1	NW_011623549.1_1-200	200	200	0.280	-0.036	0.000	fiLocus	0	True	NA
Aech	AechILC-00030	NW_011623550.1	NW_011623550.1_1-200	200	200	0.320	0.031	0.000	fiLocus	0	True	NA
Aech	AechILC-00031	NW_011623551.1	NW_011623551.1_1-200	200	200	0.410	0.000	0.000	fiLocus	0	True	NA
Aech	AechILC-00032	NW_011623552.1	NW_011623552.1_1-200	200	200	0.325	0.046	0.000	fiLocus	0	True	NA
Aech	AechILC-00033	NW_011623553.1	NW_011623553.1_1-201	201	201	0.249	0.080	0.000	fiLocus	0	True	NA
Aech	AechILC-00034	NW_011623554.1	NW_011623554.1_1-201	201	201	0.289	0.034	0.000	fiLocus	0	True	NA
Aech	AechILC-00035	NW_011623555.1	NW_011623555.1_1-201	201	201	0.597	-0.083	0.000	fiLocus	0	True	NA
Aech	AechILC-00036	NW_011623556.1	NW_011623556.1_1-201	201	201	0.363	0.014	0.000	fiLocus	0	True	NA
Aech	AechILC-00037	NW_011623557.1	NW_011623557.1_1-201	201	201	0.343	0.014	0.000	fiLocus	0	True	NA
Aech	AechILC-00038	NW_011623558.1	NW_011623558.1_1-201	201	201	0.264	-0.170	0.000	fiLocus	0	True	NA
Aech	AechILC-00039	NW_011623559.1	NW_011623559.1_1-201	201	201	0.219	-0.318	0.000	fiLocus	0	True	NA
Aech	AechILC-00040	NW_011623560.1	NW_011623560.1_1-201	201	201	0.274	0.273	0.000	fiLocus	0	True	NA
Aech	AechILC-00041	NW_011623561.1	NW_011623561.1_1-201	201	201	0.343	0.014	0.000	fiLocus	0	True	NA
Aech	AechILC-00042	NW_011623562.1	NW_011623562.1_1-201	201	201	0.244	-0.020	0.000	fiLocus	0	True	NA
Aech	AechILC-00043	NW_011623563.1	NW_011623563.1_1-201	201	201	0.244	0.224	0.000	fiLocus	0	True	NA
Aech	AechILC-00044	NW_011623564.1	NW_011623564.1_1-201	201	201	0.438	-0.114	0.000	fiLocus	0	True	NA
Aech	AechILC-00045	NW_011623565.1	NW_011623565.1_1-201	201	201	0.697	-0.014	0.000	fiLocus	0	True	NA
Aech	AechILC-00046	NW_011623566.1	NW_011623566.1_1-201	201	201	0.323	0.108	0.000	fiLocus	0	True	NA
Aech	AechILC-00047	NW_011623567.1	NW_011623567.1_1-201	201	201	0.443	-0.258	0.000	fiLocus	0	True	NA
Aech	AechILC-00048	NW_011623568.1	NW_011623568.1_1-201	201	201	0.229	0.261	0.000	fiLocus	0	True	NA
Aech	AechILC-00049	NW_011623569.1	NW_011623569.1_1-201	201	201	0.244	0.184	0.000	fiLocus	0	True	NA
Aech	AechILC-00050	NW_011623570.1	NW_011623570.1_1-201	201	201	0.234	0.106	0.000	fiLocus	0	True	NA
Aech	AechILC-00051	NW_011623571.1	NW_011623571.1_1-201	201	201	0.413	0.060	0.000	fiLocus	0	True	NA
Aech	AechILC-00052	NW_011623572.1	NW_011623572.1_1-201	201	201	0.244	-0.061	0.000	fiLocus	0	True	NA
Aech	AechILC-00053	NW_011623573.1	NW_011623573.1_1-201	201	201	0.284	-0.053	0.000	fiLocus	0	True	NA
Aech	AechILC-00054	NW_011623574.1	NW_011623574.1_1-201	201	201	0.318	-0.156	0.000	fiLocus	0	True	NA
Aech	AechILC-00055	NW_011623575.1	NW_011623575.1_1-201	201	201	0.294	-0.119	0.000	fiLocus	0	True	NA
Aech	AechILC-00056	NW_011623576.1	NW_011623576.1_1-201	201	201	0.363	-0.096	0.000	fiLocus	0	True	NA
Aech	AechILC-00057	NW_011623577.1	NW_011623577.1_1-201	201	201	0.318	-0.062	0.000	fiLocus	0	True	NA
Aech	AechILC-00058	NW_011623578.1	NW_011623578.1_1-201	201	201	0.313	0.238	0.000	fiLocus	0	True	NA
Aech	AechILC-00059	NW_011623579.1	NW_011623579.1_1-201	201	201	0.274	0.309	0.000	fiLocus	0	True	NA
Aech	AechILC-00060	NW_011623580.1	NW_011623580.1_1-201	201	201	0.537	-0.111	0.000	fiLocus	0	True	NA
Aech	AechILC-00061	NW_011623581.1	NW_011623581.1_1-201	201	201	0.363	0.014	0.000	fiLocus	0	True	NA
