Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Amh3	locus:NC_037638.1_1-8772.	NC_037638.1	locus:NC_037638.1_1-8772.	8772	8772	0.359	-0.467	0.000	fiLocus	0	False	NA
Amh3	locus:NC_037638.1_8773-26708.	NC_037638.1	locus:NC_037638.1_8773-26708.	17936	17936	0.300	0.047	0.000	miLocus	4	False	NA
Amh3	locus:NC_037638.1_26709-27622.	NC_037638.1	locus:NC_037638.1_26709-27622.	914	914	0.185	-0.030	0.000	iiLocus	0	False	FR
Amh3	locus:NC_037638.1_27623-39715.	NC_037638.1	locus:NC_037638.1_27623-39715.	12093	14632	0.225	0.051	0.000	ciLocus	2	False	NA
Amh3	locus:NC_037638.1_38546-79893.	NC_037638.1	locus:NC_037638.1_38546-79893.	41348	37639	0.286	0.008	0.000	miLocus	3	False	NA
Amh3	locus:NC_037638.1_79894-86173.	NC_037638.1	locus:NC_037638.1_79894-86173.	6280	6280	0.292	-0.024	0.000	iiLocus	0	False	FR
Amh3	locus:NC_037638.1_86174-88628.	NC_037638.1	locus:NC_037638.1_86174-88628.	2455	2455	0.279	-0.051	0.000	niLocus	1	False	NA
Amh3	locus:NC_037638.1_88629-90743.	NC_037638.1	locus:NC_037638.1_88629-90743.	2115	2115	0.460	0.010	0.000	iiLocus	0	False	RF
Amh3	locus:NC_037638.1_90744-122943.	NC_037638.1	locus:NC_037638.1_90744-122943.	32200	32200	0.288	0.020	0.000	miLocus	6	False	NA
Amh3	locus:NC_037638.1_122944-123605.	NC_037638.1	locus:NC_037638.1_122944-123605.	662	662	0.184	0.000	0.000	iiLocus	0	False	RR
Amh3	locus:NC_037638.1_123606-246499.	NC_037638.1	locus:NC_037638.1_123606-246499.	122894	122696	0.441	0.017	0.000	miLocus	11	False	NA
Amh3	locus:NC_037638.1_246104-423492.	NC_037638.1	locus:NC_037638.1_246104-423492.	177389	177191	0.442	0.002	0.000	ciLocus	4	False	NA
Amh3	locus:NC_037638.1_423493-485747.	NC_037638.1	locus:NC_037638.1_423493-485747.	62255	62255	0.408	0.011	0.000	miLocus	3	False	NA
Amh3	locus:NC_037638.1_485748-557574.	NC_037638.1	locus:NC_037638.1_485748-557574.	71827	71827	0.455	0.002	0.000	iiLocus	0	False	FF
Amh3	locus:NC_037638.1_557575-560602.	NC_037638.1	locus:NC_037638.1_557575-560602.	3028	3028	0.480	0.041	0.000	siLocus	1	False	NA
Amh3	locus:NC_037638.1_560603-649436.	NC_037638.1	locus:NC_037638.1_560603-649436.	88834	88834	0.462	0.001	0.000	iiLocus	0	False	FR
Amh3	locus:NC_037638.1_649437-737478.	NC_037638.1	locus:NC_037638.1_649437-737478.	88042	88042	0.458	0.008	0.000	miLocus	2	False	NA
