Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Mvit	MvitILC-00001	NW_021937299.1	NW_021937299.1_1-22040	22040	22040	0.418	0.076	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00002	NW_021937300.1	NW_021937300.1_1-2779	2779	2779	0.521	-0.096	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00003	NW_021937301.1	NW_021937301.1_1-10310	10310	10310	0.364	0.047	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00004	NW_021937302.1	NW_021937302.1_1-4668	4668	4668	0.349	-0.067	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00005	NW_021937303.1	NW_021937303.1_1-22522	22522	22522	0.376	0.065	0.000	siLocus	1	False	NA
Mvit	MvitILC-00006	NW_021937303.1	NW_021937303.1_22523-23540	1018	1018	0.440	0.125	0.000	fiLocus	0	False	NA
Mvit	MvitILC-00007	NW_021937304.1	NW_021937304.1_1-10287	10287	10287	0.356	-0.068	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00008	NW_021937305.1	NW_021937305.1_1-10421	10421	10421	0.359	0.034	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00009	NW_021937306.1	NW_021937306.1_1-4735	4735	4735	0.595	-0.133	0.000	siLocus	1	False	NA
Mvit	MvitILC-00010	NW_021937307.1	NW_021937307.1_1-3877	3877	3877	0.501	0.007	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00011	NW_021937308.1	NW_021937308.1_1-4338	4338	4338	0.427	0.003	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00012	NW_021937309.1	NW_021937309.1_1-7199	7199	7199	0.420	-0.044	0.000	fiLocus	0	False	NA
Mvit	MvitILC-00013	NW_021937309.1	NW_021937309.1_7200-10888	3689	3689	0.424	0.064	0.000	siLocus	1	False	NA
Mvit	MvitILC-00014	NW_021937310.1	NW_021937310.1_1-1445	1445	1445	0.663	0.061	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00015	NW_021937311.1	NW_021937311.1_1-2487	2487	2487	0.615	0.056	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00016	NW_021937312.1	NW_021937312.1_1-5847	5847	5847	0.487	-0.024	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00017	NW_021937313.1	NW_021937313.1_1-8176	8176	8176	0.440	0.013	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00018	NW_021937314.1	NW_021937314.1_1-1893	1893	1893	0.627	0.045	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00019	NW_021937315.1	NW_021937315.1_1-14260	14260	14260	0.474	-0.256	0.000	fiLocus	0	True	NA
Mvit	MvitILC-00020	NW_021937316.1	NW_021937316.1_1-4729	4729	4517	0.468	0.018	0.000	siLocus	1	False	NA
