hiLocus	iLocus	Species	Protein
HILC-1	Am32ILC-11797	Am32	GB55781-PA
HILC-1	AmelILC-03592	Amel	XP_016766549.1
HILC-1	Amh3ILC-03601	Amh3	XP_026295450.1
HILC-2	Am32ILC-15955	Am32	GB49223-PA
HILC-2	AmelILC-07599	Amel	XP_016768440.1
HILC-2	Amh3ILC-07423	Amh3	XP_026297481.1
HILC-3	Am32ILC-12148	Am32	GB46564-PA
HILC-3	AmelILC-04702	Amel	XP_016767155.1
HILC-3	Amh3ILC-04670	Amh3	XP_026296233.1
HILC-4	Am32ILC-14377	Am32	GB46705-PA
HILC-4	AmelILC-05295	Amel	XP_016767639.1
HILC-4	Amh3ILC-05338	Amh3	XP_006562197.2
HILC-5	Am32ILC-20262	Am32	GB51956-PA
HILC-5	AmelILC-16857	Amel	XP_016772969.1
HILC-5	Amh3ILC-09913	Amh3	XP_006572335.2
HILC-6	Am32ILC-10658	Am32	GB55650-PA
HILC-6	AmelILC-02874	Amel	XP_006569086.1
HILC-6	Amh3ILC-02752	Amh3	XP_006569105.1
HILC-7	Am32ILC-01321	Am32	GB47470-PA
HILC-7	AmelILC-01358	Amel	XP_006570930.1
HILC-7	Amh3ILC-01218	Amh3	XP_026296653.1
HILC-8	Am32ILC-21162	Am32	GB52252-PA
HILC-8	AmelILC-15992	Amel	XP_016772734.1
HILC-8	Amh3ILC-03136	Amh3	XP_026295520.1
HILC-9	Am32ILC-05975	Am32	GB52098-PA
HILC-9	AmelILC-12868	Amel	XP_016770869.1
HILC-9	Amh3ILC-12667	Amh3	XP_026300113.1
HILC-10	Am32ILC-18811	Am32	GB53320-PA
HILC-10	AmelILC-09937	Amel	XP_016769575.1
HILC-10	Amh3ILC-09790	Amh3	XP_026298753.1
HILC-11	Am32ILC-15269	Am32	GB46325-PA
HILC-11	AmelILC-06819	Amel	XP_016768074.1
HILC-11	Amh3ILC-06639	Amh3	XP_026296984.1
HILC-12	Am32ILC-10480	Am32	GB55591-PA
HILC-12	AmelILC-03020	Amel	XP_006568907.1
HILC-12	Amh3ILC-02896	Amh3	XP_006568918.2
HILC-13	Am32ILC-11195	Am32	GB47009-PA
HILC-13	AmelILC-03912	Amel	XP_016766645.1
HILC-13	Amh3ILC-03935	Amh3	XP_026295205.1
HILC-14	Am32ILC-08174	Am32	GB49507-PA
HILC-14	AmelILC-14631	Amel	XP_016771969.1
HILC-14	Amh3ILC-14572	Amh3	XP_026301406.1
HILC-15	Am32ILC-17535	Am32	GB40498-PA
HILC-15	AmelILC-08350	Amel	XP_016769081.1
HILC-15	Amh3ILC-08207	Amh3	XP_026298222.1
HILC-16	Am32ILC-08391	Am32	GB50114-PA
HILC-16	AmelILC-14797	Amel	XP_016771998.1
HILC-16	Amh3ILC-14714	Amh3	XP_026301292.1
HILC-17	Am32ILC-17165	Am32	GB51673-PA
HILC-17	AmelILC-09164	Amel	XP_016769264.1
HILC-17	Amh3ILC-08967	Amh3	XP_016769264.1
HILC-18	Am32ILC-16700	Am32	GB46253-PA
HILC-18	AmelILC-07432	Amel	XP_016768506.1
HILC-18	Amh3ILC-07256	Amh3	XP_026297634.1
HILC-19	Am32ILC-10308	Am32	GB55490-PA
HILC-19	AmelILC-03178	Amel	XP_006568803.1
HILC-19	Amh3ILC-03051	Amh3	XP_006568803.2
HILC-20	Am32ILC-08193	Am32	GB50548-PA
HILC-20	AmelILC-14639	Amel	XP_006561040.1
HILC-20	Amh3ILC-14581	Amh3	XP_026301171.1
HILC-21	Am32ILC-16663	Am32	GB44262-PA
HILC-21	AmelILC-07399	Amel	XP_006558864.1
HILC-21	Amh3ILC-07278	Amh3	XP_006558861.1
HILC-22	Am32ILC-14515	Am32	GB51191-PA
HILC-22	AmelILC-06174	Amel	XP_395108.4
HILC-22	Amh3ILC-06191	Amh3	XP_026297156.1
HILC-23	Am32ILC-10620	Am32	GB55375-PA
HILC-23	AmelILC-02907	Amel	XP_016773584.1
HILC-23	Amh3ILC-02786	Amh3	XP_026302260.1
HILC-24	Am32ILC-05009	Am32	GB43214-PA
