Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Mcom	locus:NC_013038.1_1-57188.	NC_013038.1	locus:NC_013038.1_1-57188.	57188	57188	0.640	0.005	0.000	miLocus	26	False	NA
Mcom	locus:NC_013038.1_57189-60680.	NC_013038.1	locus:NC_013038.1_57189-60680.	3492	3492	0.689	-0.054	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_60681-170452.	NC_013038.1	locus:NC_013038.1_60681-170452.	109772	109772	0.658	-0.013	0.000	miLocus	52	False	NA
Mcom	locus:NC_013038.1_170453-172042.	NC_013038.1	locus:NC_013038.1_170453-172042.	1590	1590	0.664	0.022	0.000	iiLocus	0	False	RR
Mcom	locus:NC_013038.1_172043-174303.	NC_013038.1	locus:NC_013038.1_172043-174303.	2261	2261	0.694	-0.011	0.000	siLocus	1	False	NA
Mcom	locus:NC_013038.1_174304-177810.	NC_013038.1	locus:NC_013038.1_174304-177810.	3507	3507	0.705	-0.028	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_177811-196536.	NC_013038.1	locus:NC_013038.1_177811-196536.	18726	18726	0.659	-0.010	0.000	miLocus	10	False	NA
Mcom	locus:NC_013038.1_196537-201684.	NC_013038.1	locus:NC_013038.1_196537-201684.	5148	5148	0.582	-0.036	0.000	iiLocus	0	False	RR
Mcom	locus:NC_013038.1_201685-208757.	NC_013038.1	locus:NC_013038.1_201685-208757.	7073	7073	0.661	0.028	0.000	miLocus	3	False	NA
Mcom	locus:NC_013038.1_208758-210056.	NC_013038.1	locus:NC_013038.1_208758-210056.	1299	1299	0.737	0.028	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_210057-267267.	NC_013038.1	locus:NC_013038.1_210057-267267.	57211	57211	0.656	0.009	0.000	miLocus	22	False	NA
Mcom	locus:NC_013038.1_267268-268050.	NC_013038.1	locus:NC_013038.1_267268-268050.	783	783	0.483	0.011	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_268051-294760.	NC_013038.1	locus:NC_013038.1_268051-294760.	26710	26710	0.479	0.014	0.000	miLocus	13	False	NA
Mcom	locus:NC_013038.1_294761-296390.	NC_013038.1	locus:NC_013038.1_294761-296390.	1630	1630	0.516	0.004	0.000	iiLocus	0	False	FR
Mcom	locus:NC_013038.1_296391-299941.	NC_013038.1	locus:NC_013038.1_296391-299941.	3551	3551	0.495	0.002	0.000	siLocus	1	False	NA
Mcom	locus:NC_013038.1_299942-301632.	NC_013038.1	locus:NC_013038.1_299942-301632.	1691	1691	0.539	-0.011	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_301633-318386.	NC_013038.1	locus:NC_013038.1_301633-318386.	16754	16754	0.476	0.039	0.000	miLocus	8	False	NA
Mcom	locus:NC_013038.1_318387-319489.	NC_013038.1	locus:NC_013038.1_318387-319489.	1103	1103	0.501	-0.002	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_319490-334611.	NC_013038.1	locus:NC_013038.1_319490-334611.	15122	15122	0.477	-0.026	0.000	miLocus	8	False	NA
Mcom	locus:NC_013038.1_334612-335663.	NC_013038.1	locus:NC_013038.1_334612-335663.	1052	1052	0.377	0.123	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_335664-361437.	NC_013038.1	locus:NC_013038.1_335664-361437.	25774	25774	0.474	0.014	0.000	miLocus	10	False	NA
Mcom	locus:NC_013038.1_361438-362937.	NC_013038.1	locus:NC_013038.1_361438-362937.	1500	1500	0.491	0.023	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_362938-378405.	NC_013038.1	locus:NC_013038.1_362938-378405.	15468	15468	0.479	-0.001	0.000	miLocus	8	False	NA
Mcom	locus:NC_013038.1_378406-379365.	NC_013038.1	locus:NC_013038.1_378406-379365.	960	960	0.512	-0.016	0.000	iiLocus	0	False	FR
Mcom	locus:NC_013038.1_379366-380991.	NC_013038.1	locus:NC_013038.1_379366-380991.	1626	1626	0.496	-0.045	0.000	siLocus	1	False	NA
Mcom	locus:NC_013038.1_380992-381509.	NC_013038.1	locus:NC_013038.1_380992-381509.	518	518	0.363	0.117	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_381510-384207.	NC_013038.1	locus:NC_013038.1_381510-384207.	2698	2698	0.456	0.046	0.000	siLocus	1	False	NA
Mcom	locus:NC_013038.1_384208-385111.	NC_013038.1	locus:NC_013038.1_384208-385111.	904	904	0.451	-0.059	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_385112-407741.	NC_013038.1	locus:NC_013038.1_385112-407741.	22630	22630	0.487	0.012	0.000	miLocus	8	False	NA
Mcom	locus:NC_013038.1_407742-408568.	NC_013038.1	locus:NC_013038.1_407742-408568.	827	827	0.410	-0.009	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_408569-412092.	NC_013038.1	locus:NC_013038.1_408569-412092.	3524	3524	0.478	0.031	0.000	miLocus	2	False	NA
Mcom	locus:NC_013038.1_412093-412650.	NC_013038.1	locus:NC_013038.1_412093-412650.	558	558	0.400	0.067	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_412651-430646.	NC_013038.1	locus:NC_013038.1_412651-430646.	17996	17996	0.472	-0.036	0.000	miLocus	11	False	NA
Mcom	locus:NC_013038.1_430647-431729.	NC_013038.1	locus:NC_013038.1_430647-431729.	1083	1083	0.529	0.019	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_431730-437452.	NC_013038.1	locus:NC_013038.1_431730-437452.	5723	5723	0.507	0.030	0.000	miLocus	2	False	NA
Mcom	locus:NC_013038.1_437453-438685.	NC_013038.1	locus:NC_013038.1_437453-438685.	1233	1233	0.441	-0.044	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_438686-456225.	NC_013038.1	locus:NC_013038.1_438686-456225.	17540	17540	0.477	-0.031	0.000	miLocus	6	False	NA
Mcom	locus:NC_013038.1_456226-457634.	NC_013038.1	locus:NC_013038.1_456226-457634.	1409	1409	0.524	-0.026	0.000	iiLocus	0	False	RR
Mcom	locus:NC_013038.1_457635-461445.	NC_013038.1	locus:NC_013038.1_457635-461445.	3811	3811	0.492	0.013	0.000	siLocus	1	False	NA
Mcom	locus:NC_013038.1_461446-462486.	NC_013038.1	locus:NC_013038.1_461446-462486.	1041	1041	0.525	0.024	0.000	iiLocus	0	False	RR
Mcom	locus:NC_013038.1_462487-464053.	NC_013038.1	locus:NC_013038.1_462487-464053.	1567	1567	0.458	0.003	0.000	siLocus	1	False	NA
Mcom	locus:NC_013038.1_464054-465770.	NC_013038.1	locus:NC_013038.1_464054-465770.	1717	1717	0.410	0.031	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_465771-470485.	NC_013038.1	locus:NC_013038.1_465771-470485.	4715	4715	0.490	0.024	0.000	miLocus	2	False	NA
Mcom	locus:NC_013038.1_470486-471260.	NC_013038.1	locus:NC_013038.1_470486-471260.	775	775	0.457	0.040	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_471261-487130.	NC_013038.1	locus:NC_013038.1_471261-487130.	15870	15870	0.481	0.012	0.000	miLocus	7	False	NA
Mcom	locus:NC_013038.1_487131-488875.	NC_013038.1	locus:NC_013038.1_487131-488875.	1745	1745	0.419	0.074	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_488876-494928.	NC_013038.1	locus:NC_013038.1_488876-494928.	6053	6053	0.488	-0.014	0.000	miLocus	2	False	NA
Mcom	locus:NC_013038.1_494929-495564.	NC_013038.1	locus:NC_013038.1_494929-495564.	636	636	0.426	0.077	0.000	iiLocus	0	False	RR
Mcom	locus:NC_013038.1_495565-501189.	NC_013038.1	locus:NC_013038.1_495565-501189.	5625	5625	0.468	0.002	0.000	miLocus	2	False	NA
Mcom	locus:NC_013038.1_501190-502667.	NC_013038.1	locus:NC_013038.1_501190-502667.	1478	1478	0.469	0.004	0.000	iiLocus	0	False	RR
Mcom	locus:NC_013038.1_502668-504730.	NC_013038.1	locus:NC_013038.1_502668-504730.	2063	2063	0.489	0.030	0.000	siLocus	1	False	NA
Mcom	locus:NC_013038.1_504731-506327.	NC_013038.1	locus:NC_013038.1_504731-506327.	1597	1597	0.420	-0.082	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_506328-514883.	NC_013038.1	locus:NC_013038.1_506328-514883.	8556	8556	0.477	-0.036	0.000	miLocus	2	False	NA
Mcom	locus:NC_013038.1_514884-515508.	NC_013038.1	locus:NC_013038.1_514884-515508.	625	625	0.534	-0.042	0.000	iiLocus	0	False	RR
Mcom	locus:NC_013038.1_515509-520625.	NC_013038.1	locus:NC_013038.1_515509-520625.	5117	5117	0.453	-0.038	0.000	miLocus	3	False	NA
Mcom	locus:NC_013038.1_520626-521223.	NC_013038.1	locus:NC_013038.1_520626-521223.	598	598	0.408	-0.082	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_521224-525525.	NC_013038.1	locus:NC_013038.1_521224-525525.	4302	4302	0.447	0.012	0.000	miLocus	2	False	NA
Mcom	locus:NC_013038.1_525526-526223.	NC_013038.1	locus:NC_013038.1_525526-526223.	698	698	0.500	-0.003	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_526224-529532.	NC_013038.1	locus:NC_013038.1_526224-529532.	3309	3309	0.481	-0.032	0.000	miLocus	2	False	NA
Mcom	locus:NC_013038.1_529533-530589.	NC_013038.1	locus:NC_013038.1_529533-530589.	1057	1057	0.455	-0.106	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_530590-554515.	NC_013038.1	locus:NC_013038.1_530590-554515.	23926	23926	0.469	0.008	0.000	miLocus	11	False	NA
Mcom	locus:NC_013038.1_554516-555164.	NC_013038.1	locus:NC_013038.1_554516-555164.	649	649	0.327	-0.123	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_555165-561156.	NC_013038.1	locus:NC_013038.1_555165-561156.	5992	5992	0.439	-0.009	0.000	miLocus	2	False	NA
Mcom	locus:NC_013038.1_561157-561879.	NC_013038.1	locus:NC_013038.1_561157-561879.	723	723	0.353	-0.035	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_561880-567298.	NC_013038.1	locus:NC_013038.1_561880-567298.	5419	5419	0.476	0.020	0.000	miLocus	3	False	NA
Mcom	locus:NC_013038.1_567299-567808.	NC_013038.1	locus:NC_013038.1_567299-567808.	510	510	0.545	-0.007	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_567809-574219.	NC_013038.1	locus:NC_013038.1_567809-574219.	6411	6411	0.463	-0.002	0.000	miLocus	2	False	NA
Mcom	locus:NC_013038.1_574220-575429.	NC_013038.1	locus:NC_013038.1_574220-575429.	1210	1210	0.447	-0.050	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_575430-651710.	NC_013038.1	locus:NC_013038.1_575430-651710.	76281	76281	0.471	0.003	0.000	miLocus	28	False	NA
Mcom	locus:NC_013038.1_651711-652213.	NC_013038.1	locus:NC_013038.1_651711-652213.	503	503	0.505	0.063	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_652214-655695.	NC_013038.1	locus:NC_013038.1_652214-655695.	3482	3482	0.483	-0.026	0.000	miLocus	2	False	NA
Mcom	locus:NC_013038.1_655696-657505.	NC_013038.1	locus:NC_013038.1_655696-657505.	1810	1810	0.492	0.049	0.000	iiLocus	0	False	RF
Mcom	locus:NC_013038.1_657506-665054.	NC_013038.1	locus:NC_013038.1_657506-665054.	7549	7549	0.492	0.038	0.000	miLocus	4	False	NA
Mcom	locus:NC_013038.1_665055-666088.	NC_013038.1	locus:NC_013038.1_665055-666088.	1034	1034	0.465	0.114	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_666089-671064.	NC_013038.1	locus:NC_013038.1_666089-671064.	4976	4976	0.463	0.028	0.000	miLocus	2	False	NA
Mcom	locus:NC_013038.1_671065-672598.	NC_013038.1	locus:NC_013038.1_671065-672598.	1534	1534	0.398	-0.011	0.000	iiLocus	0	False	FF
Mcom	locus:NC_013038.1_672599-688772.	NC_013038.1	locus:NC_013038.1_672599-688772.	16174	16174	0.470	-0.010	0.000	miLocus	7	False	NA
