Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Cvar	locus:NW_005434674.1_1-1000.	NW_005434674.1	locus:NW_005434674.1_1-1000.	1000	1000	0.752	0.053	0.000	siLocus	1	False	NA
Cvar	locus:NW_005434675.1_1-1002.	NW_005434675.1	locus:NW_005434675.1_1-1002.	1002	1002	0.752	-0.017	0.001	siLocus	1	False	NA
Cvar	locus:NW_005434676.1_1-1003.	NW_005434676.1	locus:NW_005434676.1_1-1003.	1003	1003	0.731	-0.050	0.000	siLocus	1	False	NA
Cvar	locus:NW_005434677.1_1-1000.	NW_005434677.1	locus:NW_005434677.1_1-1000.	1000	1000	0.681	0.137	0.000	fiLocus	0	True	NA
Cvar	locus:NW_005434678.1_1-1005.	NW_005434678.1	locus:NW_005434678.1_1-1005.	1005	1005	0.724	0.049	0.000	siLocus	1	False	NA
Cvar	locus:NW_005434679.1_1-1006.	NW_005434679.1	locus:NW_005434679.1_1-1006.	1006	1006	0.805	0.054	0.000	fiLocus	0	True	NA
Cvar	locus:NW_005434680.1_1-1007.	NW_005434680.1	locus:NW_005434680.1_1-1007.	1007	1007	0.726	0.193	0.000	fiLocus	0	True	NA
Cvar	locus:NW_005434681.1_1-1008.	NW_005434681.1	locus:NW_005434681.1_1-1008.	1008	1008	0.770	-0.271	0.000	siLocus	1	False	NA
Cvar	locus:NW_005434682.1_1-1007.	NW_005434682.1	locus:NW_005434682.1_1-1007.	1007	1007	0.734	0.150	0.000	siLocus	1	False	NA
Cvar	locus:NW_005434683.1_1-1014.	NW_005434683.1	locus:NW_005434683.1_1-1014.	1014	1014	0.721	-0.001	0.000	siLocus	1	False	NA
Cvar	locus:NW_005434684.1_1-1015.	NW_005434684.1	locus:NW_005434684.1_1-1015.	1015	1015	0.632	0.017	0.000	fiLocus	0	True	NA
Cvar	locus:NW_005434685.1_1-1017.	NW_005434685.1	locus:NW_005434685.1_1-1017.	1017	1017	0.644	0.093	0.000	fiLocus	0	True	NA
Cvar	locus:NW_005434686.1_1-1025.	NW_005434686.1	locus:NW_005434686.1_1-1025.	1025	1025	0.622	0.150	0.000	fiLocus	0	True	NA
Cvar	locus:NW_005434687.1_1-1025.	NW_005434687.1	locus:NW_005434687.1_1-1025.	1025	1025	0.733	0.052	0.000	siLocus	1	False	NA
Cvar	locus:NW_005434688.1_1-1032.	NW_005434688.1	locus:NW_005434688.1_1-1032.	1032	1032	0.772	-0.006	0.000	fiLocus	0	True	NA
Cvar	locus:NW_005434689.1_1-1035.	NW_005434689.1	locus:NW_005434689.1_1-1035.	1035	1035	0.740	-0.175	0.000	siLocus	1	False	NA
Cvar	locus:NW_005434690.1_1-1037.	NW_005434690.1	locus:NW_005434690.1_1-1037.	1037	1037	0.716	0.055	0.000	siLocus	1	False	NA
Cvar	locus:NW_005434691.1_1-1036.	NW_005434691.1	locus:NW_005434691.1_1-1036.	1036	1036	0.689	0.067	0.000	fiLocus	0	True	NA
Cvar	locus:NW_005434692.1_1-1041.	NW_005434692.1	locus:NW_005434692.1_1-1041.	1041	1041	0.749	-0.108	0.000	siLocus	1	False	NA
Cvar	locus:NW_005434693.1_1-1041.	NW_005434693.1	locus:NW_005434693.1_1-1041.	1041	1041	0.649	-0.107	0.000	fiLocus	0	True	NA
Cvar	locus:NW_005434694.1_1-1043.	NW_005434694.1	locus:NW_005434694.1_1-1043.	1043	1043	0.552	0.087	0.000	fiLocus	0	True	NA
Cvar	locus:NW_005434695.1_1-1047.	NW_005434695.1	locus:NW_005434695.1_1-1047.	1047	1047	0.573	0.040	0.000	siLocus	1	False	NA
