Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Scer	ScerILC-00001	NC_001133.9	NC_001133.9_1-1306	1306	1306	0.410	-0.507	0.000	fiLocus	0	False	NA
Scer	ScerILC-00002	NC_001133.9	NC_001133.9_1307-2669	1363	1018	0.400	0.042	0.000	siLocus	1	False	NA
Scer	ScerILC-00003	NC_001133.9	NC_001133.9_1980-3207	1228	883	0.393	0.071	0.000	siLocus	1	False	NA
Scer	ScerILC-00004	NC_001133.9	NC_001133.9_3208-6734	3527	3527	0.333	-0.013	0.000	iiLocus	0	False	FR
Scer	ScerILC-00005	NC_001133.9	NC_001133.9_6735-9516	2782	2782	0.344	-0.063	0.000	siLocus	1	False	NA
Scer	ScerILC-00006	NC_001133.9	NC_001133.9_9517-11064	1548	1548	0.324	-0.016	0.000	iiLocus	0	False	RR
Scer	ScerILC-00007	NC_001133.9	NC_001133.9_11065-12451	1387	934	0.392	0.114	0.000	siLocus	1	False	NA
Scer	ScerILC-00008	NC_001133.9	NC_001133.9_11546-12926	1381	896	0.437	0.199	0.000	siLocus	1	False	NA
Scer	ScerILC-00009	NC_001133.9	NC_001133.9_12863-14243	1381	1349	0.413	0.208	0.000	siLocus	1	False	NA
Scer	ScerILC-00010	NC_001133.9	NC_001133.9_14244-21065	6822	6822	0.357	0.022	0.000	iiLocus	0	False	RF
Scer	ScerILC-00011	NC_001133.9	NC_001133.9_21066-22350	1285	1057	0.365	0.070	0.000	siLocus	1	False	NA
Scer	ScerILC-00012	NC_001133.9	NC_001133.9_21895-23342	1448	1220	0.334	0.025	0.000	siLocus	1	False	NA
Scer	ScerILC-00013	NC_001133.9	NC_001133.9_23343-28468	5126	5126	0.414	0.238	0.000	siLocus	1	False	NA
Scer	ScerILC-00014	NC_001133.9	NC_001133.9_28469-31066	2598	2598	0.349	0.046	0.000	iiLocus	0	False	RF
Scer	ScerILC-00015	NC_001133.9	NC_001133.9_31067-33440	2374	2128	0.431	0.127	0.000	siLocus	1	False	NA
Scer	ScerILC-00016	NC_001133.9	NC_001133.9_32948-35201	2254	1734	0.438	0.123	0.000	siLocus	1	False	NA
Scer	ScerILC-00017	NC_001133.9	NC_001133.9_34655-36803	2149	1478	0.410	0.098	0.000	siLocus	1	False	NA
Scer	ScerILC-00018	NC_001133.9	NC_001133.9_36009-37647	1639	899	0.375	0.132	0.000	siLocus	1	False	NA
Scer	ScerILC-00019	NC_001133.9	NC_001133.9_36964-39472	2509	1810	0.403	0.066	0.000	siLocus	1	False	NA
Scer	ScerILC-00020	NC_001133.9	NC_001133.9_38759-42401	3643	2924	0.384	0.092	0.000	siLocus	1	False	NA
Scer	ScerILC-00021	NC_001133.9	NC_001133.9_41677-43219	1543	761	0.364	0.134	0.000	siLocus	1	False	NA
Scer	ScerILC-00022	NC_001133.9	NC_001133.9_42381-45522	3142	2660	0.438	0.050	0.000	siLocus	1	False	NA
Scer	ScerILC-00023	NC_001133.9	NC_001133.9_45399-48750	3352	2947	0.402	-0.042	0.000	siLocus	1	False	NA
Scer	ScerILC-00024	NC_001133.9	NC_001133.9_48064-52207	4144	3374	0.376	-0.012	0.000	siLocus	1	False	NA
Scer	ScerILC-00025	NC_001133.9	NC_001133.9_51355-53095	1741	917	0.397	-0.006	0.000	siLocus	1	False	NA
Scer	ScerILC-00026	NC_001133.9	NC_001133.9_52301-55289	2989	2191	0.390	0.032	0.000	siLocus	1	False	NA
Scer	ScerILC-00027	NC_001133.9	NC_001133.9_54489-57357	2869	2054	0.373	0.024	0.000	siLocus	1	False	NA
Scer	ScerILC-00028	NC_001133.9	NC_001133.9_56529-57885	1357	508	0.426	0.017	0.000	siLocus	1	False	NA
Scer	ScerILC-00029	NC_001133.9	NC_001133.9_57018-58350	1333	449	0.454	-0.058	0.000	siLocus	1	False	NA
Scer	ScerILC-00030	NC_001133.9	NC_001133.9_57450-58962	1513	678	0.447	0.037	0.000	siLocus	1	False	NA
Scer	ScerILC-00031	NC_001133.9	NC_001133.9_58195-61552	3358	2606	0.456	0.082	0.000	siLocus	1	False	NA
Scer	ScerILC-00032	NC_001133.9	NC_001133.9_60816-63063	2248	1517	0.464	0.050	0.000	siLocus	1	False	NA
Scer	ScerILC-00033	NC_001133.9	NC_001133.9_62340-65904	3565	2890	0.382	-0.010	0.000	siLocus	1	False	NA
Scer	ScerILC-00034	NC_001133.9	NC_001133.9_65278-68118	2841	2527	0.381	0.289	0.000	siLocus	1	False	NA
Scer	ScerILC-00035	NC_001133.9	NC_001133.9_68119-70025	1907	1907	0.461	0.039	0.000	siLocus	1	False	NA
Scer	ScerILC-00036	NC_001133.9	NC_001133.9_70026-71285	1260	1260	0.382	0.056	0.000	iiLocus	0	False	RF
Scer	ScerILC-00037	NC_001133.9	NC_001133.9_71286-73788	2503	2072	0.402	-0.051	0.000	siLocus	1	False	NA
Scer	ScerILC-00038	NC_001133.9	NC_001133.9_72926-74018	1093	412	0.364	-0.025	0.000	siLocus	1	False	NA
Scer	ScerILC-00039	NC_001133.9	NC_001133.9_73520-75323	1804	1164	0.366	-0.047	0.000	siLocus	1	False	NA
Scer	ScerILC-00040	NC_001133.9	NC_001133.9_74543-76652	2110	1356	0.417	-0.077	0.000	siLocus	1	False	NA
Scer	ScerILC-00041	NC_001133.9	NC_001133.9_75927-79935	4009	3287	0.411	0.094	0.000	siLocus	1	False	NA
