piLocusID	MrnaID
AgamILC-00001	gnl|WGS:AAAB|AGAP000002-RA
AgamILC-00003	gnl|WGS:AAAB|AGAP000005-RA
AgamILC-00005	gnl|WGS:AAAB|AGAP000007-RA
AgamILC-00006	gnl|WGS:AAAB|AGAP000008-RA
AgamILC-00008	gnl|WGS:AAAB|AGAP000009-RA
AgamILC-00011	gnl|WGS:AAAB|AGAP000010-RA
AgamILC-00013	gnl|WGS:AAAB|AGAP000011-RA
AgamILC-00015	gnl|WGS:AAAB|AGAP000012-RA
AgamILC-00017	gnl|WGS:AAAB|AGAP000013-RA
AgamILC-00018	gnl|WGS:AAAB|AGAP000014-RA
AgamILC-00020	gnl|WGS:AAAB|AGAP000015-RA
AgamILC-00022	gnl|WGS:AAAB|AGAP000016-RA
AgamILC-00024	gnl|WGS:AAAB|AGAP000017-RA
AgamILC-00026	gnl|WGS:AAAB|AGAP000018-RA
AgamILC-00030	gnl|WGS:AAAB|AGAP000019-RA
AgamILC-00032	gnl|WGS:AAAB|AGAP000020-RA
AgamILC-00034	gnl|WGS:AAAB|AGAP013504-RA
AgamILC-00036	gnl|WGS:AAAB|AGAP000022-RA
AgamILC-00037	gnl|WGS:AAAB|AGAP000021-RA
AgamILC-00039	gnl|WGS:AAAB|AGAP000023-RA
AgamILC-00041	gnl|WGS:AAAB|AGAP000025-RA
AgamILC-00043	gnl|WGS:AAAB|AGAP000028-RA
AgamILC-00045	gnl|WGS:AAAB|AGAP000029-RA
AgamILC-00047	gnl|WGS:AAAB|AGAP000032-RA
AgamILC-00049	gnl|WGS:AAAB|AGAP000033-RA
AgamILC-00051	gnl|WGS:AAAB|AGAP000035-RA
AgamILC-00053	gnl|WGS:AAAB|AGAP000037-RA
AgamILC-00055	gnl|WGS:AAAB|AGAP000038-RA
AgamILC-00057	gnl|WGS:AAAB|AGAP000039-RA
AgamILC-00059	gnl|WGS:AAAB|AGAP000040-RA
AgamILC-00061	gnl|WGS:AAAB|AGAP000041-RA
AgamILC-00063	gnl|WGS:AAAB|AGAP000042-RA
AgamILC-00065	gnl|WGS:AAAB|AGAP000043-RA
AgamILC-00067	gnl|WGS:AAAB|AGAP000044-RA
AgamILC-00069	gnl|WGS:AAAB|AGAP000045-RA
AgamILC-00071	gnl|WGS:AAAB|AGAP000046-RA
AgamILC-00073	gnl|WGS:AAAB|AGAP000047-RA
AgamILC-00075	gnl|WGS:AAAB|AGAP000048-RA
AgamILC-00077	gnl|WGS:AAAB|AGAP012954-RA
AgamILC-00079	gnl|WGS:AAAB|AGAP000049-RA
AgamILC-00081	gnl|WGS:AAAB|AGAP000051-RA
