piLocusID	MrnaID
DmelILC-00001	gnl|FlyBase|CG45760-RB
DmelILC-00003	gnl|FlyBase|CG17245-RA
DmelILC-00007	gnl|FlyBase|CG2125-RA
DmelILC-00010	gnl|FlyBase|CG2168-RA
DmelILC-00013	gnl|FlyBase|CG34403-RJ
DmelILC-00014	gnl|FlyBase|CG1651-RB
DmelILC-00016	gnl|FlyBase|CG32000-RH
DmelILC-00019	gnl|FlyBase|CG32006-RA
DmelILC-00020	gnl|FlyBase|CG31997-RA
DmelILC-00022	gnl|FlyBase|CG33978-RC
DmelILC-00024	gnl|FlyBase|CG2219-RB
DmelILC-00026	gnl|FlyBase|CG2316-RA
DmelILC-00028	gnl|FlyBase|CG31998-RA
DmelILC-00030	gnl|FlyBase|CG1587-RA
DmelILC-00032	gnl|FlyBase|CG31999-RA
DmelILC-00033	gnl|FlyBase|CG1629-RA
DmelILC-00035	gnl|FlyBase|CG1674-RL
DmelILC-00036	gnl|FlyBase|CG33481-RF
DmelILC-00038	gnl|FlyBase|CG42316-RD
DmelILC-00040	gnl|FlyBase|CG2380-RB
DmelILC-00042	gnl|FlyBase|CG2381-RA
DmelILC-00044	gnl|FlyBase|CG1836-RA
DmelILC-00045	gnl|FlyBase|CG2177-RE
DmelILC-00046	gnl|FlyBase|CG32850-RA
DmelILC-00047	gnl|FlyBase|CG42314-RJ
DmelILC-00048	gnl|FlyBase|CG1710-RA
DmelILC-00049	gnl|FlyBase|CG2052-RA
DmelILC-00058	gnl|FlyBase|CG2041-RA
DmelILC-00060	gnl|FlyBase|CG1495-RA
DmelILC-00063	gnl|FlyBase|CG2009-RA
DmelILC-00064	gnl|FlyBase|CG33941-RF
DmelILC-00065	gnl|FlyBase|CG11533-RD
DmelILC-00067	gnl|FlyBase|CG1449-RA
DmelILC-00068	gnl|FlyBase|CG1981-RA
DmelILC-00070	gnl|FlyBase|CG1507-RB
DmelILC-00071	gnl|FlyBase|CG1970-RA
DmelILC-00072	gnl|FlyBase|CG1862-RA
DmelILC-00074	gnl|FlyBase|CG1909-RA
DmelILC-00077	gnl|FlyBase|CG1922-RA
DmelILC-00079	gnl|FlyBase|CG1511-RC
DmelILC-00080	gnl|FlyBase|CG1901-RA
DmelILC-00083	gnl|FlyBase|CG1732-RA
DmelILC-00084	gnl|FlyBase|CG9935-RB
DmelILC-00086	gnl|FlyBase|CG31992-RA
DmelILC-00087	gnl|FlyBase|CG1783-RA
DmelILC-00088	gnl|FlyBase|CG11360-RA
DmelILC-00089	gnl|FlyBase|CG1838-RA
DmelILC-00091	gnl|FlyBase|CG1464-RD
DmelILC-00093	gnl|FlyBase|CG32019-RF
DmelILC-00095	gnl|FlyBase|CG1793-RA
DmelILC-00097	gnl|FlyBase|CG11153-RB
DmelILC-00099	gnl|FlyBase|CG11152-RA
DmelILC-00103	gnl|FlyBase|CG11148-RG
DmelILC-00105	gnl|FlyBase|CG2999-RE
DmelILC-00108	gnl|FlyBase|CG10811-RB
DmelILC-00110	gnl|FlyBase|CG11144-RA
DmelILC-00112	gnl|FlyBase|CG32016-RB
DmelILC-00115	gnl|FlyBase|CG11093-RB
