Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Vcar	locus:NW_003307545.1_1-28641.	NW_003307545.1	locus:NW_003307545.1_1-28641.	28641	28641	0.575	-0.087	0.516	fiLocus	0	False	NA
Vcar	locus:NW_003307545.1_28642-35520.	NW_003307545.1	locus:NW_003307545.1_28642-35520.	6879	6879	0.557	0.017	0.000	miLocus	4	False	NA
Vcar	locus:NW_003307545.1_35521-36196.	NW_003307545.1	locus:NW_003307545.1_35521-36196.	676	676	0.555	-0.147	0.000	iiLocus	0	False	FR
Vcar	locus:NW_003307545.1_36197-46004.	NW_003307545.1	locus:NW_003307545.1_36197-46004.	9808	9808	0.584	-0.061	0.000	miLocus	2	False	NA
Vcar	locus:NW_003307545.1_46005-46518.	NW_003307545.1	locus:NW_003307545.1_46005-46518.	514	514	0.580	0.013	0.000	iiLocus	0	False	FF
Vcar	locus:NW_003307545.1_46519-83549.	NW_003307545.1	locus:NW_003307545.1_46519-83549.	37031	37031	0.575	-0.026	0.000	miLocus	2	False	NA
Vcar	locus:NW_003307545.1_83550-85050.	NW_003307545.1	locus:NW_003307545.1_83550-85050.	1501	1501	0.499	-0.044	0.000	iiLocus	0	False	FR
Vcar	locus:NW_003307545.1_85051-100969.	NW_003307545.1	locus:NW_003307545.1_85051-100969.	15919	15919	0.599	0.012	0.000	miLocus	2	False	NA
Vcar	locus:NW_003307545.1_100970-101790.	NW_003307545.1	locus:NW_003307545.1_100970-101790.	821	821	0.525	-0.067	0.000	iiLocus	0	False	FF
Vcar	locus:NW_003307545.1_101791-104568.	NW_003307545.1	locus:NW_003307545.1_101791-104568.	2778	2778	0.566	0.045	0.000	siLocus	1	False	NA
Vcar	locus:NW_003307545.1_104569-114119.	NW_003307545.1	locus:NW_003307545.1_104569-114119.	9551	9551	0.530	0.013	0.000	iiLocus	0	False	FF
Vcar	locus:NW_003307545.1_114120-116448.	NW_003307545.1	locus:NW_003307545.1_114120-116448.	2329	2329	0.548	0.024	0.000	siLocus	1	False	NA
Vcar	locus:NW_003307545.1_116449-119522.	NW_003307545.1	locus:NW_003307545.1_116449-119522.	3074	3074	0.543	0.068	0.000	iiLocus	0	False	FF
Vcar	locus:NW_003307545.1_119523-127873.	NW_003307545.1	locus:NW_003307545.1_119523-127873.	8351	8351	0.573	0.014	0.000	siLocus	1	False	NA
