Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Amel	AmelILC-00001	NC_007070.3	NC_007070.3_1-212436	212436	212436	0.372	-0.007	0.011	siLocus	1	False	NA
Amel	AmelILC-00002	NC_007070.3	NC_007070.3_40526-44539	4014	0	0.402	0.008	0.000	niLocus	1	False	NA
Amel	AmelILC-00003	NC_007070.3	NC_007070.3_44451-48543	4093	0	0.317	0.397	0.012	niLocus	1	False	NA
Amel	AmelILC-00004	NC_007070.3	NC_007070.3_57082-78881	21800	0	0.406	-0.009	0.013	niLocus	1	False	NA
Amel	AmelILC-00005	NC_007070.3	NC_007070.3_100476-119222	18747	0	0.367	0.047	0.048	niLocus	1	False	NA
Amel	AmelILC-00006	NC_007070.3	NC_007070.3_168353-172363	4011	0	0.391	0.032	0.000	niLocus	1	False	NA
Amel	AmelILC-00007	NC_007070.3	NC_007070.3_204402-205520	1119	0	0.451	0.069	0.000	niLocus	1	False	NA
Amel	AmelILC-00008	NC_007070.3	NC_007070.3_210599-211705	1107	0	0.322	0.042	0.000	niLocus	1	False	NA
Amel	AmelILC-00009	NC_007070.3	NC_007070.3_212437-213195	759	759	0.285	-0.093	0.000	iiLocus	0	False	RR
Amel	AmelILC-00010	NC_007070.3	NC_007070.3_213196-230221	17026	17026	0.335	0.015	0.016	siLocus	1	False	NA
Amel	AmelILC-00011	NC_007070.3	NC_007070.3_220993-224991	3999	0	0.390	0.063	0.000	niLocus	1	False	NA
Amel	AmelILC-00012	NC_007070.3	NC_007070.3_230222-308076	77855	77855	0.376	-0.008	0.030	iiLocus	0	False	RR
Amel	AmelILC-00013	NC_007070.3	NC_007070.3_308077-312238	4162	4162	0.345	-0.068	0.000	niLocus	1	False	NA
Amel	AmelILC-00014	NC_007070.3	NC_007070.3_312239-320502	8264	8264	0.370	0.056	0.013	iiLocus	0	False	RF
Amel	AmelILC-00015	NC_007070.3	NC_007070.3_320503-323297	2795	2795	0.361	0.179	0.000	niLocus	1	False	NA
Amel	AmelILC-00016	NC_007070.3	NC_007070.3_323298-325860	2563	2563	0.379	0.095	0.128	iiLocus	0	False	FR
Amel	AmelILC-00017	NC_007070.3	NC_007070.3_325861-326932	1072	1072	0.247	0.019	0.000	niLocus	1	False	NA
Amel	AmelILC-00018	NC_007070.3	NC_007070.3_326933-328734	1802	1802	0.262	0.102	0.000	iiLocus	0	False	RF
Amel	AmelILC-00019	NC_007070.3	NC_007070.3_328735-331819	3085	3085	0.207	0.028	0.000	siLocus	1	False	NA
Amel	AmelILC-00020	NC_007070.3	NC_007070.3_331820-347339	15520	14818	0.218	0.132	0.000	siLocus	1	False	NA
Amel	AmelILC-00021	NC_007070.3	NC_007070.3_340932-342004	1073	0	0.158	-0.129	0.000	niLocus	1	False	NA
Amel	AmelILC-00022	NC_007070.3	NC_007070.3_346638-352305	5668	5668	0.224	-0.061	0.000	siLocus	1	False	NA
