Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Oluc	OlucILC-00001	NC_009355.1	NC_009355.1_1-4171	4171	3789	0.564	-0.046	0.000	siLocus	1	False	NA
Oluc	OlucILC-00002	NC_009355.1	NC_009355.1_3407-7427	4021	3217	0.575	0.028	0.000	siLocus	1	False	NA
Oluc	OlucILC-00003	NC_009355.1	NC_009355.1_6585-9660	3076	2489	0.636	0.083	0.000	siLocus	1	False	NA
Oluc	OlucILC-00004	NC_009355.1	NC_009355.1_9330-11980	2651	3146	0.603	0.030	0.000	siLocus	1	False	NA
Oluc	OlucILC-00005	NC_009355.1	NC_009355.1_10967-13099	2133	0	0.585	0.062	0.000	siLocus	1	False	NA
Oluc	OlucILC-00006	NC_009355.1	NC_009355.1_12183-14268	2086	1145	0.570	0.038	0.000	siLocus	1	False	NA
Oluc	OlucILC-00007	NC_009355.1	NC_009355.1_13305-15825	2521	1896	0.565	-0.051	0.000	siLocus	1	False	NA
Oluc	OlucILC-00008	NC_009355.1	NC_009355.1_15540-16764	1225	603	0.632	-0.013	0.000	siLocus	1	False	NA
Oluc	OlucILC-00009	NC_009355.1	NC_009355.1_15806-18312	2507	1717	0.648	-0.043	0.000	siLocus	1	False	NA
Oluc	OlucILC-00010	NC_009355.1	NC_009355.1_17692-19310	1619	1308	0.676	0.113	0.000	siLocus	1	False	NA
Oluc	OlucILC-00011	NC_009355.1	NC_009355.1_19311-21436	2126	1852	0.545	0.079	0.000	siLocus	1	False	NA
Oluc	OlucILC-00012	NC_009355.1	NC_009355.1_20888-23820	2933	2214	0.562	0.025	0.000	siLocus	1	False	NA
Oluc	OlucILC-00013	NC_009355.1	NC_009355.1_22932-26872	3941	3496	0.573	-0.019	0.000	siLocus	1	False	NA
Oluc	OlucILC-00014	NC_009355.1	NC_009355.1_26873-28921	2049	2049	0.559	0.113	0.000	iiLocus	0	False	FF
Oluc	OlucILC-00015	NC_009355.1	NC_009355.1_28922-30605	1684	1408	0.563	0.015	0.000	siLocus	1	False	NA
Oluc	OlucILC-00016	NC_009355.1	NC_009355.1_30053-32578	2526	1828	0.594	0.083	0.000	siLocus	1	False	NA
Oluc	OlucILC-00017	NC_009355.1	NC_009355.1_31736-34073	2338	1633	0.635	-0.055	0.000	siLocus	1	False	NA
Oluc	OlucILC-00018	NC_009355.1	NC_009355.1_33507-35193	1687	1028	0.644	0.038	0.000	siLocus	1	False	NA
Oluc	OlucILC-00019	NC_009355.1	NC_009355.1_34443-36666	2224	1394	0.586	-0.041	0.000	siLocus	1	False	NA
Oluc	OlucILC-00020	NC_009355.1	NC_009355.1_35758-38911	3154	2606	0.600	-0.070	0.000	siLocus	1	False	NA
