Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Oluc	locus:NC_009355.1_1-26872.	NC_009355.1	locus:NC_009355.1_1-26872.	26872	26872	0.581	0.016	0.000	miLocus	13	False	NA
Oluc	locus:NC_009355.1_26873-28921.	NC_009355.1	locus:NC_009355.1_26873-28921.	2049	2049	0.559	0.113	0.000	iiLocus	0	False	FF
Oluc	locus:NC_009355.1_28922-49177.	NC_009355.1	locus:NC_009355.1_28922-49177.	20256	20256	0.607	0.001	0.000	miLocus	16	False	NA
Oluc	locus:NC_009355.1_49178-49741.	NC_009355.1	locus:NC_009355.1_49178-49741.	564	564	0.539	-0.158	0.000	iiLocus	0	False	FR
Oluc	locus:NC_009355.1_49742-58830.	NC_009355.1	locus:NC_009355.1_49742-58830.	9089	9089	0.618	-0.042	0.000	miLocus	6	False	NA
Oluc	locus:NC_009355.1_58831-60174.	NC_009355.1	locus:NC_009355.1_58831-60174.	1344	1344	0.743	-0.108	0.000	iiLocus	0	False	RF
Oluc	locus:NC_009355.1_60175-214992.	NC_009355.1	locus:NC_009355.1_60175-214992.	154818	154425	0.619	-0.008	0.000	miLocus	91	False	NA
Oluc	locus:NC_009355.1_214207-216977.	NC_009355.1	locus:NC_009355.1_214207-216977.	2771	1906	0.607	0.065	0.000	ciLocus	2	False	NA
Oluc	locus:NC_009355.1_216033-225529.	NC_009355.1	locus:NC_009355.1_216033-225529.	9497	9024	0.579	-0.033	0.000	miLocus	5	False	NA
Oluc	locus:NC_009355.1_225530-227209.	NC_009355.1	locus:NC_009355.1_225530-227209.	1680	1680	0.550	-0.104	0.000	iiLocus	0	False	FR
Oluc	locus:NC_009355.1_227210-310100.	NC_009355.1	locus:NC_009355.1_227210-310100.	82891	82891	0.608	0.006	0.000	miLocus	48	False	NA
Oluc	locus:NC_009355.1_310101-311347.	NC_009355.1	locus:NC_009355.1_310101-311347.	1247	1247	0.650	-0.170	0.000	iiLocus	0	False	RF
