Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Pdom	locus:NW_015148970.1_1-21100.	NW_015148970.1	locus:NW_015148970.1_1-21100.	21100	21100	0.363	0.000	0.000	miLocus	2	False	NA
Pdom	locus:NW_015148970.1_21101-21901.	NW_015148970.1	locus:NW_015148970.1_21101-21901.	801	801	0.280	-0.045	0.000	iiLocus	0	False	RR
Pdom	locus:NW_015148970.1_21902-26915.	NW_015148970.1	locus:NW_015148970.1_21902-26915.	5014	5014	0.406	0.044	0.000	siLocus	1	False	NA
Pdom	locus:NW_015148970.1_26916-29576.	NW_015148970.1	locus:NW_015148970.1_26916-29576.	2661	2661	0.367	0.025	0.000	iiLocus	0	False	RF
Pdom	locus:NW_015148970.1_29577-209950.	NW_015148970.1	locus:NW_015148970.1_29577-209950.	180374	180374	0.413	0.013	0.001	miLocus	2	False	NA
Pdom	locus:NW_015148970.1_209951-238059.	NW_015148970.1	locus:NW_015148970.1_209951-238059.	28109	28109	0.430	-0.007	0.000	iiLocus	0	False	FR
Pdom	locus:NW_015148970.1_238060-245836.	NW_015148970.1	locus:NW_015148970.1_238060-245836.	7777	7777	0.305	-0.051	0.013	miLocus	2	False	NA
Pdom	locus:NW_015148970.1_245837-246470.	NW_015148970.1	locus:NW_015148970.1_245837-246470.	634	634	0.202	0.109	0.000	iiLocus	0	False	FR
Pdom	locus:NW_015148970.1_246471-290898.	NW_015148970.1	locus:NW_015148970.1_246471-290898.	44428	44428	0.300	0.020	0.000	miLocus	13	False	NA
Pdom	locus:NW_015148970.1_290899-292958.	NW_015148970.1	locus:NW_015148970.1_290899-292958.	2060	2060	0.301	0.087	0.000	iiLocus	0	False	RF
Pdom	locus:NW_015148970.1_292959-299856.	NW_015148970.1	locus:NW_015148970.1_292959-299856.	6898	6898	0.293	0.075	0.000	miLocus	2	False	NA
Pdom	locus:NW_015148970.1_299857-302359.	NW_015148970.1	locus:NW_015148970.1_299857-302359.	2503	2503	0.284	0.022	0.000	iiLocus	0	False	FF
Pdom	locus:NW_015148970.1_302360-333506.	NW_015148970.1	locus:NW_015148970.1_302360-333506.	31147	31147	0.323	0.037	0.000	siLocus	1	False	NA
Pdom	locus:NW_015148970.1_333507-344510.	NW_015148970.1	locus:NW_015148970.1_333507-344510.	11004	11004	0.339	0.063	0.000	iiLocus	0	False	FF
Pdom	locus:NW_015148970.1_344511-403021.	NW_015148970.1	locus:NW_015148970.1_344511-403021.	58511	58511	0.318	0.058	0.002	siLocus	1	False	NA
Pdom	locus:NW_015148970.1_403022-512787.	NW_015148970.1	locus:NW_015148970.1_403022-512787.	109766	109766	0.329	0.054	0.001	iiLocus	0	False	FF
Pdom	locus:NW_015148970.1_512788-563418.	NW_015148970.1	locus:NW_015148970.1_512788-563418.	50631	50631	0.328	0.011	0.000	siLocus	1	False	NA
Pdom	locus:NW_015148970.1_563419-569870.	NW_015148970.1	locus:NW_015148970.1_563419-569870.	6452	6452	0.333	-0.060	0.120	iiLocus	0	False	FR
Pdom	locus:NW_015148970.1_569871-629441.	NW_015148970.1	locus:NW_015148970.1_569871-629441.	59571	59571	0.309	-0.044	0.014	miLocus	7	False	NA
Pdom	locus:NW_015148970.1_629442-633412.	NW_015148970.1	locus:NW_015148970.1_629442-633412.	3971	3971	0.337	-0.021	0.000	iiLocus	0	False	RR
Pdom	locus:NW_015148970.1_633413-643118.	NW_015148970.1	locus:NW_015148970.1_633413-643118.	9706	9706	0.307	0.037	0.000	miLocus	3	False	NA
Pdom	locus:NW_015148970.1_643119-644819.	NW_015148970.1	locus:NW_015148970.1_643119-644819.	1701	1701	0.325	-0.049	0.000	iiLocus	0	False	FF
