Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Tcas	locus:NC_007416.2_1-1357.	NC_007416.2	locus:NC_007416.2_1-1357.	1357	1357	0.322	0.053	0.000	fiLocus	0	False	NA
Tcas	locus:NC_007416.2_1358-7200.	NC_007416.2	locus:NC_007416.2_1358-7200.	5843	5843	0.305	-0.113	0.211	niLocus	1	False	NA
Tcas	locus:NC_007416.2_7201-27648.	NC_007416.2	locus:NC_007416.2_7201-27648.	20448	20448	0.363	0.016	0.012	iiLocus	0	False	RR
Tcas	locus:NC_007416.2_27649-45410.	NC_007416.2	locus:NC_007416.2_27649-45410.	17762	17762	0.383	0.001	0.028	miLocus	3	False	NA
Tcas	locus:NC_007416.2_45411-67713.	NC_007416.2	locus:NC_007416.2_45411-67713.	22303	22303	0.357	-0.007	0.042	iiLocus	0	False	RR
Tcas	locus:NC_007416.2_67714-69072.	NC_007416.2	locus:NC_007416.2_67714-69072.	1359	868	0.460	0.107	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_68091-73672.	NC_007416.2	locus:NC_007416.2_68091-73672.	5582	5091	0.399	0.003	0.086	ciLocus	2	False	NA
Tcas	locus:NC_007416.2_73673-83401.	NC_007416.2	locus:NC_007416.2_73673-83401.	9729	9729	0.318	0.257	0.966	iiLocus	0	False	FR
Tcas	locus:NC_007416.2_83402-85463.	NC_007416.2	locus:NC_007416.2_83402-85463.	2062	1584	0.413	-0.076	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_84508-89175.	NC_007416.2	locus:NC_007416.2_84508-89175.	4668	3712	0.441	0.037	0.000	ciLocus	1	False	NA
Tcas	locus:NC_007416.2_85342-88580.	NC_007416.2	locus:NC_007416.2_85342-88580.	3239	0	0.465	0.063	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_88219-113574.	NC_007416.2	locus:NC_007416.2_88219-113574.	25356	24877	0.386	0.023	0.000	miLocus	5	False	NA
Tcas	locus:NC_007416.2_113575-119423.	NC_007416.2	locus:NC_007416.2_113575-119423.	5849	5849	0.329	0.040	0.000	iiLocus	0	False	RR
Tcas	locus:NC_007416.2_119424-121569.	NC_007416.2	locus:NC_007416.2_119424-121569.	2146	2146	0.412	0.129	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_121570-135064.	NC_007416.2	locus:NC_007416.2_121570-135064.	13495	13495	0.335	-0.009	0.016	iiLocus	0	False	RR
Tcas	locus:NC_007416.2_135065-150306.	NC_007416.2	locus:NC_007416.2_135065-150306.	15242	15242	0.406	0.061	0.016	miLocus	3	False	NA
Tcas	locus:NC_007416.2_150307-153177.	NC_007416.2	locus:NC_007416.2_150307-153177.	2871	2871	0.347	0.019	0.000	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_153178-169979.	NC_007416.2	locus:NC_007416.2_153178-169979.	16802	16802	0.391	0.023	0.000	miLocus	3	False	NA
Tcas	locus:NC_007416.2_169980-171348.	NC_007416.2	locus:NC_007416.2_169980-171348.	1369	1369	0.354	0.076	0.000	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_171349-180593.	NC_007416.2	locus:NC_007416.2_171349-180593.	9245	9245	0.423	-0.007	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_180594-181269.	NC_007416.2	locus:NC_007416.2_180594-181269.	676	676	0.303	0.083	0.000	iiLocus	0	False	FR
Tcas	locus:NC_007416.2_181270-208946.	NC_007416.2	locus:NC_007416.2_181270-208946.	27677	27677	0.370	0.027	0.005	miLocus	2	False	NA
Tcas	locus:NC_007416.2_208947-215702.	NC_007416.2	locus:NC_007416.2_208947-215702.	6756	6756	0.351	0.033	0.000	iiLocus	0	False	FF
Tcas	locus:NC_007416.2_215703-236708.	NC_007416.2	locus:NC_007416.2_215703-236708.	21006	21006	0.405	0.014	0.002	miLocus	5	False	NA
Tcas	locus:NC_007416.2_236709-538712.	NC_007416.2	locus:NC_007416.2_236709-538712.	302004	302004	0.306	-0.016	0.993	iiLocus	0	False	FF
Tcas	locus:NC_007416.2_538713-551165.	NC_007416.2	locus:NC_007416.2_538713-551165.	12453	12453	0.340	-0.022	0.000	miLocus	2	False	NA
Tcas	locus:NC_007416.2_551166-552169.	NC_007416.2	locus:NC_007416.2_551166-552169.	1004	1004	0.298	-0.030	0.000	iiLocus	0	False	FF
Tcas	locus:NC_007416.2_552170-580139.	NC_007416.2	locus:NC_007416.2_552170-580139.	27970	27970	0.333	0.005	0.002	miLocus	7	False	NA
Tcas	locus:NC_007416.2_580140-585776.	NC_007416.2	locus:NC_007416.2_580140-585776.	5637	5637	0.305	-0.020	0.000	iiLocus	0	False	FF
Tcas	locus:NC_007416.2_585777-607229.	NC_007416.2	locus:NC_007416.2_585777-607229.	21453	21453	0.337	-0.014	0.038	miLocus	6	False	NA
Tcas	locus:NC_007416.2_607230-608762.	NC_007416.2	locus:NC_007416.2_607230-608762.	1533	1533	0.338	-0.004	0.074	iiLocus	0	False	FR
Tcas	locus:NC_007416.2_608763-652420.	NC_007416.2	locus:NC_007416.2_608763-652420.	43658	43658	0.383	-0.031	0.120	miLocus	7	False	NA
Tcas	locus:NC_007416.2_652421-655442.	NC_007416.2	locus:NC_007416.2_652421-655442.	3022	3022	0.301	0.081	0.000	iiLocus	0	False	FR
Tcas	locus:NC_007416.2_655443-685059.	NC_007416.2	locus:NC_007416.2_655443-685059.	29617	29617	0.355	0.001	0.085	miLocus	7	False	NA
Tcas	locus:NC_007416.2_685060-685802.	NC_007416.2	locus:NC_007416.2_685060-685802.	743	743	0.265	-0.137	0.000	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_685803-698425.	NC_007416.2	locus:NC_007416.2_685803-698425.	12623	12623	0.364	0.017	0.000	miLocus	6	False	NA
Tcas	locus:NC_007416.2_698426-699574.	NC_007416.2	locus:NC_007416.2_698426-699574.	1149	1149	0.380	0.014	0.044	iiLocus	0	False	FR
Tcas	locus:NC_007416.2_699575-710907.	NC_007416.2	locus:NC_007416.2_699575-710907.	11333	11333	0.366	-0.005	0.000	miLocus	3	False	NA
Tcas	locus:NC_007416.2_710908-725498.	NC_007416.2	locus:NC_007416.2_710908-725498.	14591	14591	0.366	0.101	0.083	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_725499-727326.	NC_007416.2	locus:NC_007416.2_725499-727326.	1828	1828	0.329	0.077	0.201	siLocus	1	False	NA
Tcas	locus:NC_007416.2_727327-732754.	NC_007416.2	locus:NC_007416.2_727327-732754.	5428	5057	0.394	-0.017	0.000	ciLocus	1	False	NA
Tcas	locus:NC_007416.2_728970-732474.	NC_007416.2	locus:NC_007416.2_728970-732474.	3505	0	0.393	-0.057	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_732013-739588.	NC_007416.2	locus:NC_007416.2_732013-739588.	7576	7205	0.396	-0.013	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_739589-740203.	NC_007416.2	locus:NC_007416.2_739589-740203.	615	615	0.288	0.006	0.000	iiLocus	0	False	RR
Tcas	locus:NC_007416.2_740204-749345.	NC_007416.2	locus:NC_007416.2_740204-749345.	9142	9142	0.343	-0.023	0.000	miLocus	3	False	NA
Tcas	locus:NC_007416.2_749346-755567.	NC_007416.2	locus:NC_007416.2_749346-755567.	6222	6222	0.314	-0.034	0.000	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_755568-763980.	NC_007416.2	locus:NC_007416.2_755568-763980.	8413	8214	0.372	0.031	0.000	ciLocus	1	False	NA
Tcas	locus:NC_007416.2_757909-759711.	NC_007416.2	locus:NC_007416.2_757909-759711.	1803	0	0.387	0.011	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_763582-779119.	NC_007416.2	locus:NC_007416.2_763582-779119.	15538	15338	0.371	-0.023	0.000	miLocus	3	False	NA
Tcas	locus:NC_007416.2_779120-1080768.	NC_007416.2	locus:NC_007416.2_779120-1080768.	301649	301649	0.347	0.012	0.994	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_1080769-1091012.	NC_007416.2	locus:NC_007416.2_1080769-1091012.	10244	10244	0.412	0.013	0.004	miLocus	4	False	NA
Tcas	locus:NC_007416.2_1091013-1113335.	NC_007416.2	locus:NC_007416.2_1091013-1113335.	22323	22323	0.362	0.029	0.048	iiLocus	0	False	RR
Tcas	locus:NC_007416.2_1113336-1179955.	NC_007416.2	locus:NC_007416.2_1113336-1179955.	66620	66620	0.361	0.012	0.005	siLocus	1	False	NA
Tcas	locus:NC_007416.2_1179956-1187336.	NC_007416.2	locus:NC_007416.2_1179956-1187336.	7381	7381	0.347	-0.062	0.314	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_1187337-1193845.	NC_007416.2	locus:NC_007416.2_1187337-1193845.	6509	6509	0.391	-0.022	0.000	miLocus	5	False	NA
Tcas	locus:NC_007416.2_1193846-1194592.	NC_007416.2	locus:NC_007416.2_1193846-1194592.	747	747	0.308	0.026	0.000	iiLocus	0	False	RR
Tcas	locus:NC_007416.2_1194593-1198441.	NC_007416.2	locus:NC_007416.2_1194593-1198441.	3849	3849	0.382	0.068	0.000	miLocus	2	False	NA
Tcas	locus:NC_007416.2_1198442-1209717.	NC_007416.2	locus:NC_007416.2_1198442-1209717.	11276	11276	0.361	0.017	0.044	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_1209718-1311044.	NC_007416.2	locus:NC_007416.2_1209718-1311044.	101327	101069	0.371	0.020	0.000	ciLocus	1	False	NA
Tcas	locus:NC_007416.2_1246107-1264326.	NC_007416.2	locus:NC_007416.2_1246107-1264326.	18220	0	0.370	0.050	0.003	siLocus	1	False	NA
Tcas	locus:NC_007416.2_1310528-1331114.	NC_007416.2	locus:NC_007416.2_1310528-1331114.	20587	20328	0.388	-0.002	0.002	miLocus	2	False	NA
Tcas	locus:NC_007416.2_1331115-1332967.	NC_007416.2	locus:NC_007416.2_1331115-1332967.	1853	1853	0.283	-0.063	0.000	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_1332968-1350747.	NC_007416.2	locus:NC_007416.2_1332968-1350747.	17780	17780	0.417	0.024	0.000	miLocus	4	False	NA
Tcas	locus:NC_007416.2_1350748-1351337.	NC_007416.2	locus:NC_007416.2_1350748-1351337.	590	590	0.314	0.103	0.000	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_1351338-1357468.	NC_007416.2	locus:NC_007416.2_1351338-1357468.	6131	6131	0.415	0.045	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_1357469-1358015.	NC_007416.2	locus:NC_007416.2_1357469-1358015.	547	547	0.313	0.146	0.000	iiLocus	0	False	FR
Tcas	locus:NC_007416.2_1358016-1359711.	NC_007416.2	locus:NC_007416.2_1358016-1359711.	1696	1696	0.439	0.050	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_1359712-1363462.	NC_007416.2	locus:NC_007416.2_1359712-1363462.	3751	3751	0.343	0.052	0.000	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_1363463-1372912.	NC_007416.2	locus:NC_007416.2_1363463-1372912.	9450	9450	0.395	0.034	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_1372913-1692191.	NC_007416.2	locus:NC_007416.2_1372913-1692191.	319279	319279	0.381	-0.007	0.940	iiLocus	0	False	FR
Tcas	locus:NC_007416.2_1692192-1694898.	NC_007416.2	locus:NC_007416.2_1692192-1694898.	2707	2707	0.351	0.034	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_1694899-1696515.	NC_007416.2	locus:NC_007416.2_1694899-1696515.	1617	1617	0.247	-0.167	0.910	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_1696516-1711047.	NC_007416.2	locus:NC_007416.2_1696516-1711047.	14532	14532	0.375	0.003	0.011	miLocus	2	False	NA
Tcas	locus:NC_007416.2_1711048-1714136.	NC_007416.2	locus:NC_007416.2_1711048-1714136.	3089	3089	0.295	0.027	0.000	iiLocus	0	False	RR
Tcas	locus:NC_007416.2_1714137-1717831.	NC_007416.2	locus:NC_007416.2_1714137-1717831.	3695	3695	0.364	-0.043	0.000	miLocus	2	False	NA
Tcas	locus:NC_007416.2_1717832-1718393.	NC_007416.2	locus:NC_007416.2_1717832-1718393.	562	562	0.251	0.404	0.000	iiLocus	0	False	FF
Tcas	locus:NC_007416.2_1718394-1745299.	NC_007416.2	locus:NC_007416.2_1718394-1745299.	26906	26906	0.388	0.031	0.000	miLocus	6	False	NA
Tcas	locus:NC_007416.2_1745300-1750714.	NC_007416.2	locus:NC_007416.2_1745300-1750714.	5415	5415	0.314	0.142	0.318	iiLocus	0	False	FF
Tcas	locus:NC_007416.2_1750715-1751793.	NC_007416.2	locus:NC_007416.2_1750715-1751793.	1079	1079	0.408	-0.077	0.000	niLocus	1	False	NA
Tcas	locus:NC_007416.2_1751794-1752626.	NC_007416.2	locus:NC_007416.2_1751794-1752626.	833	833	0.245	-0.108	0.000	iiLocus	0	False	FR
Tcas	locus:NC_007416.2_1752627-1755852.	NC_007416.2	locus:NC_007416.2_1752627-1755852.	3226	3226	0.382	-0.042	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_1755853-1757152.	NC_007416.2	locus:NC_007416.2_1755853-1757152.	1300	1300	0.209	-0.066	0.275	iiLocus	0	False	RR
Tcas	locus:NC_007416.2_1757153-1764777.	NC_007416.2	locus:NC_007416.2_1757153-1764777.	7625	7625	0.447	0.061	0.016	ciLocus	1	False	NA
Tcas	locus:NC_007416.2_1760137-1762424.	NC_007416.2	locus:NC_007416.2_1760137-1762424.	2288	0	0.467	0.213	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_1764778-1765651.	NC_007416.2	locus:NC_007416.2_1764778-1765651.	874	874	0.449	0.011	0.087	iiLocus	0	False	RR
Tcas	locus:NC_007416.2_1765652-1773592.	NC_007416.2	locus:NC_007416.2_1765652-1773592.	7941	7941	0.426	0.048	0.006	siLocus	1	False	NA
Tcas	locus:NC_007416.2_1773593-1795034.	NC_007416.2	locus:NC_007416.2_1773593-1795034.	21442	21442	0.361	-0.007	0.000	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_1795035-1808882.	NC_007416.2	locus:NC_007416.2_1795035-1808882.	13848	13848	0.378	-0.022	0.004	miLocus	4	False	NA
Tcas	locus:NC_007416.2_1808883-1812384.	NC_007416.2	locus:NC_007416.2_1808883-1812384.	3502	3502	0.340	-0.018	0.025	iiLocus	0	False	RR
Tcas	locus:NC_007416.2_1812385-1815065.	NC_007416.2	locus:NC_007416.2_1812385-1815065.	2681	2681	0.430	-0.040	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_1815066-1817064.	NC_007416.2	locus:NC_007416.2_1815066-1817064.	1999	1999	0.347	-0.066	0.000	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_1817065-1835806.	NC_007416.2	locus:NC_007416.2_1817065-1835806.	18742	18742	0.405	-0.001	0.022	miLocus	4	False	NA
Tcas	locus:NC_007416.2_1835807-1837916.	NC_007416.2	locus:NC_007416.2_1835807-1837916.	2110	2110	0.317	-0.024	0.000	iiLocus	0	False	FF
Tcas	locus:NC_007416.2_1837917-1873911.	NC_007416.2	locus:NC_007416.2_1837917-1873911.	35995	35995	0.419	0.006	0.208	miLocus	6	False	NA
Tcas	locus:NC_007416.2_1873912-1876478.	NC_007416.2	locus:NC_007416.2_1873912-1876478.	2567	2567	0.379	-0.016	0.000	iiLocus	0	False	RF
Tcas	locus:NC_007416.2_1876479-1904309.	NC_007416.2	locus:NC_007416.2_1876479-1904309.	27831	27831	0.389	0.027	0.008	miLocus	5	False	NA
Tcas	locus:NC_007416.2_1904310-2206400.	NC_007416.2	locus:NC_007416.2_1904310-2206400.	302091	302091	0.321	-0.077	0.994	iiLocus	0	False	FR
Tcas	locus:NC_007416.2_2206401-2225029.	NC_007416.2	locus:NC_007416.2_2206401-2225029.	18629	18629	0.398	0.019	0.012	miLocus	3	False	NA
Tcas	locus:NC_007416.2_2225030-2264840.	NC_007416.2	locus:NC_007416.2_2225030-2264840.	39811	39811	0.284	0.003	0.490	iiLocus	0	False	RR
Tcas	locus:NC_007416.2_2264841-2266798.	NC_007416.2	locus:NC_007416.2_2264841-2266798.	1958	1958	0.379	0.011	0.000	siLocus	1	False	NA
Tcas	locus:NC_007416.2_2266799-2269851.	NC_007416.2	locus:NC_007416.2_2266799-2269851.	3053	3053	0.342	0.058	0.000	iiLocus	0	False	RR
