Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Aech	locus:NW_011623521.1_1-200.	NW_011623521.1	locus:NW_011623521.1_1-200.	200	200	0.250	-0.080	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623522.1_1-200.	NW_011623522.1	locus:NW_011623522.1_1-200.	200	200	0.185	0.405	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623523.1_1-200.	NW_011623523.1	locus:NW_011623523.1_1-200.	200	200	0.335	-0.284	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623524.1_1-200.	NW_011623524.1	locus:NW_011623524.1_1-200.	200	200	0.165	-0.212	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623525.1_1-200.	NW_011623525.1	locus:NW_011623525.1_1-200.	200	200	0.275	-0.018	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623526.1_1-200.	NW_011623526.1	locus:NW_011623526.1_1-200.	200	200	0.345	-0.188	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623527.1_1-200.	NW_011623527.1	locus:NW_011623527.1_1-200.	200	200	0.260	0.192	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623528.1_1-200.	NW_011623528.1	locus:NW_011623528.1_1-200.	200	200	0.270	0.000	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623529.1_1-200.	NW_011623529.1	locus:NW_011623529.1_1-200.	200	200	0.225	0.067	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623530.1_1-200.	NW_011623530.1	locus:NW_011623530.1_1-200.	200	200	0.205	0.073	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623531.1_1-200.	NW_011623531.1	locus:NW_011623531.1_1-200.	200	200	0.410	0.049	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623532.1_1-200.	NW_011623532.1	locus:NW_011623532.1_1-200.	200	200	0.305	0.016	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623533.1_1-200.	NW_011623533.1	locus:NW_011623533.1_1-200.	200	200	0.485	-0.031	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623534.1_1-200.	NW_011623534.1	locus:NW_011623534.1_1-200.	200	200	0.265	-0.132	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623535.1_1-200.	NW_011623535.1	locus:NW_011623535.1_1-200.	200	200	0.185	0.135	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623536.1_1-200.	NW_011623536.1	locus:NW_011623536.1_1-200.	200	200	0.265	-0.170	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623537.1_1-200.	NW_011623537.1	locus:NW_011623537.1_1-200.	200	200	0.295	-0.085	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623538.1_1-200.	NW_011623538.1	locus:NW_011623538.1_1-200.	200	200	0.360	0.056	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623539.1_1-200.	NW_011623539.1	locus:NW_011623539.1_1-200.	200	200	0.315	-0.270	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623540.1_1-200.	NW_011623540.1	locus:NW_011623540.1_1-200.	200	200	0.230	0.522	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623541.1_1-200.	NW_011623541.1	locus:NW_011623541.1_1-200.	200	200	0.225	-0.022	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623542.1_1-200.	NW_011623542.1	locus:NW_011623542.1_1-200.	200	200	0.465	-0.011	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623543.1_1-200.	NW_011623543.1	locus:NW_011623543.1_1-200.	200	200	0.255	-0.137	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623544.1_1-200.	NW_011623544.1	locus:NW_011623544.1_1-200.	200	200	0.390	-0.154	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623545.1_1-200.	NW_011623545.1	locus:NW_011623545.1_1-200.	200	200	0.205	0.268	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623546.1_1-200.	NW_011623546.1	locus:NW_011623546.1_1-200.	200	200	0.380	0.289	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623547.1_1-200.	NW_011623547.1	locus:NW_011623547.1_1-200.	200	200	0.260	0.192	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623548.1_1-200.	NW_011623548.1	locus:NW_011623548.1_1-200.	200	200	0.350	-0.086	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623549.1_1-200.	NW_011623549.1	locus:NW_011623549.1_1-200.	200	200	0.280	-0.036	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623550.1_1-200.	NW_011623550.1	locus:NW_011623550.1_1-200.	200	200	0.320	0.031	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623551.1_1-200.	NW_011623551.1	locus:NW_011623551.1_1-200.	200	200	0.410	0.000	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623552.1_1-200.	NW_011623552.1	locus:NW_011623552.1_1-200.	200	200	0.325	0.046	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623553.1_1-201.	NW_011623553.1	locus:NW_011623553.1_1-201.	201	201	0.249	0.080	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623554.1_1-201.	NW_011623554.1	locus:NW_011623554.1_1-201.	201	201	0.289	0.034	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623555.1_1-201.	NW_011623555.1	locus:NW_011623555.1_1-201.	201	201	0.597	-0.083	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623556.1_1-201.	NW_011623556.1	locus:NW_011623556.1_1-201.	201	201	0.363	0.014	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623557.1_1-201.	NW_011623557.1	locus:NW_011623557.1_1-201.	201	201	0.343	0.014	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623558.1_1-201.	NW_011623558.1	locus:NW_011623558.1_1-201.	201	201	0.264	-0.170	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623559.1_1-201.	NW_011623559.1	locus:NW_011623559.1_1-201.	201	201	0.219	-0.318	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623560.1_1-201.	NW_011623560.1	locus:NW_011623560.1_1-201.	201	201	0.274	0.273	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623561.1_1-201.	NW_011623561.1	locus:NW_011623561.1_1-201.	201	201	0.343	0.014	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623562.1_1-201.	NW_011623562.1	locus:NW_011623562.1_1-201.	201	201	0.244	-0.020	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623563.1_1-201.	NW_011623563.1	locus:NW_011623563.1_1-201.	201	201	0.244	0.224	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623564.1_1-201.	NW_011623564.1	locus:NW_011623564.1_1-201.	201	201	0.438	-0.114	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623565.1_1-201.	NW_011623565.1	locus:NW_011623565.1_1-201.	201	201	0.697	-0.014	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623566.1_1-201.	NW_011623566.1	locus:NW_011623566.1_1-201.	201	201	0.323	0.108	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623567.1_1-201.	NW_011623567.1	locus:NW_011623567.1_1-201.	201	201	0.443	-0.258	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623568.1_1-201.	NW_011623568.1	locus:NW_011623568.1_1-201.	201	201	0.229	0.261	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623569.1_1-201.	NW_011623569.1	locus:NW_011623569.1_1-201.	201	201	0.244	0.184	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623570.1_1-201.	NW_011623570.1	locus:NW_011623570.1_1-201.	201	201	0.234	0.106	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623571.1_1-201.	NW_011623571.1	locus:NW_011623571.1_1-201.	201	201	0.413	0.060	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623572.1_1-201.	NW_011623572.1	locus:NW_011623572.1_1-201.	201	201	0.244	-0.061	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623573.1_1-201.	NW_011623573.1	locus:NW_011623573.1_1-201.	201	201	0.284	-0.053	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623574.1_1-201.	NW_011623574.1	locus:NW_011623574.1_1-201.	201	201	0.318	-0.156	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623575.1_1-201.	NW_011623575.1	locus:NW_011623575.1_1-201.	201	201	0.294	-0.119	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623576.1_1-201.	NW_011623576.1	locus:NW_011623576.1_1-201.	201	201	0.363	-0.096	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623577.1_1-201.	NW_011623577.1	locus:NW_011623577.1_1-201.	201	201	0.318	-0.062	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623578.1_1-201.	NW_011623578.1	locus:NW_011623578.1_1-201.	201	201	0.313	0.238	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623579.1_1-201.	NW_011623579.1	locus:NW_011623579.1_1-201.	201	201	0.274	0.309	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623580.1_1-201.	NW_011623580.1	locus:NW_011623580.1_1-201.	201	201	0.537	-0.111	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623581.1_1-201.	NW_011623581.1	locus:NW_011623581.1_1-201.	201	201	0.363	0.014	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623582.1_1-201.	NW_011623582.1	locus:NW_011623582.1_1-201.	201	201	0.284	-0.088	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623583.1_1-201.	NW_011623583.1	locus:NW_011623583.1_1-201.	201	201	0.254	-0.059	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623584.1_1-201.	NW_011623584.1	locus:NW_011623584.1_1-201.	201	201	0.274	-0.055	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623585.1_1-201.	NW_011623585.1	locus:NW_011623585.1_1-201.	201	201	0.522	0.486	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623586.1_1-201.	NW_011623586.1	locus:NW_011623586.1_1-201.	201	201	0.388	0.000	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623587.1_1-201.	NW_011623587.1	locus:NW_011623587.1_1-201.	201	201	0.318	0.000	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623588.1_1-201.	NW_011623588.1	locus:NW_011623588.1_1-201.	201	201	0.269	0.148	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623589.1_1-201.	NW_011623589.1	locus:NW_011623589.1_1-201.	201	201	0.229	0.000	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623590.1_1-201.	NW_011623590.1	locus:NW_011623590.1_1-201.	201	201	0.194	0.026	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623591.1_1-202.	NW_011623591.1	locus:NW_011623591.1_1-202.	202	202	0.223	0.022	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623592.1_1-202.	NW_011623592.1	locus:NW_011623592.1_1-202.	202	202	0.287	0.069	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623593.1_1-202.	NW_011623593.1	locus:NW_011623593.1_1-202.	202	202	0.327	0.000	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623594.1_1-202.	NW_011623594.1	locus:NW_011623594.1_1-202.	202	202	0.208	-0.190	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623595.1_1-202.	NW_011623595.1	locus:NW_011623595.1_1-202.	202	202	0.277	0.143	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623596.1_1-202.	NW_011623596.1	locus:NW_011623596.1_1-202.	202	202	0.292	0.119	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623597.1_1-202.	NW_011623597.1	locus:NW_011623597.1_1-202.	202	202	0.307	0.129	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623598.1_1-202.	NW_011623598.1	locus:NW_011623598.1_1-202.	202	202	0.297	-0.067	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623599.1_1-202.	NW_011623599.1	locus:NW_011623599.1_1-202.	202	202	0.327	0.061	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623600.1_1-202.	NW_011623600.1	locus:NW_011623600.1_1-202.	202	202	0.351	-0.099	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623601.1_1-202.	NW_011623601.1	locus:NW_011623601.1_1-202.	202	202	0.277	-0.107	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623602.1_1-202.	NW_011623602.1	locus:NW_011623602.1_1-202.	202	202	0.262	-0.019	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623603.1_1-202.	NW_011623603.1	locus:NW_011623603.1_1-202.	202	202	0.163	0.030	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623604.1_1-202.	NW_011623604.1	locus:NW_011623604.1_1-202.	202	202	0.218	-0.045	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623605.1_1-202.	NW_011623605.1	locus:NW_011623605.1_1-202.	202	202	0.262	0.057	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623606.1_1-202.	NW_011623606.1	locus:NW_011623606.1_1-202.	202	202	0.332	0.284	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623607.1_1-202.	NW_011623607.1	locus:NW_011623607.1_1-202.	202	202	0.292	-0.119	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623608.1_1-202.	NW_011623608.1	locus:NW_011623608.1_1-202.	202	202	0.416	0.024	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623609.1_1-202.	NW_011623609.1	locus:NW_011623609.1_1-202.	202	202	0.252	-0.020	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623610.1_1-202.	NW_011623610.1	locus:NW_011623610.1_1-202.	202	202	0.441	-0.124	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623611.1_1-202.	NW_011623611.1	locus:NW_011623611.1_1-202.	202	202	0.243	-0.143	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623612.1_1-202.	NW_011623612.1	locus:NW_011623612.1_1-202.	202	202	0.376	-0.026	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623613.1_1-202.	NW_011623613.1	locus:NW_011623613.1_1-202.	202	202	0.168	0.176	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623614.1_1-202.	NW_011623614.1	locus:NW_011623614.1_1-202.	202	202	0.426	0.070	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623615.1_1-202.	NW_011623615.1	locus:NW_011623615.1_1-202.	202	202	0.233	-0.106	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623616.1_1-202.	NW_011623616.1	locus:NW_011623616.1_1-202.	202	202	0.173	-0.143	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623617.1_1-202.	NW_011623617.1	locus:NW_011623617.1_1-202.	202	202	0.322	-0.046	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623618.1_1-202.	NW_011623618.1	locus:NW_011623618.1_1-202.	202	202	0.376	0.105	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623619.1_1-202.	NW_011623619.1	locus:NW_011623619.1_1-202.	202	202	0.332	-0.373	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623620.1_1-202.	NW_011623620.1	locus:NW_011623620.1_1-202.	202	202	0.272	-0.164	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623621.1_1-202.	NW_011623621.1	locus:NW_011623621.1_1-202.	202	202	0.218	-0.227	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623622.1_1-202.	NW_011623622.1	locus:NW_011623622.1_1-202.	202	202	0.347	0.029	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623623.1_1-202.	NW_011623623.1	locus:NW_011623623.1_1-202.	202	202	0.401	-0.309	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623624.1_1-203.	NW_011623624.1	locus:NW_011623624.1_1-203.	203	203	0.473	-0.125	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623625.1_1-203.	NW_011623625.1	locus:NW_011623625.1_1-203.	203	203	0.300	-0.377	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623626.1_1-203.	NW_011623626.1	locus:NW_011623626.1_1-203.	203	203	0.424	-0.047	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623627.1_1-203.	NW_011623627.1	locus:NW_011623627.1_1-203.	203	203	0.227	-0.043	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623628.1_1-203.	NW_011623628.1	locus:NW_011623628.1_1-203.	203	203	0.310	-0.238	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623629.1_1-203.	NW_011623629.1	locus:NW_011623629.1_1-203.	203	203	0.251	-0.216	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623630.1_1-203.	NW_011623630.1	locus:NW_011623630.1_1-203.	203	203	0.212	-0.442	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623631.1_1-203.	NW_011623631.1	locus:NW_011623631.1_1-203.	203	203	0.296	-0.100	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623632.1_1-203.	NW_011623632.1	locus:NW_011623632.1_1-203.	203	203	0.429	-0.724	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623633.1_1-203.	NW_011623633.1	locus:NW_011623633.1_1-203.	203	203	0.360	0.041	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623634.1_1-203.	NW_011623634.1	locus:NW_011623634.1_1-203.	203	203	0.448	0.011	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623635.1_1-203.	NW_011623635.1	locus:NW_011623635.1_1-203.	203	203	0.266	-0.185	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623636.1_1-203.	NW_011623636.1	locus:NW_011623636.1_1-203.	203	203	0.645	-0.084	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623637.1_1-203.	NW_011623637.1	locus:NW_011623637.1_1-203.	203	203	0.374	0.289	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623638.1_1-203.	NW_011623638.1	locus:NW_011623638.1_1-203.	203	203	0.296	-0.033	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623639.1_1-203.	NW_011623639.1	locus:NW_011623639.1_1-203.	203	203	0.429	0.011	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623640.1_1-203.	NW_011623640.1	locus:NW_011623640.1_1-203.	203	203	0.212	0.023	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623641.1_1-203.	NW_011623641.1	locus:NW_011623641.1_1-203.	203	203	0.389	0.038	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623642.1_1-203.	NW_011623642.1	locus:NW_011623642.1_1-203.	203	203	0.433	0.182	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623643.1_1-203.	NW_011623643.1	locus:NW_011623643.1_1-203.	203	203	0.158	0.000	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623644.1_1-203.	NW_011623644.1	locus:NW_011623644.1_1-203.	203	203	0.365	-0.270	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623645.1_1-203.	NW_011623645.1	locus:NW_011623645.1_1-203.	203	203	0.369	-0.120	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623646.1_1-203.	NW_011623646.1	locus:NW_011623646.1_1-203.	203	203	0.350	0.099	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623647.1_1-203.	NW_011623647.1	locus:NW_011623647.1_1-203.	203	203	0.429	0.218	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623648.1_1-204.	NW_011623648.1	locus:NW_011623648.1_1-204.	204	204	0.363	-0.081	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623649.1_1-204.	NW_011623649.1	locus:NW_011623649.1_1-204.	204	204	0.206	0.381	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623650.1_1-204.	NW_011623650.1	locus:NW_011623650.1_1-204.	204	204	0.279	0.123	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623651.1_1-204.	NW_011623651.1	locus:NW_011623651.1_1-204.	204	204	0.221	0.644	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623652.1_1-204.	NW_011623652.1	locus:NW_011623652.1_1-204.	204	204	0.245	-0.320	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623653.1_1-204.	NW_011623653.1	locus:NW_011623653.1_1-204.	204	204	0.353	-0.222	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623654.1_1-204.	NW_011623654.1	locus:NW_011623654.1_1-204.	204	204	0.270	0.236	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623655.1_1-204.	NW_011623655.1	locus:NW_011623655.1_1-204.	204	204	0.216	0.000	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623656.1_1-204.	NW_011623656.1	locus:NW_011623656.1_1-204.	204	204	0.676	-0.116	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623657.1_1-204.	NW_011623657.1	locus:NW_011623657.1_1-204.	204	204	0.471	-0.146	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623658.1_1-204.	NW_011623658.1	locus:NW_011623658.1_1-204.	204	204	0.314	-0.156	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623659.1_1-204.	NW_011623659.1	locus:NW_011623659.1_1-204.	204	204	0.304	-0.065	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623660.1_1-204.	NW_011623660.1	locus:NW_011623660.1_1-204.	204	204	0.270	-0.055	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623661.1_1-204.	NW_011623661.1	locus:NW_011623661.1_1-204.	204	204	0.265	0.074	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623662.1_1-204.	NW_011623662.1	locus:NW_011623662.1_1-204.	204	204	0.319	0.169	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623663.1_1-204.	NW_011623663.1	locus:NW_011623663.1_1-204.	204	204	0.436	-0.169	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623664.1_1-204.	NW_011623664.1	locus:NW_011623664.1_1-204.	204	204	0.480	0.143	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623665.1_1-204.	NW_011623665.1	locus:NW_011623665.1_1-204.	204	204	0.363	0.000	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623666.1_1-204.	NW_011623666.1	locus:NW_011623666.1_1-204.	204	204	0.230	-0.021	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623667.1_1-204.	NW_011623667.1	locus:NW_011623667.1_1-204.	204	204	0.230	-0.106	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623668.1_1-204.	NW_011623668.1	locus:NW_011623668.1_1-204.	204	204	0.294	0.100	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623669.1_1-204.	NW_011623669.1	locus:NW_011623669.1_1-204.	204	204	0.328	-0.164	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623670.1_1-204.	NW_011623670.1	locus:NW_011623670.1_1-204.	204	204	0.191	0.385	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623671.1_1-204.	NW_011623671.1	locus:NW_011623671.1_1-204.	204	204	0.304	-0.065	0.000	fiLocus	0	True	NA
Aech	locus:NW_011623672.1_1-204.	NW_011623672.1	locus:NW_011623672.1_1-204.	204	204	0.520	-0.075	0.000	fiLocus	0	True	NA
