Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Vcar	VcarILC-00001	NW_003307545.1	NW_003307545.1_1-28641	28641	28641	0.575	-0.087	0.516	fiLocus	0	False	NA
Vcar	VcarILC-00002	NW_003307545.1	NW_003307545.1_28642-30695	2054	1368	0.576	-0.016	0.000	siLocus	1	False	NA
Vcar	VcarILC-00003	NW_003307545.1	NW_003307545.1_30010-32702	2693	1839	0.532	-0.054	0.000	siLocus	1	False	NA
Vcar	VcarILC-00004	NW_003307545.1	NW_003307545.1_31849-34588	2740	1850	0.547	0.060	0.000	siLocus	1	False	NA
Vcar	VcarILC-00005	NW_003307545.1	NW_003307545.1_33699-35520	1822	1822	0.566	0.125	0.000	siLocus	1	False	NA
Vcar	VcarILC-00006	NW_003307545.1	NW_003307545.1_35521-36196	676	676	0.555	-0.147	0.000	iiLocus	0	False	FR
Vcar	VcarILC-00007	NW_003307545.1	NW_003307545.1_36197-44060	7864	7607	0.590	-0.087	0.000	siLocus	1	False	NA
Vcar	VcarILC-00008	NW_003307545.1	NW_003307545.1_43804-46004	2201	2201	0.541	0.038	0.000	siLocus	1	False	NA
Vcar	VcarILC-00009	NW_003307545.1	NW_003307545.1_46005-46518	514	514	0.580	0.013	0.000	iiLocus	0	False	FF
Vcar	VcarILC-00010	NW_003307545.1	NW_003307545.1_46519-77782	31264	37031	0.581	-0.017	0.000	siLocus	1	False	NA
Vcar	VcarILC-00011	NW_003307545.1	NW_003307545.1_76767-83549	6783	0	0.544	-0.062	0.000	siLocus	1	False	NA
Vcar	VcarILC-00012	NW_003307545.1	NW_003307545.1_83550-85050	1501	1501	0.499	-0.044	0.000	iiLocus	0	False	FR
Vcar	VcarILC-00013	NW_003307545.1	NW_003307545.1_85051-95822	10772	10768	0.597	-0.019	0.000	siLocus	1	False	NA
Vcar	VcarILC-00014	NW_003307545.1	NW_003307545.1_95819-100969	5151	5151	0.603	0.077	0.000	siLocus	1	False	NA
Vcar	VcarILC-00015	NW_003307545.1	NW_003307545.1_100970-101790	821	821	0.525	-0.067	0.000	iiLocus	0	False	FF
Vcar	VcarILC-00016	NW_003307545.1	NW_003307545.1_101791-104568	2778	2778	0.566	0.045	0.000	siLocus	1	False	NA
Vcar	VcarILC-00017	NW_003307545.1	NW_003307545.1_104569-114119	9551	9551	0.530	0.013	0.000	iiLocus	0	False	FF
