Species	Accession	Length	GCContent	GCSkew	NContent	ExonCount	IntronCount	5pUTRlen	3pUTRlen
Dpul	SNAP_00000002	12247	0.445	0.002	0.015	7	6	0	0
Dpul	fgenesh1_pg.C_scaffold_1000003	860	0.448	-0.003	0.000	3	2	0	0
Dpul	estExt_Genewise1.C_10001	12990	0.416	0.018	0.000	8	7	126	1222
Dpul	estExt_fgenesh1_pg.C_10005	1434	0.437	-0.091	0.000	3	2	0	38
Dpul	fgenesh1_pg.C_scaffold_1000006	1147	0.415	-0.038	0.000	5	4	0	0
Dpul	estExt_Genewise1Plus.C_10004	8248	0.441	-0.059	0.000	13	12	39	386
Dpul	NCBI_GNO_0100004	2586	0.374	0.060	0.000	11	10	0	315
Dpul	NCBI_GNO_0100005	2409	0.369	0.038	0.000	8	7	0	0
Dpul	estExt_Genewise1Plus.C_10012	2138	0.368	0.048	0.023	8	7	114	0
Dpul	e_gw1.1.779.1	2591	0.437	0.015	0.000	4	3	0	0
Dpul	estExt_fgenesh1_pg.C_10013	3261	0.420	0.058	0.000	9	8	93	0
Dpul	NCBI_GNO_0100009	484	0.386	0.016	0.000	2	1	0	0
Dpul	e_gw1.1.1006.1	517	0.325	0.190	0.000	3	2	0	0
Dpul	PASA_GEN_0100247	890	0.362	0.075	0.000	3	2	41	68
Dpul	PASA_GEN_0100004	2340	0.345	0.126	0.000	9	8	147	314
Dpul	SNAP_00000032	9209	0.429	-0.013	0.000	19	18	0	0
Dpul	SNAP_00000036	1083	0.395	0.084	0.000	3	2	0	0
Dpul	e_gw1.1.384.1	5441	0.447	-0.041	0.000	18	17	0	0
Dpul	PASA_GEN_0100249	1570	0.424	-0.053	0.000	6	5	9	130
Dpul	PASA_GEN_0100250	2946	0.422	0.071	0.000	7	6	0	463
Dpul	NCBI_GNO_0100020	388	0.394	-0.085	0.000	3	2	0	0
Dpul	PASA_GEN_0100006	1541	0.454	-0.070	0.000	3	2	179	202
Dpul	PASA_GEN_0100007	1327	0.413	-0.051	0.000	3	2	172	46
Dpul	NCBI_GNO_0100023	876	0.428	-0.152	0.000	1	0	0	0
Dpul	SNAP_00000044	3349	0.429	-0.013	0.000	5	4	0	0
Dpul	PASA_GEN_0100251	1546	0.440	-0.051	0.000	2	1	248	413
Dpul	SNAP_00000046	5756	0.440	-0.013	0.000	8	7	0	0
Dpul	SNAP_00000047	1967	0.402	-0.029	0.000	4	3	0	0
Dpul	PASA_GEN_0100252	5740	0.397	-0.016	0.000	19	18	8	104
Dpul	SNAP_00000050	589	0.392	0.039	0.000	4	3	0	0
Dpul	e_gw1.1.704.1	996	0.423	-0.031	0.000	5	4	0	0
Dpul	PASA_GEN_0100011	1462	0.354	0.137	0.000	6	5	63	128
Dpul	PASA_GEN_0100253	2932	0.394	0.088	0.000	7	6	113	19
Dpul	NCBI_GNO_0100031	926	0.468	-0.035	0.000	3	2	0	0
Dpul	SNAP_00000055	2289	0.377	0.036	0.000	5	4	0	0
Dpul	fgenesh1_pm.C_scaffold_1000010	379	0.412	0.000	0.000	3	2	0	0
Dpul	PASA_GEN_0100254	1006	0.437	0.109	0.000	3	2	319	237
Dpul	NCBI_GNO_0100035	926	0.468	-0.035	0.000	3	2	0	0
Dpul	PASA_GEN_0100255	2363	0.390	-0.046	0.000	6	5	1105	640
Dpul	NCBI_GNO_0100037	3199	0.388	-0.042	0.000	13	12	0	235
Dpul	estExt_Genewise1Plus.C_10050	2843	0.384	0.105	0.000	9	8	106	0
Dpul	NCBI_GNO_0100039	4763	0.370	-0.008	0.000	18	17	0	85
Dpul	fgenesh1_pg.C_scaffold_1000049	1451	0.354	0.068	0.000	5	4	0	0
Dpul	NCBI_GNO_0100040	877	0.355	-0.048	0.000	2	1	77	350
Dpul	PASA_GEN_0100015	1886	0.370	0.039	0.000	6	5	252	226
Dpul	PASA_GEN_0100260	2653	0.362	0.001	0.000	12	11	110	110
Dpul	fgenesh1_pg.C_scaffold_1000053	2558	0.509	-0.038	0.000	5	4	0	0
Dpul	PASA_GEN_0100261	2640	0.407	-0.099	0.000	3	2	233	823
Dpul	estExt_fgenesh1_pg.C_10055	2652	0.432	-0.035	0.000	8	7	76	216
Dpul	estExt_fgenesh1_pm.C_10014	7158	0.427	-0.010	0.000	18	17	0	1440
Dpul	PASA_GEN_0100018	1890	0.411	0.102	0.000	7	6	72	198
Dpul	estExt_fgenesh1_pg.C_10060	1606	0.360	-0.031	0.000	3	2	468	121
Dpul	PASA_GEN_0100020	950	0.399	0.034	0.000	3	2	57	221
Dpul	BDE_fgenesh1_pg.C_scaffold_1000062	3743	0.470	-0.065	0.000	6	5	518	2
Dpul	estExt_fgenesh1_pg.C_10064	4171	0.416	-0.022	0.000	15	14	67	202
Dpul	NCBI_GNO_0100053	2113	0.364	0.111	0.000	7	6	0	32
Dpul	RAJ_estExt_fgenesh1_pm.C_10018	6088	0.395	0.024	0.000	10	9	149	283
Dpul	NCBI_GNO_0100056	890	0.367	-0.003	0.000	3	2	120	148
Dpul	estExt_fgenesh1_kg.C_10006	1106	0.354	0.041	0.000	5	4	120	428
Dpul	PASA_GEN_0100023	1627	0.346	0.073	0.000	4	3	110	5
Dpul	estExt_fgenesh1_pg.C_10073	1257	0.342	0.042	0.000	4	3	94	195
Dpul	PASA_GEN_0100274	6265	0.415	0.032	0.000	20	19	0	696
Dpul	SNAP_00000089	213	0.582	0.081	0.000	1	0	0	0
Dpul	e_gw1.1.536.1	2287	0.462	-0.058	0.000	9	8	0	0
Dpul	fgenesh1_pg.C_scaffold_1000076	351	0.544	-0.047	0.000	1	0	0	0
Dpul	SNAP_00000091	261	0.533	-0.108	0.000	1	0	0	0
Dpul	SNAP_00000092	498	0.486	-0.017	0.000	1	0	0	0
Dpul	fgenesh1_pg.C_scaffold_1000078	2423	0.480	0.057	0.000	5	4	0	0
Dpul	fgenesh1_pg.C_scaffold_1000080	402	0.527	-0.085	0.000	1	0	0	0
Dpul	fgenesh1_pg.C_scaffold_1000081	3330	0.458	0.056	0.000	7	6	0	0
Dpul	e_gw1.1.309.1	10836	0.451	0.028	0.005	2	1	0	0
Dpul	NCBI_GNO_0100062	4043	0.452	-0.047	0.000	5	4	5	253
Dpul	NCBI_GNO_0100063	1539	0.442	-0.154	0.000	3	2	0	536
Dpul	NCBI_GNO_0100064	4540	0.411	-0.004	0.000	16	15	0	404
Dpul	estExt_Genewise1.C_10094	2311	0.377	-0.005	0.000	10	9	12	409
Dpul	PIR_PASA_GEN_0100278	3570	0.457	-0.137	0.000	7	6	91	493
Dpul	SNAP_00000104	481	0.316	-0.026	0.000	4	3	0	0
Dpul	PASA_GEN_0100028	1131	0.362	0.012	0.000	6	5	17	113
Dpul	SNAP_00000106	2041	0.409	-0.017	0.000	5	4	0	0
Dpul	NCBI_GNO_0100070	5549	0.411	-0.031	0.000	7	6	0	0
Dpul	PASA_GEN_0100279	9420	0.483	-0.024	0.000	7	6	153	698
Dpul	estExt_fgenesh1_kg.C_10012	1071	0.395	-0.045	0.000	6	5	32	73
Dpul	PASA_GEN_0100030	1041	0.401	-0.022	0.000	5	4	68	123
Dpul	RAJ_estExt_fgenesh1_pg.C_10101	7672	0.398	-0.002	0.000	21	20	0	171
Dpul	PASA_GEN_0100031	790	0.315	0.261	0.000	4	3	102	20
Dpul	estExt_fgenesh1_pg.C_10103	1772	0.385	-0.076	0.000	6	5	0	0
Dpul	fgenesh1_pg.C_scaffold_1000104	2272	0.358	0.037	0.000	9	8	0	0
Dpul	PASA_GEN_0100033	1818	0.369	0.079	0.000	7	6	272	150
Dpul	fgenesh1_pg.C_scaffold_1000106	913	0.324	0.054	0.000	6	5	0	0
Dpul	estExt_fgenesh1_pm.C_10026	3033	0.354	0.061	0.000	12	11	164	358
Dpul	e_gw1.1.818.1	2462	0.373	0.060	0.000	10	9	0	0
Dpul	e_gw1.1.950.1	1013	0.341	0.107	0.000	7	6	0	0
Dpul	estExt_Genewise1.C_10130	1280	0.441	-0.023	0.000	2	1	3	43
Dpul	estExt_fgenesh1_pm.C_10027	3856	0.426	0.026	0.000	7	6	0	374
Dpul	NCBI_GNO_0100086	550	0.424	0.124	0.000	3	2	0	0
Dpul	SNAP_00000124	832	0.433	0.161	0.000	3	2	0	0
Dpul	PASA_GEN_0100286	2943	0.389	0.016	0.000	7	6	0	153
Dpul	PASA_GEN_0100034	2719	0.370	0.071	0.000	10	9	77	154
Dpul	PASA_GEN_0100287	2319	0.373	0.046	0.000	10	9	146	0
Dpul	PASA_GEN_0100035	3799	0.404	-0.009	0.000	7	6	51	897
