Species	SeqID	Sigma	Phi
Att6	Chr1	0.6318666882969695	0.832513049963
Att6	Chr2	0.5814735324261858	0.80455220188
Att6	Chr3	0.6462385734919939	0.842186594553
Att6	Chr4	0.6351591275995203	0.836106908724
Att6	Chr5	0.6453961663935398	0.847743428666
Atha	NC_003070.9	0.7273751361040539	0.896094234346
Atha	NC_003071.7	0.6765180293834397	0.875257307534
Atha	NC_003074.8	0.7436575350683744	0.897882121162
Atha	NC_003075.7	0.727868566136338	0.890991184691
Atha	NC_003076.8	0.7313500105890597	0.893164847789
At11	Chr1	0.6799104253758954	0.862973331369
At11	Chr2	0.6361765150650096	0.838523355098
At11	Chr3	0.7027559132207531	0.871422971384
At11	Chr4	0.6857773328806538	0.860305343511
At11	Chr5	0.6992715756354537	0.870361041142
