Species	SeqID	Sigma	Phi
Amh3	Centroid	0.6265199977417677	0.814696180581
Am32	Centroid	0.301968081122	0.6528133666805379
Dqua	Centroid	0.47056231756	0.7332610960325956
Dqcr	Centroid	0.45606037114	0.7085674046987811
Pcan	Centroid	0.457834126626	0.7562630896462768
Pccr	Centroid	0.257509798674	0.6112106341035676
Pdom	Centroid	0.45976220025	0.7531033515140945
Pdtl	Centroid	0.252902612868	0.6301738714812188
Mvi3	Centroid	0.1505834093653851	0.317250314097
Mvi0	Centroid	0.057799709935038364	0.134806366351
