Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Dmel	locus:NC_004353.4_1-5539.	NC_004353.4	locus:NC_004353.4_1-5539.	5539	5539	0.326	0.017	0.000	siLocus	1	False	NA
Dmel	locus:NC_004353.4_5540-31977.	NC_004353.4	locus:NC_004353.4_5540-31977.	26438	26438	0.352	-0.035	0.000	iiLocus	0	False	FR
Dmel	locus:NC_004353.4_31978-46574.	NC_004353.4	locus:NC_004353.4_31978-46574.	14597	14597	0.339	-0.017	0.000	miLocus	3	False	NA
Dmel	locus:NC_004353.4_46575-47209.	NC_004353.4	locus:NC_004353.4_46575-47209.	635	635	0.313	0.055	0.000	iiLocus	0	False	FR
Dmel	locus:NC_004353.4_47210-63624.	NC_004353.4	locus:NC_004353.4_47210-63624.	16415	16415	0.331	0.022	0.000	miLocus	2	False	NA
Dmel	locus:NC_004353.4_63625-64724.	NC_004353.4	locus:NC_004353.4_63625-64724.	1100	1100	0.322	0.028	0.000	iiLocus	0	False	RR
Dmel	locus:NC_004353.4_64725-67707.	NC_004353.4	locus:NC_004353.4_64725-67707.	2983	2983	0.340	-0.042	0.000	miLocus	2	False	NA
Dmel	locus:NC_004353.4_67708-68825.	NC_004353.4	locus:NC_004353.4_67708-68825.	1118	1118	0.326	-0.008	0.000	iiLocus	0	False	RF
Dmel	locus:NC_004353.4_68826-130349.	NC_004353.4	locus:NC_004353.4_68826-130349.	61524	61524	0.327	-0.048	0.000	miLocus	2	False	NA
Dmel	locus:NC_004353.4_130350-131719.	NC_004353.4	locus:NC_004353.4_130350-131719.	1370	1370	0.331	0.113	0.000	iiLocus	0	False	RF
Dmel	locus:NC_004353.4_131720-143623.	NC_004353.4	locus:NC_004353.4_131720-143623.	11904	11904	0.335	0.031	0.000	miLocus	2	False	NA
Dmel	locus:NC_004353.4_143624-150263.	NC_004353.4	locus:NC_004353.4_143624-150263.	6640	6640	0.388	-0.180	0.000	iiLocus	0	False	FF
Dmel	locus:NC_004353.4_150264-156560.	NC_004353.4	locus:NC_004353.4_150264-156560.	6297	6297	0.314	-0.013	0.000	miLocus	2	False	NA
Dmel	locus:NC_004353.4_156561-157074.	NC_004353.4	locus:NC_004353.4_156561-157074.	514	514	0.327	-0.036	0.000	iiLocus	0	False	RR
Dmel	locus:NC_004353.4_157075-179889.	NC_004353.4	locus:NC_004353.4_157075-179889.	22815	22815	0.341	0.052	0.000	miLocus	3	False	NA
Dmel	locus:NC_004353.4_179890-183575.	NC_004353.4	locus:NC_004353.4_179890-183575.	3686	3686	0.323	-0.049	0.000	iiLocus	0	False	RR
Dmel	locus:NC_004353.4_183576-206445.	NC_004353.4	locus:NC_004353.4_183576-206445.	22870	22870	0.337	-0.013	0.000	miLocus	3	False	NA
Dmel	locus:NC_004353.4_206446-209723.	NC_004353.4	locus:NC_004353.4_206446-209723.	3278	3278	0.347	0.027	0.000	iiLocus	0	False	RF
Dmel	locus:NC_004353.4_209724-213665.	NC_004353.4	locus:NC_004353.4_209724-213665.	3942	3942	0.330	0.057	0.000	siLocus	1	False	NA
Dmel	locus:NC_004353.4_213666-214508.	NC_004353.4	locus:NC_004353.4_213666-214508.	843	843	0.431	0.008	0.000	iiLocus	0	False	FR
Dmel	locus:NC_004353.4_214509-253829.	NC_004353.4	locus:NC_004353.4_214509-253829.	39321	39321	0.329	-0.015	0.000	miLocus	5	False	NA
Dmel	locus:NC_004353.4_253830-254496.	NC_004353.4	locus:NC_004353.4_253830-254496.	667	667	0.328	-0.142	0.000	iiLocus	0	False	RF
Dmel	locus:NC_004353.4_254497-266074.	NC_004353.4	locus:NC_004353.4_254497-266074.	11578	11578	0.330	0.001	0.000	siLocus	1	False	NA
Dmel	locus:NC_004353.4_266075-267674.	NC_004353.4	locus:NC_004353.4_266075-267674.	1600	1600	0.363	-0.015	0.000	iiLocus	0	False	FR
Dmel	locus:NC_004353.4_267675-306981.	NC_004353.4	locus:NC_004353.4_267675-306981.	39307	39307	0.336	-0.025	0.000	miLocus	3	False	NA
Dmel	locus:NC_004353.4_306982-307592.	NC_004353.4	locus:NC_004353.4_306982-307592.	611	611	0.277	-0.030	0.000	iiLocus	0	False	RF
Dmel	locus:NC_004353.4_307593-396454.	NC_004353.4	locus:NC_004353.4_307593-396454.	88862	88862	0.349	0.008	0.000	miLocus	8	False	NA
Dmel	locus:NC_004353.4_396455-400202.	NC_004353.4	locus:NC_004353.4_396455-400202.	3748	3748	0.359	-0.012	0.000	iiLocus	0	False	RR
