Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Tcas	TcasILC-00001	NC_007416.2	NC_007416.2_1-1357	1357	1357	0.322	0.053	0.000	fiLocus	0	False	NA
Tcas	TcasILC-00002	NC_007416.2	NC_007416.2_1358-7200	5843	5843	0.305	-0.113	0.211	niLocus	1	False	NA
Tcas	TcasILC-00003	NC_007416.2	NC_007416.2_7201-27648	20448	20448	0.363	0.016	0.012	iiLocus	0	False	RR
Tcas	TcasILC-00004	NC_007416.2	NC_007416.2_27649-33073	5425	5087	0.389	-0.054	0.000	siLocus	1	False	NA
Tcas	TcasILC-00005	NC_007416.2	NC_007416.2_32398-36402	4005	3225	0.394	-0.032	0.000	siLocus	1	False	NA
Tcas	TcasILC-00006	NC_007416.2	NC_007416.2_35519-45410	9892	9450	0.377	0.035	0.050	siLocus	1	False	NA
Tcas	TcasILC-00007	NC_007416.2	NC_007416.2_45411-67713	22303	22303	0.357	-0.007	0.042	iiLocus	0	False	RR
Tcas	TcasILC-00008	NC_007416.2	NC_007416.2_67714-69072	1359	868	0.460	0.107	0.000	siLocus	1	False	NA
Tcas	TcasILC-00009	NC_007416.2	NC_007416.2_68091-73672	5582	5091	0.399	0.003	0.086	ciLocus	2	False	NA
Tcas	TcasILC-00010	NC_007416.2	NC_007416.2_73673-83401	9729	9729	0.318	0.257	0.966	iiLocus	0	False	FR
Tcas	TcasILC-00011	NC_007416.2	NC_007416.2_83402-85463	2062	1584	0.413	-0.076	0.000	siLocus	1	False	NA
Tcas	TcasILC-00012	NC_007416.2	NC_007416.2_84508-89175	4668	3712	0.441	0.037	0.000	ciLocus	1	False	NA
Tcas	TcasILC-00013	NC_007416.2	NC_007416.2_85342-88580	3239	0	0.465	0.063	0.000	siLocus	1	False	NA
Tcas	TcasILC-00014	NC_007416.2	NC_007416.2_88219-95349	7131	6256	0.373	0.014	0.000	siLocus	1	False	NA
Tcas	TcasILC-00015	NC_007416.2	NC_007416.2_94557-101584	7028	6425	0.375	0.049	0.000	siLocus	1	False	NA
Tcas	TcasILC-00016	NC_007416.2	NC_007416.2_101173-105669	4497	4252	0.424	-0.027	0.000	siLocus	1	False	NA
Tcas	TcasILC-00017	NC_007416.2	NC_007416.2_105592-110511	4920	4421	0.365	0.092	0.000	siLocus	1	False	NA
Tcas	TcasILC-00018	NC_007416.2	NC_007416.2_109591-113574	3984	3523	0.385	-0.029	0.000	siLocus	1	False	NA
Tcas	TcasILC-00019	NC_007416.2	NC_007416.2_113575-119423	5849	5849	0.329	0.040	0.000	iiLocus	0	False	RR
Tcas	TcasILC-00020	NC_007416.2	NC_007416.2_119424-121569	2146	2146	0.412	0.129	0.000	siLocus	1	False	NA
Tcas	TcasILC-00021	NC_007416.2	NC_007416.2_121570-135064	13495	13495	0.335	-0.009	0.016	iiLocus	0	False	RR
Tcas	TcasILC-00022	NC_007416.2	NC_007416.2_135065-138879	3815	3577	0.400	0.028	0.000	siLocus	1	False	NA
Tcas	TcasILC-00023	NC_007416.2	NC_007416.2_138403-144551	6149	5426	0.391	0.054	0.040	siLocus	1	False	NA
Tcas	TcasILC-00024	NC_007416.2	NC_007416.2_143583-150306	6724	6239	0.419	0.074	0.000	siLocus	1	False	NA
Tcas	TcasILC-00025	NC_007416.2	NC_007416.2_150307-153177	2871	2871	0.347	0.019	0.000	iiLocus	0	False	RF
Tcas	TcasILC-00026	NC_007416.2	NC_007416.2_153178-165711	12534	12040	0.393	0.022	0.000	siLocus	1	False	NA
Tcas	TcasILC-00027	NC_007416.2	NC_007416.2_164724-166848	2125	1555	0.417	0.045	0.000	siLocus	1	False	NA
Tcas	TcasILC-00028	NC_007416.2	NC_007416.2_166697-169979	3283	3207	0.381	0.043	0.000	siLocus	1	False	NA
Tcas	TcasILC-00029	NC_007416.2	NC_007416.2_169980-171348	1369	1369	0.354	0.076	0.000	iiLocus	0	False	RF
Tcas	TcasILC-00030	NC_007416.2	NC_007416.2_171349-180593	9245	9245	0.423	-0.007	0.000	siLocus	1	False	NA
Tcas	TcasILC-00031	NC_007416.2	NC_007416.2_180594-181269	676	676	0.303	0.083	0.000	iiLocus	0	False	FR
Tcas	TcasILC-00032	NC_007416.2	NC_007416.2_181270-186078	4809	4534	0.416	-0.031	0.000	siLocus	1	False	NA
Tcas	TcasILC-00033	NC_007416.2	NC_007416.2_185529-208946	23418	23143	0.362	0.043	0.006	siLocus	1	False	NA
Tcas	TcasILC-00034	NC_007416.2	NC_007416.2_208947-215702	6756	6756	0.351	0.033	0.000	iiLocus	0	False	FF
Tcas	TcasILC-00035	NC_007416.2	NC_007416.2_215703-217153	1451	1000	0.363	-0.038	0.000	siLocus	1	False	NA
Tcas	TcasILC-00036	NC_007416.2	NC_007416.2_216252-222541	6290	5839	0.379	-0.002	0.008	siLocus	1	False	NA
Tcas	TcasILC-00037	NC_007416.2	NC_007416.2_222542-227733	5192	4721	0.459	0.037	0.000	siLocus	1	False	NA
Tcas	TcasILC-00038	NC_007416.2	NC_007416.2_226791-230490	3700	3065	0.380	-0.053	0.000	siLocus	1	False	NA
Tcas	TcasILC-00039	NC_007416.2	NC_007416.2_230164-236708	6545	6381	0.400	0.041	0.000	siLocus	1	False	NA
Tcas	TcasILC-00040	NC_007416.2	NC_007416.2_236709-538712	302004	302004	0.306	-0.016	0.993	iiLocus	0	False	FF
Tcas	TcasILC-00041	NC_007416.2	NC_007416.2_538713-551165	12453	12453	0.340	-0.022	0.000	siLocus	1	False	NA
Tcas	TcasILC-00042	NC_007416.2	NC_007416.2_541715-542787	1073	0	0.292	-0.035	0.000	niLocus	1	False	NA
Tcas	TcasILC-00043	NC_007416.2	NC_007416.2_551166-552169	1004	1004	0.298	-0.030	0.000	iiLocus	0	False	FF
Tcas	TcasILC-00044	NC_007416.2	NC_007416.2_552170-557294	5125	4866	0.334	0.005	0.000	siLocus	1	False	NA
Tcas	TcasILC-00045	NC_007416.2	NC_007416.2_556776-559247	2472	1833	0.381	-0.064	0.020	siLocus	1	False	NA
Tcas	TcasILC-00046	NC_007416.2	NC_007416.2_558490-561963	3474	2794	0.389	-0.041	0.014	siLocus	1	False	NA
Tcas	TcasILC-00047	NC_007416.2	NC_007416.2_561362-565096	3735	2962	0.331	-0.008	0.000	siLocus	1	False	NA
Tcas	TcasILC-00048	NC_007416.2	NC_007416.2_564152-567132	2981	2279	0.351	0.011	0.000	siLocus	1	False	NA
Tcas	TcasILC-00049	NC_007416.2	NC_007416.2_566675-573090	6416	5734	0.318	0.009	0.000	siLocus	1	False	NA
