Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
At11	At11ILC-00001	Chr1	Chr1_1-3130	3130	3130	0.322	-0.090	0.000	fiLocus	0	False	NA
At11	At11ILC-00002	Chr1	Chr1_3131-6399	3269	3213	0.365	0.077	0.000	siLocus	1	False	NA
At11	At11ILC-00003	Chr1	Chr1_6288-9630	3343	3287	0.336	-0.044	0.000	siLocus	1	False	NA
At11	At11ILC-00004	Chr1	Chr1_9631-10600	970	970	0.306	-0.205	0.000	iiLocus	0	False	RF
At11	At11ILC-00005	Chr1	Chr1_10601-11872	1272	910	0.311	0.030	0.000	niLocus	1	False	NA
At11	At11ILC-00006	Chr1	Chr1_11149-14214	3066	2704	0.364	0.072	0.000	siLocus	1	False	NA
At11	At11ILC-00007	Chr1	Chr1_14215-22620	8406	8406	0.295	0.057	0.000	iiLocus	0	False	RF
At11	At11ILC-00008	Chr1	Chr1_22621-31727	9107	10648	0.392	0.164	0.000	siLocus	1	False	NA
At11	At11ILC-00009	Chr1	Chr1_22812-24599	1788	0	0.373	0.196	0.000	niLocus	1	False	NA
At11	At11ILC-00010	Chr1	Chr1_28000-29206	1207	0	0.383	0.091	0.000	niLocus	1	False	NA
At11	At11ILC-00011	Chr1	Chr1_30670-33671	3002	0	0.357	0.106	0.000	siLocus	1	False	NA
At11	At11ILC-00012	Chr1	Chr1_32227-33509	1283	0	0.336	-0.026	0.000	niLocus	1	False	NA
At11	At11ILC-00013	Chr1	Chr1_32865-38371	5507	4889	0.380	-0.001	0.000	siLocus	1	False	NA
At11	At11ILC-00014	Chr1	Chr1_37944-41517	3574	3360	0.340	-0.048	0.000	siLocus	1	False	NA
At11	At11ILC-00015	Chr1	Chr1_41518-42586	1069	1069	0.270	0.100	0.000	iiLocus	0	False	RR
At11	At11ILC-00016	Chr1	Chr1_42587-43795	1209	1209	0.280	-0.059	0.000	niLocus	1	False	NA
At11	At11ILC-00017	Chr1	Chr1_43796-44469	674	674	0.309	0.125	0.000	iiLocus	0	False	RR
At11	At11ILC-00018	Chr1	Chr1_44470-47559	3090	2677	0.375	0.060	0.000	siLocus	1	False	NA
At11	At11ILC-00019	Chr1	Chr1_46734-49804	3071	2460	0.399	-0.025	0.000	siLocus	1	False	NA
