Species	LocusId	SeqID	LocusPos	Length	EffectiveLength	GCContent	GCSkew	NContent	LocusClass	GeneCount	SeqUnannot	FlankGeneOrient
Turt	TurtILC-00001	NW_015449489.1	NW_015449489.1_1-6528	6528	6528	0.321	-0.022	0.000	siLocus	1	False	NA
Turt	TurtILC-00002	NW_015449489.1	NW_015449489.1_1863-5636	3774	0	0.314	-0.058	0.000	niLocus	1	False	NA
Turt	TurtILC-00003	NW_015449490.1	NW_015449490.1_1-3928	3928	3928	0.357	0.060	0.000	siLocus	1	False	NA
Turt	TurtILC-00004	NW_015449490.1	NW_015449490.1_3929-6347	2419	2419	0.311	-0.043	0.000	fiLocus	0	False	NA
Turt	TurtILC-00005	NW_015449491.1	NW_015449491.1_1-6314	6314	6314	0.306	-0.065	0.000	fiLocus	0	True	NA
Turt	TurtILC-00006	NW_015449492.1	NW_015449492.1_1-6261	6261	6261	0.361	-0.159	0.000	fiLocus	0	True	NA
Turt	TurtILC-00007	NW_015449493.1	NW_015449493.1_1-6243	6243	6243	0.312	-0.046	0.000	fiLocus	0	True	NA
Turt	TurtILC-00008	NW_015449494.1	NW_015449494.1_1-6752	6752	6752	0.318	0.172	0.082	fiLocus	0	True	NA
Turt	TurtILC-00009	NW_015449495.1	NW_015449495.1_1-6299	6299	6299	0.300	0.071	0.016	fiLocus	0	True	NA
Turt	TurtILC-00010	NW_015449496.1	NW_015449496.1_1-6198	6198	6198	0.322	0.035	0.000	siLocus	1	False	NA
Turt	TurtILC-00011	NW_015449497.1	NW_015449497.1_1-6398	6398	6398	0.378	0.206	0.032	fiLocus	0	True	NA
Turt	TurtILC-00012	NW_015449498.1	NW_015449498.1_1-6142	6142	6142	0.320	0.064	0.000	fiLocus	0	True	NA
Turt	TurtILC-00013	NW_015449499.1	NW_015449499.1_1-628	628	628	0.334	0.171	0.000	fiLocus	0	False	NA
Turt	TurtILC-00014	NW_015449499.1	NW_015449499.1_629-2709	2081	1755	0.307	-0.045	0.000	siLocus	1	False	NA
Turt	TurtILC-00015	NW_015449499.1	NW_015449499.1_2058-5114	3057	2731	0.302	-0.031	0.000	siLocus	1	False	NA
Turt	TurtILC-00016	NW_015449499.1	NW_015449499.1_5115-6125	1011	1011	0.317	-0.031	0.000	fiLocus	0	False	NA
